statement_id	page	record	silent_owner_de	action_events	argument_state_events	complete_action_sequence_de	complete_argument_sequence_de	action_complete_translation_de	all_events_spoken
H1-S001	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	6	4	abnehmen → übertragen → ablaufen lassen → eintragen + abnehmen → Pflanzenstoff in den Ansatz geben → eintragen	bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß	Bei der ersten abgebildeten Pflanze: abnehmen; dann übertragen; dann ablaufen lassen; dann eintragen + abnehmen; dann Pflanzenstoff in den Ansatz geben; dann eintragen. Angaben: bereit · Arbeitsgang · Ansatz | von dort | Arbeitsfach | vorgeschriebenes Maß.	YES
H1-S002	f10r	H1	abgebildete breit gezähnte radialblütige Pflanze	2	2	Pflanzenstoff in den Ansatz geben → abnehmen	fortsetzen | bereit · dieser Posten	Bei der ersten abgebildeten Pflanze: Pflanzenstoff in den Ansatz geben; dann abnehmen. Angaben: fortsetzen | bereit · dieser Posten.	YES
H2-S001	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	1	8	abziehen	bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten	Bei der ersten abgebildeten Pflanze: abziehen. Angaben: bereit · dieser Posten | Ansatz | bereit · vorgeschriebenes Maß | Arbeitsgang · bereit · fortsetzen · dieser Posten | dieser Posten | dieser Posten | vorgeschriebenes Maß | dieser Posten.	YES
H2-S002	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	1	7	abziehen	Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort	Bei der ersten abgebildeten Pflanze: abziehen. Angaben: Ansatz | danach · fortsetzen | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | von dort.	YES
H2-S003	f10r	H2	abgebildete breit gezähnte radialblütige Pflanze	3	4	zugeben → zugeben → abziehen	Ansatz | Ansatz | dieser Posten | dieser Posten	Bei der ersten abgebildeten Pflanze: zugeben; dann zugeben; dann abziehen. Angaben: Ansatz | Ansatz | dieser Posten | dieser Posten.	YES
H3-S001	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	7	0	eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen	NONE	Bei der abgebildeten Blütenpflanze: eintragen + halten; dann an Ort halten; dann auswringen; dann ziehen lassen; dann hineingeben; dann ziehen lassen; dann abschließend eintragen + abziehen.	YES
H3-S002	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	0	halten + eintragen	NONE	Bei der abgebildeten Blütenpflanze: halten + eintragen.	YES
H3-S003	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	4	zugeben	fortsetzen | dieser Posten | dieser Posten | vorgeschriebenes Maß	Bei der abgebildeten Blütenpflanze: zugeben. Angaben: fortsetzen | dieser Posten | dieser Posten | vorgeschriebenes Maß.	YES
H3-S004	f11r	H3	abgebildete dicht blau blühende Kronenpflanze	1	3	weiter beschicken	danach · dieser Posten | bereit · dieser Posten | dieser Posten	Bei der abgebildeten Blütenpflanze: weiter beschicken. Angaben: danach · dieser Posten | bereit · dieser Posten | dieser Posten.	YES
H4-S001	f55v	H4	abgebildete breitblättrige rispige Pflanze	3	2	bis zum Sollmaß beschicken → dosiert zugeben → zugeben	vorgeschriebenes Maß | Arbeitsgang; Schritt schließen	Bei der abgebildeten breitblättrigen Pflanze: bis zum Sollmaß beschicken; dann dosiert zugeben; dann zugeben. Angaben: vorgeschriebenes Maß | Arbeitsgang; Schritt schließen.	YES
