surface	page	locus	zl3b_line	it2a_line	rf1b_line	reader_support	working_meaning_de	decision
otcho	f32r	f32r.13	otcho rol dain daiin cthy	otcho r ol dain daiin cthy	otchorol dain daiin cthy	READER_VARIANT	kalt-trockene Zubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
cholor	f79r	f79r.27	qokeedy sheey kas cheey olkaiin ol ory cholor oty oky	qokeedy sheey kas cheey olkaiin ol ory cholor oty oky	qokeedy sheey kas cheey olkaiin ol ory chol r oty oky	READER_VARIANT	trockene Zutat	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheo	f105r	f105r.14	kesoar qoeeedy keeody dlls air shckhy oekeody cheody oeey qokeeody sheo lkeey	kesoar qoeeedy keeody dlls air shckhy oekeody cheody oeey qokeeody sheolkeey	kesoar qoeee y keeody dlls air shckhy oekeody cheody oeey qokeeody sheolkeey	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheo	f106r	f106r.13	pcheol sheokaiin otey qokeeor sheo aiin otchey pcheo ror aiin daiinopal	pcheol sheokaiin otey qokeeor sheo aiin otchey pcheo ror aiin daiin opal	pcheol sheokaiin otey qokeeor sheoaiin otchey pcheo ror aiin daiinopal	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheo	f106r	f106r.30	ycheeo lkaiin cho ror sheo l kain shor sar aiiry sheo al kairam	ycheeo lkaiin cho ror sheol kain shor sar aiiry sheo al kairam	ycheeo lkaiin cho r r eolkain shor sar aiiry sheoal kairam	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheo	f106r	f106r.30	ycheeo lkaiin cho ror sheo l kain shor sar aiiry sheo al kairam	ycheeo lkaiin cho ror sheol kain shor sar aiiry sheo al kairam	ycheeo lkaiin cho r r eolkain shor sar aiiry sheoal kairam	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheo	f113r	f113r.11	daiin cholchey okecheey chokeo l sheo qoaiin shoo keeeol keody chor chor kal laram	daiin cholchey okecheey chokeol sheo qoaiin shoo keeeol keody chor chor kal liiram	daiin cholchey okecheey chokeolsheo qoaiin shoo keeeol keod chor chor kal laram	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheo	f113v	f113v.32	sheo l keey qokain char ar olar aiiin okar	sheol keey qokain char ar olar aiiin okar	sheol keey qokain char ar olar aiiin okar	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheo	f42v	f42v.7	chok sheo key keeeyd chekeesshy	chok sheokey keeey d chekeesshy	chok sheo key keeeyd chekeesshy	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
sheo	f46r	f46r.2	sodaiin sheeoly qoor sheo teoly chckhy daiin sh sheet shedy xor aiin sheckhy	rodaiin sheeoly qoor sheoteoly chckhy daiin sheksheet shedy xor aiin sheckhy	sodaiin sheeoly qoor sheoteoly chckhy daiin sh sheet shedy xor aiin sheckhy	READER_VARIANT	Feuchtzubereitung	RETAIN_EXACT_ZL3B_WITH_READER_WARNING
