bridge_id	family	page	locus	diagnostic_surface	zl3b_line	it2a_line	rf1b_line	supports
G650-B01	OTCHO_COLD_DRY_PREPARATION	f47v	f47v.10	o tcho	chotcho ltchey o tcho tchy dy chol chody dar	chotcho ltchey o tcho tchy dy chol chody dar	chotcho ltchey o tchotchy dy chol chody dar	separated O plus TCHO witness
G650-B02	OTCHO_COLD_DRY_PREPARATION	f2v	f2v.6	o tchor|otchor	dor chol chor chol keol chy chty daiin o tchor chan	dor chol chor chol keol chy chty daiin otchor chan	dor chol chor chol keol chy chty daiin otchor chan	same-span O plus TCHOR boundary alternation
G650-B03	CHOL_OR_FUSED_INGREDIENT	f49r	f49r.6	ol or|olor	ol or shes sheoty choldaiin	olor shshes sheoty chol daiin	ol or shsees sheoty choldaiin	OL OR versus OLOR boundary alternation
G650-B04	CHOL_OR_FUSED_INGREDIENT	f86v3	f86v3.22	sholor|shol or	ytchdy dar sholor alor	ytchdy dar shol or alor	ytchdy dar shol or alor	SHOLOR versus SHOL OR boundary alternation
G650-B05	CHOL_OR_FUSED_INGREDIENT	f10r	f10r.3	chol or	qotor o tchy daiin chocthy qotchy chol or yty dy dy	qotor otchy daiin chocthy qotchy chol or yty dy dy	qotor otchy daiin chocthy qotchy chol or yty dy dy	all-reader separated CHOL OR witness
G650-B06	CHOL_OR_FUSED_INGREDIENT	f17r	f17r.3	chol or	chol or chy qodam okor chor okchom	chol or chy qodam okor chor okchom	chol or chy qod am okor chor okchom	all-reader separated CHOL OR witness
G650-B07	CHOL_OR_FUSED_INGREDIENT	f24v	f24v.9	chol or	ychol chol or chor om	ychol chol or chorom	ychol chol or chor om	all-reader separated CHOL OR witness
G650-B08	CHOL_OR_FUSED_INGREDIENT	f39r	f39r.4	chol or	tchedy chdy olaiin chedy shckhdchy chol or ordy chees aly okalcheg	tohedy chdy olaiin chedy shckhdchy chol or ordy chees aly okalcheg	tche y chdy olaiin che y shckhdchy chol or ordy chees aly okalcheg	all-reader separated CHOL OR witness
G650-B09	LOCAL_Y_CH_E_OL_ENTRY	f24r	f24r.18	ycheol|y cheol	ycheol chol daiin chol s	y cheol chol daiin chol s	ycheol chol daiin chol s	Y CHEOL fused/split reader alternation
G650-B10	LOCAL_Y_CH_E_OL_ENTRY	f112v	f112v.40	y cheol	y cheol lchedy chckhy cheolchal shchy daiin cheolor okain chedy daiin	y cheol lchedy chckhy cheolchal shchy daiin cheolor okain chedy daiin	y cheol lchedy chckhy cheolchal shchy daiin cheolor okain chedy daiin	all-reader separated Y CHEOL witness
G650-B11	LOCAL_Y_CH_E_OL_ENTRY	f95r2	f95r2.8	y cheol|ycheol	tedykaiin y cheol okal chedy shdy qokchdy otar chctham	tedy kaiin ycheol okal chedy shdy qokchdy otar chctham	te ykaiin y cheol ok l chedy sh y qokchdy otar chcthag	Y CHEOL fused/split reader alternation
G650-B12	LOCAL_Y_CH_E_OL_ENTRY	f102v1	f102v1.12	y cheol|ycheol	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	ycheol cheol doiir shekcheor sar cheor ckhey pchodaiin	y cheol cheol doiir shekcheor s ar cheor ckhey pchodaiin	Y CHEOL fused/split reader alternation
G650-B13	LOCAL_Y_CH_E_OL_ENTRY	f113v	f113v.48	y cheol|ycheol	y cheol cheey qol lsheedy qokaiin chedy kain qokeeedy lkaiin okal dy	ycheol cheey qol lsheedy qokaiin chedy kain qokeeedy lkaiin okal dy	y cheol cheey qol lshee y qokaiin che y kain qokeee y lkaiin okal dy	Y CHEOL fused/split reader alternation
G650-B14	LOCAL_Y_CH_E_OL_ENTRY	f114v	f114v.32	y cheol|ycheol	y cheol oleey cheoaiin chetaiin sheeodain	ycheol oleeey cheoaiin chetaiin sheeodain	ycheol olee cheoaiin chetaiin eeodain	Y CHEOL fused/split reader alternation
G650-B15	SH_E_CKH_SUBDEGREE	f103v	f103v.45	shckhy sheckhy	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly	okey ol cheey lcheey lkain shckhy sheckhy orain otar oly	okey ol cheey lcheey lkain shckhy sheckhyorain otar oly	direct E/no-E SHECKH sister contact
G650-B16	SH_E_CKH_SUBDEGREE	f80r	f80r.43	sheckhy checkhy sheckhy	sor sheckhy qokar checkhy okain sheckhy qokeey ly	sor sheckhy qokar checkhy okain sheckhy qokeey ly	sor sheckhy qokar checkhy okain sheckhy qokeey ly	SH-E and CH-E CKH sister contact
