page	locus	target_surfaces	zl3b_line	v26_tokenwise_de	v27_tokenwise_de	v27_working_reading_de	complete_v27
f100r	f100r.22	ycheol	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	[folshody:?] | trocken, Grad III | [fchod:?] | [ycheol:?] | [cphol:?] | [qotees:?] | feucht in der Mitte des Grades | [aseso:?] | [alcfhy:?]	[folshody:?] | trocken, Grad III | [fchod:?] | trockener Drogenstoff dieser Droge | [cphol:?] | [qotees:?] | feucht in der Mitte des Grades | [aseso:?] | [alcfhy:?]	[folshody:?]; trocken, Grad III; [fchod:?]; trockener Drogenstoff dieser Droge; [cphol:?]; [qotees:?]; feucht in der Mitte des Grades; [aseso:?]; [alcfhy:?]	False
f102r1	f102r1.10	ycheol	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy	[ycheol:?] | [sholdy:?] | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | [ykeeol:?] | Materialmaß | [doleodaiin:?] | [dal:?] | [cthedy:?]	trockener Drogenstoff dieser Droge | [sholdy:?] | trocken; nominal trockenes Gut/Material | trocken; nominal trockenes Gut/Material | [ykeeol:?] | Materialmaß | [doleodaiin:?] | [dal:?] | [cthedy:?]	trockener Drogenstoff dieser Droge; [sholdy:?]; trocken; nominal trockenes Gut/Material; trocken; nominal trockenes Gut/Material; [ykeeol:?]; Materialmaß; [doleodaiin:?]; [dal:?]; [cthedy:?]	False
f103r	f103r.23	sheckhy	daiin sheckhy lchedy chckhy shol	Grad-/Maßwert III | [sheckhy:?] | getrocknetes Drogenholz | trockene Arzneimischung am Gradanfang | feucht; nominal feuchtes Gut/Material	Grad-/Maßwert III | feuchte Arzneimischung, Anfangsgrad, gebunden | getrocknetes Drogenholz | trockene Arzneimischung am Gradanfang | feucht; nominal feuchtes Gut/Material	Grad-/Maßwert III; feuchte Arzneimischung, Anfangsgrad, gebunden; getrocknetes Drogenholz; trockene Arzneimischung am Gradanfang; feucht; nominal feuchtes Gut/Material	True
f103r	f103r.30	sheckhy	pcholkchdy sheckhy qokey okaiin shedy chpchy opchedy oteeykshy chdaly	[pcholkchdy:?] | [sheckhy:?] | heiß in der Mitte des Grades | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | [chpchy:?] | [opchedy:?] | [oteeykshy:?] | [chdaly:?]	[pcholkchdy:?] | feuchte Arzneimischung, Anfangsgrad, gebunden | heiß in der Mitte des Grades | heiß, Grad III, im Ansatzrahmen | feucht in der Mitte des Grades, abgeschlossen | [chpchy:?] | [opchedy:?] | [oteeykshy:?] | [chdaly:?]	[pcholkchdy:?]; feuchte Arzneimischung, Anfangsgrad, gebunden; heiß in der Mitte des Grades; heiß, Grad III, im Ansatzrahmen; feucht in der Mitte des Grades, abgeschlossen; [chpchy:?]; [opchedy:?]; [oteeykshy:?]; [chdaly:?]	False
f103v	f103v.35	sheckhy	qol shey ykeey okeey lshey sheckhy chtain oty okedy otaly	[qol:?] | feucht in der Mitte des Grades | [ykeey:?] | heißer Ansatz am Ende des Grades | eingeweichtes Drogenholz, Form I | [sheckhy:?] | kalt-trocken, Grad II | kalter Ansatz am Anfang des Grades | heißer Ansatz in der Mitte des Grades, abgeschlossen | [otaly:?]	[qol:?] | feucht in der Mitte des Grades | [ykeey:?] | heißer Ansatz am Ende des Grades | eingeweichtes Drogenholz, Form I | feuchte Arzneimischung, Anfangsgrad, gebunden | kalt-trocken, Grad II | kalter Ansatz am Anfang des Grades | heißer Ansatz in der Mitte des Grades, abgeschlossen | [otaly:?]	[qol:?]; feucht in der Mitte des Grades; [ykeey:?]; heißer Ansatz am Ende des Grades; eingeweichtes Drogenholz, Form I; feuchte Arzneimischung, Anfangsgrad, gebunden; kalt-trocken, Grad II; kalter Ansatz am Anfang des Grades; heißer Ansatz in der Mitte des Grades, abgeschlossen; [otaly:?]	False
f103v	f103v.45	sheckhy	okey ol cheey lcheey lkain shckhy sheckhy or ain otar oly	heißer Ansatz in der Mitte des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken am Ende des Grades | Drogenholz, trocken gebunden, Form II | [lkain:?] | [shckhy:?] | [sheckhy:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | Menge-/Klassenwert II | [otar:?] | [oly:?]	heißer Ansatz in der Mitte des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trocken am Ende des Grades | Drogenholz, trocken gebunden, Form II | [lkain:?] | [shckhy:?] | feuchte Arzneimischung, Anfangsgrad, gebunden | Teil-/Nominalträger; genaue Basisbedeutung offen | Menge-/Klassenwert II | [otar:?] | [oly:?]	heißer Ansatz in der Mitte des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken am Ende des Grades; Drogenholz, trocken gebunden, Form II; [lkain:?]; [shckhy:?]; feuchte Arzneimischung, Anfangsgrad, gebunden; Teil-/Nominalträger; genaue Basisbedeutung offen; Menge-/Klassenwert II; [otar:?]; [oly:?]	False
f104v	f104v.13	ycheol	ycheol cheody qoeechdy qokeol qotaiin chedar cheo lkaiin cheetar aiin cheitaiin	[ycheol:?] | getrockneter Ansatz | [qoeechdy:?] | [qokeol:?] | kalt, Grad III | [chedar:?] | trocken angesetzte Zubereitung | [lkaiin:?] | [cheetar:?] | Menge III | [cheitaiin:?]	trockener Drogenstoff dieser Droge | getrockneter Ansatz | [qoeechdy:?] | [qokeol:?] | kalt, Grad III | [chedar:?] | trocken angesetzte Zubereitung | [lkaiin:?] | [cheetar:?] | Menge III | [cheitaiin:?]	trockener Drogenstoff dieser Droge; getrockneter Ansatz; [qoeechdy:?]; [qokeol:?]; kalt, Grad III; [chedar:?]; trocken angesetzte Zubereitung; [lkaiin:?]; [cheetar:?]; Menge III; [cheitaiin:?]	False
f104v	f104v.30	ycheol	ycheol kaiin cheody shaiin qoeeol otair or cheeody okcheey lkair ar ar adam	[ycheol:?] | heiß, Grad III | getrockneter Ansatz | feucht, Grad III | [qoeeol:?] | [otair:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | [cheeody:?] | heiß-trockener Ansatz am Ende des Grades | [lkair:?] | [ar:?] | [ar:?] | [adam:?]	trockener Drogenstoff dieser Droge | heiß, Grad III | getrockneter Ansatz | feucht, Grad III | [qoeeol:?] | [otair:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | [cheeody:?] | heiß-trockener Ansatz am Ende des Grades | [lkair:?] | [ar:?] | [ar:?] | [adam:?]	trockener Drogenstoff dieser Droge; heiß, Grad III; getrockneter Ansatz; feucht, Grad III; [qoeeol:?]; [otair:?]; Teil-/Nominalträger; genaue Basisbedeutung offen; [cheeody:?]; heiß-trockener Ansatz am Ende des Grades; [lkair:?]; [ar:?]; [ar:?]; [adam:?]	False
f105r	f105r.14	sheo	kesoar qoeeedy keeody dlls air shckhy oekeody cheody oeey qokeeody sheo lkeey	[kesoar:?] | [qoeeedy:?] | [keeody:?] | [dlls:?] | [air:?] | [shckhy:?] | [oekeody:?] | getrockneter Ansatz | [oeey:?] | [qokeeody:?] | [sheo:?] | [lkeey:?]	[kesoar:?] | [qoeeedy:?] | [keeody:?] | [dlls:?] | [air:?] | [shckhy:?] | [oekeody:?] | getrockneter Ansatz | [oeey:?] | [qokeeody:?] | Feuchtzubereitung | [lkeey:?]	[kesoar:?]; [qoeeedy:?]; [keeody:?]; [dlls:?]; [air:?]; [shckhy:?]; [oekeody:?]; getrockneter Ansatz; [oeey:?]; [qokeeody:?]; Feuchtzubereitung; [lkeey:?]	False
f105r	f105r.24	sheo	pcheor ain ckheey okeeey paiin ar aiiin chpaiikey sheo pcheey dal daiin dam	[pcheor:?] | Menge-/Klassenwert II | [ckheey:?] | [okeeey:?] | Pulver, Typ/Charge III | [ar:?] | Menge-/Klassenwert IV | [chpaiikey:?] | [sheo:?] | Pulver, trocken gebunden, Form II | [dal:?] | Grad-/Maßwert III | [dam:?]	[pcheor:?] | Menge-/Klassenwert II | [ckheey:?] | [okeeey:?] | Pulver, Typ/Charge III | [ar:?] | Menge-/Klassenwert IV | [chpaiikey:?] | Feuchtzubereitung | Pulver, trocken gebunden, Form II | [dal:?] | Grad-/Maßwert III | [dam:?]	[pcheor:?]; Menge-/Klassenwert II; [ckheey:?]; [okeeey:?]; Pulver, Typ/Charge III; [ar:?]; Menge-/Klassenwert IV; [chpaiikey:?]; Feuchtzubereitung; Pulver, trocken gebunden, Form II; [dal:?]; Grad-/Maßwert III; [dam:?]	False
