family	surface	composition	predicted_reading_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	planned_status	final_status
OTCHO_COLD_DRY_PREPARATION	tcho	(t+ch)+o	kalt-trockene Zubereitung	8	8	3	3	SISTER	SISTER
OTCHO_COLD_DRY_PREPARATION	tchod	(t+ch)+o+d	kalt-trockene Zubereitung, gebunden	2	2	2	2	SISTER	SISTER
OTCHO_COLD_DRY_PREPARATION	tchody	(t+ch)+o+d+y	kalt-trockene Zubereitung, abgeschlossene Grundform	8	8	6	6	SISTER	SISTER
OTCHO_COLD_DRY_PREPARATION	otcho	o+(t+ch)+o	kalt-trockene Zubereitung	7	7	6	6	TARGET	ACCEPTED_V27
OTCHO_COLD_DRY_PREPARATION	otchod	o+(t+ch)+o+d	kalt-trockene Zubereitung im O-Rahmen, gebunden	2	2	2	2	SISTER	SISTER
OTCHO_COLD_DRY_PREPARATION	otchody	o+(t+ch)+o+d+y	kalt-trockene Zubereitung im O-Rahmen, abgeschlossene Grundform	3	3	2	2	SISTER	SISTER
OTCHO_COLD_DRY_PREPARATION	qotcho	qo+(t+ch)+o	kalt-trockene Zubereitung im QO-Rahmen	9	9	9	9	SISTER	SISTER
OTCHO_COLD_DRY_PREPARATION	qotchod	qo+(t+ch)+o+d	kalt-trockene Zubereitung, fertig gebunden	2	2	2	2	V26_ANCHOR	V26_ANCHOR
OTCHO_COLD_DRY_PREPARATION	qotchody	qo+(t+ch)+o+d+y	kalt-trockene Zubereitung im QO-Rahmen, abgeschlossene Grundform	3	3	2	3	SISTER	SISTER
CHOL_OR_FUSED_INGREDIENT	ol	ol	Materialträger	463	108	376	376	V26_ANCHOR	V26_ANCHOR
CHOL_OR_FUSED_INGREDIENT	or	or	Anteil oder Portion	321	114	235	235	V26_ANCHOR	V26_ANCHOR
CHOL_OR_FUSED_INGREDIENT	olor	ol+or	Zutat	26	17	22	22	V26_ANCHOR	V26_ANCHOR
CHOL_OR_FUSED_INGREDIENT	chol	ch+ol	Trockengut	343	125	303	303	V26_ANCHOR	V26_ANCHOR
CHOL_OR_FUSED_INGREDIENT	cholor	chol+or	trockene Zutat	5	5	4	4	TARGET	ACCEPTED_V27
CHOL_OR_FUSED_INGREDIENT	sholor	shol+or	feuchte Zutat	2	2	1	2	SISTER	SISTER
CHOL_OR_FUSED_INGREDIENT	tolor	tol+or	kalte Zutat	1	1	1	1	SISTER_LOW_N	SISTER_LOW_N
SH_E_O_PREPARATION_SHELL	cho	ch+o	Trockenansatz	75	51	45	45	SISTER	SISTER
SH_E_O_PREPARATION_SHELL	cheo	ch+e+o	trocken gebundene Zubereitung	54	30	36	36	V26_ANCHOR	V26_ANCHOR
SH_E_O_PREPARATION_SHELL	sho	sh+o	Feuchtansatz	106	65	93	93	V26_ANCHOR	V26_ANCHOR
SH_E_O_PREPARATION_SHELL	sheo	sh+e+o	Feuchtzubereitung	37	29	28	28	TARGET	ACCEPTED_V27
LOCAL_Y_CH_E_OL_ENTRY	ychol	y|(ch+ol)	Trockengut dieser Droge	10	10	9	9	SISTER	SISTER
LOCAL_Y_CH_E_OL_ENTRY	ycheol	y|(ch+e+ol)	trockener Drogenstoff dieser Droge	11	10	8	9	TARGET	ACCEPTED_V27
LOCAL_Y_CH_E_OL_ENTRY	ychor	y|(ch+or)	trockener Anteil dieser Droge	14	14	13	14	SISTER	SISTER
LOCAL_Y_CH_E_OL_ENTRY	ycheor	y|(ch+e+or)	trockener Drogenteil dieser Droge	6	5	6	6	SISTER	SISTER
SH_E_CKH_SUBDEGREE	shckhy	sh+CKH_LEARNED+y	feuchte Arzneimischung, Anfangsgrad	51	25	44	45	SISTER	SISTER
SH_E_CKH_SUBDEGREE	shckhey	sh+CKH_LEARNED+e+y	feuchte Arzneimischung, Mittelgrad	10	9	8	8	SISTER	SISTER
SH_E_CKH_SUBDEGREE	shckhdy	sh+CKH_LEARNED+d+y	feuchte Arzneimischung, Anfangsgrad, abgeschlossen	1	1	1	1	SISTER_LOW_N	SISTER_LOW_N
SH_E_CKH_SUBDEGREE	shckhedy	sh+CKH_LEARNED+e+d+y	feuchte Arzneimischung, Mittelgrad, abgeschlossen	5	4	3	3	SISTER	SISTER
SH_E_CKH_SUBDEGREE	sheckhy	sh+e+CKH_LEARNED+y	feuchte Arzneimischung, Anfangsgrad, gebunden	33	17	24	24	TARGET	ACCEPTED_V27
SH_E_CKH_SUBDEGREE	sheckhey	sh+e+CKH_LEARNED+e+y	feuchte Arzneimischung, Mittelgrad, gebunden	4	4	4	4	TARGET	ACCEPTED_V27
SH_E_CKH_SUBDEGREE	sheckheey	sh+e+CKH_LEARNED+ee+y	feuchte Arzneimischung, Endgrad, gebunden	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
SH_E_CKH_SUBDEGREE	sheckhdy	sh+e+CKH_LEARNED+d+y	feuchte Arzneimischung, Anfangsgrad, gebunden und abgeschlossen	2	2	0	0	HELD_ZERO_EXACT	HELD_ZERO_EXACT
SH_E_CKH_SUBDEGREE	sheckhedy	sh+e+CKH_LEARNED+e+d+y	feuchte Arzneimischung, Mittelgrad, gebunden und abgeschlossen	4	4	3	3	TARGET	ACCEPTED_V27
SH_E_CKH_SUBDEGREE	sheckheedy	sh+e+CKH_LEARNED+ee+d+y	feuchte Arzneimischung, Endgrad, gebunden und abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
