statement_id	record_unit_id	page	dossier_id	master_command_de	macro_sequence	scribe_id	tuple_sequence	semantic_readback_de	original_surface_sequence	counterfactual_surface_sequence	line_broken_copy	changed_token_count	tuple_sequence_changed	starts_after_committed_cell	meaning_changed	copy_status
H1-S001	H1	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	M01>M08>M05>M04>M05>M06>M04>M07>M04	S1_BARE_MASTER	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	3	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H1-S001	H1	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	M01>M08>M05>M04>M05>M06>M04>M07>M04	S2_Q_CELL_SCRIBE	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	3	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H1-S001	H1	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	M01>M08>M05>M04>M05>M06>M04>M07>M04	S3_S_LINE_SCRIBE	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	dchey cthoor char / chety os chair / otytchol choky aiin / etyd	3	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H1-S001	H1	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	M01>M08>M05>M04>M05>M06>M04>M07>M04	S4_MIXED_COMPACT	65f320e75510b2f38182 dedc383b600397a301ee 4d4559019a961b834aa1 80ebbbbf238eee9f0aef df1098831679a8ad1b39 12efe866f335461823a6 62ff059766b21c7de083 276a7c2d74d1143446f4 2f1c5e56e8f0ff459065 a6939862e33ece5a0483	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor dar chty os chair otytchol oky saiin etyd	dchey cthoor dar chty / os chair otytchol oky / saiin etyd	2	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H1-S002	H1	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	M07>M02>M08	S1_BARE_MASTER	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	chokchy qotchol cheol checthy	3	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H1-S002	H1	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	M07>M02>M08	S2_Q_CELL_SCRIBE	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	chokchy qotchol cheol checthy	3	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H1-S002	H1	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	M07>M02>M08	S3_S_LINE_SCRIBE	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	qokchy qotchol chol cthy	chokchy qotchol cheol shcthy	chokchy qotchol cheol / shcthy	3	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H1-S002	H1	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	M07>M02>M08	S4_MIXED_COMPACT	9ad66e67803a12e745de e8a6105b5c3a6220b440 dcda95c81a5460feb191 e0b630cb1b5df5e7105b	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	qokchy qotchol chol cthy	okchy qotchol ol cthy	okchy qotchol ol cthy	2	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H2-S001	H2	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	M03>M08>M03>M04>M08>M02>M04>M02	S1_BARE_MASTER	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	5	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H2-S001	H2	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	M03>M08>M03>M04>M08>M02>M04>M02	S2_Q_CELL_SCRIBE	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	5	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
H2-S001	H2	f10r	D1_ROOT_BATH_RIGHT_WHEEL	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	M03>M08>M03>M04>M08>M02>M04>M02	S3_S_LINE_SCRIBE	7249edc4df3419c26999 e0b630cb1b5df5e7105b 7a4bb8136330ee4e6e56 f3c23f42baf625639e1e af816c04e65874a0f2fa b921a237be883a820352 b921a237be883a820352 2f1c5e56e8f0ff459065 b921a237be883a820352	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey shy aiin chey	ycheor checthy chor / cthaiin qoctholy chey / shy aiin chey	5	NO	NO	NO	COUNTERFACTUAL_WORKSHOP_COPY__NOT_MANUSCRIPT_TRANSCRIPTION
