exercise_id	dossier_id	master_dictation_de	scribe_id	tuple_sequence	semantic_readback_de	base_generated_sequence	scribe_surface_sequence	line_broken_copy	changed_token_count	tuple_sequence_changed	meaning_changed	all_surfaces_registered	copy_status
X01	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelansatz bereitstellen und auf Sollmaß einstellen	S1_BARE_MASTER	65f320e75510b2f38182 dedc383b600397a301ee b5fcea1eaed06b2f2291	Wurzel -> Ansatz bereit -> auf Sollmaß einstellen	dchey cthoor qokaiin	dchey cthoor okaiin	dchey cthoor okaiin	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X01	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelansatz bereitstellen und auf Sollmaß einstellen	S2_Q_CELL_SCRIBE	65f320e75510b2f38182 dedc383b600397a301ee b5fcea1eaed06b2f2291	Wurzel -> Ansatz bereit -> auf Sollmaß einstellen	dchey cthoor qokaiin	dchey cthoor okaiin	dchey cthoor okaiin	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X01	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelansatz bereitstellen und auf Sollmaß einstellen	S3_S_LINE_SCRIBE	65f320e75510b2f38182 dedc383b600397a301ee b5fcea1eaed06b2f2291	Wurzel -> Ansatz bereit -> auf Sollmaß einstellen	dchey cthoor qokaiin	dchey cthoor okaiin	dchey cthoor okaiin	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X01	D1_ROOT_BATH_RIGHT_WHEEL	Wurzelansatz bereitstellen und auf Sollmaß einstellen	S4_MIXED_COMPACT	65f320e75510b2f38182 dedc383b600397a301ee b5fcea1eaed06b2f2291	Wurzel -> Ansatz bereit -> auf Sollmaß einstellen	dchey cthoor qokaiin	dchey cthoor okaiin	dchey cthoor okaiin	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X02	D1_ROOT_BATH_RIGHT_WHEEL	Aus demselben Ansatz weiterarbeiten	S1_BARE_MASTER	4d4559019a961b834aa1 7a4bb8136330ee4e6e56 dcda95c81a5460feb191	daraus -> Ansatz -> fortsetzen	char chor chol	char chor cheol	char chor cheol	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X02	D1_ROOT_BATH_RIGHT_WHEEL	Aus demselben Ansatz weiterarbeiten	S2_Q_CELL_SCRIBE	4d4559019a961b834aa1 7a4bb8136330ee4e6e56 dcda95c81a5460feb191	daraus -> Ansatz -> fortsetzen	char chor chol	char chor cheol	char chor cheol	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X02	D1_ROOT_BATH_RIGHT_WHEEL	Aus demselben Ansatz weiterarbeiten	S3_S_LINE_SCRIBE	4d4559019a961b834aa1 7a4bb8136330ee4e6e56 dcda95c81a5460feb191	daraus -> Ansatz -> fortsetzen	char chor chol	sar chor cheol	sar chor cheol	2	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X02	D1_ROOT_BATH_RIGHT_WHEEL	Aus demselben Ansatz weiterarbeiten	S4_MIXED_COMPACT	4d4559019a961b834aa1 7a4bb8136330ee4e6e56 dcda95c81a5460feb191	daraus -> Ansatz -> fortsetzen	char chor chol	sar or ol	sar or ol	3	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X03	D1_ROOT_BATH_RIGHT_WHEEL	Eine Portion zugeben und kurz geschlossen ansetzen	S1_BARE_MASTER	1645e612504fcef59ced 7db18b2f0fb7ed0fcfd3	eine Portion zugeben -> kurz ansetzen; Schluss	qokain qokedy	okain qokedy	okain qokedy	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X03	D1_ROOT_BATH_RIGHT_WHEEL	Eine Portion zugeben und kurz geschlossen ansetzen	S2_Q_CELL_SCRIBE	1645e612504fcef59ced 7db18b2f0fb7ed0fcfd3	eine Portion zugeben -> kurz ansetzen; Schluss	qokain qokedy	okain qokedy	okain qokedy	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X03	D1_ROOT_BATH_RIGHT_WHEEL	Eine Portion zugeben und kurz geschlossen ansetzen	S3_S_LINE_SCRIBE	1645e612504fcef59ced 7db18b2f0fb7ed0fcfd3	eine Portion zugeben -> kurz ansetzen; Schluss	qokain qokedy	okain qokedy	okain qokedy	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
X03	D1_ROOT_BATH_RIGHT_WHEEL	Eine Portion zugeben und kurz geschlossen ansetzen	S4_MIXED_COMPACT	1645e612504fcef59ced 7db18b2f0fb7ed0fcfd3	eine Portion zugeben -> kurz ansetzen; Schluss	qokain qokedy	okain qokedy	okain qokedy	1	NO	NO	YES	APPRENTICE_EXERCISE__NOT_MANUSCRIPT_TEXT
