trace_no	step_no	clause_id	record	page	silent_owner_de	source_position_id	visible_event_ids	observed_surface	observed_card_no	component_parse	decoded_atomic_value_de	candidate_card_nos_from_components	semantic_roundtrip	exact_card_roundtrip	master_card_prose_used	renderer_rule_type	renderer_branch	predicted_card_no	renderer_exact_match
1	1	I023-C01	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	SRC_E156	E156	sal	PROC055	AL	bezeichnete Stelle	PROC055	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC055	YES
1	2	I023-C01	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	SRC_E157	E157	teol	PROC093	E+OL	kurz · fortsetzen	PROC093	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC093	YES
1	3	I023-C01	B1	f81v	gemeinsame zweireihige Figuren-/Beckenstation	SRC_E158	E158	dchdy	PROC094	CHD+DY	überführen und den Schritt schließen	PROC076|PROC094	PASS	NEEDS_LOCAL_ALLOGRAPH	NO	NEIGHBOR_RULE	EXCEPTION	PROC094	YES
2	1	I040-C03	B2	f82r	kleine Randstationen des unteren Beckens	SRC_E217	E217	aiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC009	YES
2	2	I040-C03	B2	f82r	kleine Randstationen des unteren Beckens	SRC_E218	E218	oteey	PROC109	OT+EE+Y	danach · länger · dieser Posten	PROC109	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC109	YES
2	3	I040-C03	B2	f82r	kleine Randstationen des unteren Beckens	SRC_E219	E219	qokaiin	PROC038	OK+AIIN	nach vorgeschriebenem Maß in Einsatz bringen	PROC038	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC038	YES
3	1	I064-C02	B3	f83r	unverbundener Zwischenbereich	SRC_E271	E271	shcthy	PROC014	CTH+Y	bereit · dieser Posten	PROC014	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC014	YES
3	2	I064-C02	B3	f83r	unverbundener Zwischenbereich	SRC_E272	E272	dal	PROC055	AL	bezeichnete Stelle	PROC055	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC055	YES
3	3	I064-C02	B3	f83r	unverbundener Zwischenbereich	SRC_E273	E273	sy	PROC019	Y	dieser Posten	PROC019	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC019	YES
3	4	I064-C02	B3	f83r	unverbundener Zwischenbereich	SRC_E274	E274	saiin	PROC009	AIIN	vorgeschriebenes Maß	PROC009	PASS	PASS	NO	UNIQUE_PARSE	UNIQUE_PARSE	PROC009	YES
