event_id	page	record	locus	component_parse	previous_component_parse	next_component_parse	observed_card_no	predicted_card_no	prediction_branch	rule_type	exact_card_match	structural_without_local_memory_match
E120	f81v	B1	f81v.7	CHD+DY	CKH+Y	OL	PROC076	PROC076	DEFAULT	NEIGHBOR_RULE	YES	YES
E158	f81v	B1	f81v.24	CHD+DY	E+OL	L+Y	PROC094	PROC094	EXCEPTION	NEIGHBOR_RULE	YES	YES
E167	f82r	B2	f82r.2	CHD+DY	START	OL+CHD+DY	PROC076	PROC076	DEFAULT	NEIGHBOR_RULE	YES	YES
E239	f83r	B3	f83r.6	CHD+DY	AR	CHD+Y	PROC076	PROC076	DEFAULT	NEIGHBOR_RULE	YES	YES
E283	f83r	B3	f83r.16	CHD+DY	L+CHD+DY	OK+CHD+DY	PROC076	PROC076	DEFAULT	NEIGHBOR_RULE	YES	YES
E062	f55v	H4	f55v.5	CHD+Y	AIIN	TALAM	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E123	f81v	B1	f81v.17	CHD+Y	SH+K+CHD+DY	OL	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E145	f81v	B1	f81v.21	CHD+Y	LSH+E+DY	SOLK+Y	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E240	f83r	B3	f83r.6	CHD+Y	CHD+DY	OK+AL	PROC133	PROC133	EXCEPTION	NEIGHBOR_RULE	YES	YES
E244	f83r	B3	f83r.6	CHD+Y	OK+AIIN	OK+EE+DY	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E252	f83r	B3	f83r.8	CHD+Y	OK+Y	AR+Y	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E287	f83r	B3	f83r.16	CHD+Y	L+AIIN	OK+AIN	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E304	f83r	B3	f83r.22	CHD+Y	CHD+AIN	OT+E+AIIN	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E319	f83r	B4	f83r.25	CHD+Y	OK+E+DY	OT+AL	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E328	f83r	B4	f83r.27	CHD+Y	AIN	OK+EE+DY	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E342	f83r	B4	f83r.35	CHD+Y	OK+AIN	OL	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E372	f83r	B5	f83r.49	CHD+Y	DA+IIN	END	PROC042	PROC042	DEFAULT	NEIGHBOR_RULE	YES	YES
E066	f55v	H4	f55v.11	CHK+EE+Y	CH+E+O+AR	OL+DY	PROC046	PROC046	DEFAULT	RECORD_RULE	YES	YES
E183	f82r	B2	f82r.4	CHK+EE+Y	O+CTH+E+OL	L+DY	PROC107	PROC107	EXCEPTION	RECORD_RULE	YES	YES
E333	f83r	B4	f83r.28	CHK+EE+Y	AIIN	SH+EE+Y	PROC046	PROC046	DEFAULT	RECORD_RULE	YES	YES
E131	f81v	B1	f81v.18	OK+CHD+DY	R+AL	Y	PROC082	PROC082	DEFAULT	NEIGHBOR_RULE	YES	YES
E151	f81v	B1	f81v.24	OK+CHD+DY	T+E+Y	OK+AL	PROC091	PROC091	EXCEPTION	NEIGHBOR_RULE	YES	YES
E264	f83r	B3	f83r.14	OK+CHD+DY	L+O	OK+EE+DY	PROC091	PROC091	EXCEPTION	NEIGHBOR_RULE	YES	YES
E284	f83r	B3	f83r.16	OK+CHD+DY	CHD+DY	EE+AR	PROC082	PROC082	DEFAULT	NEIGHBOR_RULE	YES	YES
E363	f83r	B5	f83r.47	OK+CHD+DY	OT+CHD+DY	SHED+AL	PROC082	PROC082	DEFAULT	NEIGHBOR_RULE	YES	YES
E053	f11r	H3	f11r.7	OK+OL	OT+Y	CTH+Y	PROC037	PROC037	DEFAULT	RECORD_RULE	YES	YES
E346	f83r	B4	f83r.37	OK+OL	L+CHD+DY	SHED+DY	PROC160	PROC160	EXCEPTION	RECORD_RULE	YES	YES
E008	f10r	H1	f10r.2	OK+Y	OT+Y+T+CH+OL	AIIN	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
E011	f10r	H1	f10r.5	OK+Y	E+T+Y	OT+CH+OL	PROC011	PROC011	EXCEPTION	LOCAL_LOCUS_MEMORY	YES	NO
E081	f56r	H5	f56r.7	OK+Y	OT+CH+OR	AL	PROC008	PROC008	DEFAULT	LOCAL_LOCUS_MEMORY	YES	YES
