component_parse	default_card_no	exception_condition	exception_card_no	rule_type	events	exception_events	full_rule_correct	without_local_memory_correct
CHD+DY	PROC076	record=B1 AND previous=E+OL	PROC094	NEIGHBOR_RULE	5	1	5	5
CHD+Y	PROC042	record=B3 AND previous=CHD+DY	PROC133	NEIGHBOR_RULE	12	1	12	12
CHK+EE+Y	PROC046	record=B2	PROC107	RECORD_RULE	3	1	3	3
OK+CHD+DY	PROC082	previous IN {T+E+Y,L+O}	PROC091	NEIGHBOR_RULE	5	2	5	5
OK+OL	PROC037	record=B4	PROC160	RECORD_RULE	2	1	2	2
OK+Y	PROC008	locus IN {f10r.5,f56r.13,f56r.18}	PROC011	LOCAL_LOCUS_MEMORY	13	3	13	10
OL	PROC013	record IN {H3,H5}	PROC034	RECORD_RULE	21	2	21	21
OT+CHD+DY	PROC145	record=B5	PROC166	RECORD_RULE	3	1	3	3
OT+Y	PROC065	record=H3	PROC036	RECORD_RULE	3	1	3	3
SH+EE+Y	PROC031	record=B4 AND previous=CHK+EE+Y	PROC157	NEIGHBOR_RULE	5	1	5	5
Y+K+AIN	PROC039	previous=Y+K+AIN	PROC040	NEIGHBOR_RULE	2	1	2	2
