event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	visible_surface	shortest_visible_kernel	semantic_composition_de	concrete_word_translation_de	reading_with_picture_owner_de	crosses_visible_line	creative_status
1	E001	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	dchey	GANZKARTE[DCHEY = Wurzelteil]	Wurzelteil	Wurzelteil — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
2	E002	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	cthoor	OR[Pflanzenposten oder laufender Ansatz] + CTH/TCH[zerstoßen, rühren oder materiell bearbeiten]	Pflanzenstoff säubern	Pflanzenstoff säubern — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
3	E003	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	dar	AR[gießen, überführen oder Abfluss]	in Ansatz gießen	in Ansatz gießen — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
4	E004	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	chty	GANZKARTE[CHTY = zerschneiden]	zerschneiden	zerschneiden — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
5	E005	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	os	GANZKARTE[OS = Gefäß]	Gefäß	Gefäß — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
6	E006	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	chair	AIR[Fluss, Strom oder Gießen]	Quellwasserstrom	Quellwasserstrom — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
7	E007	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	otytchol	OL[Flüssigkeit, Bad oder Auszug] + CHO/SHO[Pflanze, Pflanzenteil oder Pflanzenzusatz] + OT[danach, zweite Gabe oder Einwirkzeit]	erster Pflanzenauszug	erster Pflanzenauszug — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
8	E008	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	oky	OK[einsetzen, aufbringen oder eintauchen]	Flüssigkeit anwenden	Flüssigkeit anwenden — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
9	E009	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	aiin	AIIN[abgemessenes Maß]	örtliches Maß	örtliches Maß — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
10	E010	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	etyd	GANZKARTE[ETYD = Leibmittel]	Leibmittel	Leibmittel — an der abgebildeten Pflanze oder ihrem Ansatz	NO	CONCRETE_WORKING_TRANSLATION
