stem_id	visible_patterns	selected_concrete_meaning_de	period_vocabulary_parallel	containing_cards	containing_events	example_compositions	competing_assignment_tested	workshop_decision
AIR	air	FLIESSENDE FLÜSSIGKEIT	aqua fluens; aqua; acqua	5	5	chair=PFLANZENWASSER|kair=RÜCKSTROM|okair=OBERER EINLAUF|dairydy=FRISCHER ABFLUSS|schedair=KLARER ABFLUSS	O=Wasser; AIR gewinnt durch chair/kair/okair/schedair	SELECTED
QOK	qok	WARME ODER GEFÜHRTE FLÜSSIGKEIT	calefac; tepidum; balneum	19	75	okeey=TEMPERIEREN|okchedy=ABKÜHLEN|okey=WARMES WASSER|qokokchy=VERWAHREN|okain=PORTION ZUGEBEN|qokol=EINLAUF|oky=ANWENDEN|okal=STELLE BESCHICKEN	bloßer Wortanfang ohne Bedeutung	SELECTED
E_LENGTH_1	qokedy	SPÜLKONTAKT	lava; perfunde	1	8	qokedy=SPÜLEN	nur Schreibdehnung	SELECTED_WORKING
E_LENGTH_2	qokeedy	EINTAUCHEN ODER BADEN	balneum; immerge	1	10	qokeedy=BADEN	nur Schreibdehnung	SELECTED_WORKING
E_LENGTH_3	qokeeedy	DURCHNÄSSEN	madefac; perfunde	1	1	qokeeedy=DURCHNÄSSEN	nur Schreibdehnung	SELECTED_WORKING
AIIN	aiin	KALIBRIERTES MASS	ana; uncia; drachma; oncia	10	39	qotedaiin=GEFÄSSMASS|solkaiin=FILTERTUCH|aiin=MASS|otaiin=GLEICHE DAUER|chodaiin=GESCHWÜR|shfydaiin=AUSZUG|okaiin=FLÜSSIGKEITSMASS|chldaiin=RUHEZEIT	vier Binnenformen bleiben atomar: solkaiin, chodaiin, shfydaiin, ykaiin	SELECTED_WITH_NESTED_EXCEPTIONS
AIN	ain	PORTION ODER GEFÄSSFÜLLUNG	pars; portio; manipulus	7	17	okain=PORTION ZUGEBEN|ykain=ZERSTOSSENE PORTION|dain=ABGEZOGENE PORTION|orain=FRISCH AUFLEGEN|olkain=BECKENFÜLLUNG|kain=PORTION|chedain=SPÜLPORTION	mit AIIN zusammenwerfen	SELECTED_DISTINCT_FROM_AIIN
AL	al	STELLE ODER ZIEL	ad locum; locus; parte	23	40	chdal=ABNAHMESTELLE|chodaly=BLÜHSTELLE|chckhal=LEITUNGSSTELLE|dalchdy=RESTSTELLE|okal=STELLE BESCHICKEN|raly=ERSTE STELLE|schoal=WEIN|lchedal=UNTERES BECKEN	schoal, rsheal, chealror, talam bleiben ganze Karten; A+L=Menge verliert	SELECTED_WITH_NESTED_EXCEPTIONS
OL	ol	FLÜSSIGKEIT; ÖL IM HERBAL	oleum; olio; liquor	30	56	rol=VOR DEM KÜHLEN|oldy=ANWENDUNG BEENDEN|solkeey=BECKEN BEREITEN|oltchy=ERWÄRMEN|qokol=EINLAUF|olchedy=ABSTELLEN|solkaiin=FILTERTUCH|okchol=ÖL	O=Wasser + L=Becken	SELECTED_ATOMIC
OR	or	ANSATZ ODER CHARGE	massa; compositio; mistura	10	18	otchor=EINZELPOSTEN|oykchor=GLASIERTES GEFÄSS|orain=FRISCH AUFLEGEN|ycheor=JUNGER SPROSS|or=ANSATZ|ldalor=BEHANDLUNGSSTELLE|chochor=BILDPFLANZE|chealror=KLAR	O+R = Wasser plus Wurzel	SELECTED_ATOMIC
