rank	stem_or_family	concrete_semantic_nucleus_de	positional_or_allograph_rule	cards	events	pages	example_kernels	strength	hardest_attack	selected_in_best_model
1	AIIN	abgemessenes Maß	extra i markiert normierte oder wiederholte Messung	12	41	f10r|f11r|f55v|f56r|f81v|f82r|f83r	qotedaiin|solkaiin|aiin|kaiiin|otaiin|chodaiin|shfydaiin|okaiin|chldaiin|cthaiin|ykaiin|daiiin	STRONG	Schwachstellen shfydaiin und qotedaiin werden als gemessene Ziehzeit/Gefäßfüllung gelesen; falls diese Lesung kippt, AIIN enger auf Dosis beschränken.	YES
2	AIN	Anteil oder Portion	kürzere Mengenform; nicht mit AIIN zusammenwerfen	7	17	f55v|f81v|f82r|f83r	okain|ykain|dain|orain|olkain|kain|chedain	STRONG	ykain und chedain sind die härtesten Fälle; beide bleiben Portion eines Blatt- bzw. Spülmaterials.	YES
3	AIR	Fluss, Strom oder Gießen	chair/kair/okair/schedair/dairydy	5	5	f10r|f81v|f83r	chair|kair|okair|dairydy|schedair	STRONG	chair=Quellwasserstrom, kair=Rücklauf, okair=Oberlauf, schedair=klarer Abfluss; dairydy ist die schwächste fünfte Bildung, aber behält Flüssigkeitsübertragung.	YES
4	AL	Zielstelle, Gefäßplatz oder bezeichnete Zeitstelle	nur positionsgebundene AL-Familie	19	36	f11r|f55v|f56r|f81v|f82r|f83r	chdal|chodaly|chckhal|okal|raly|schoal|lchedal|qokaly|ral|sheckhal|kchal|olsaly	STRONG	chodaly und shedal erzwingen neben räumlichem Ziel eine bezeichnete Zeitstelle; deshalb AL=Lokus, nicht bloß Becken.	YES
5	OL	Flüssigkeit, Bad oder Auszug	eigenständiger Kern; O allein wird nicht gelesen	30	56	f10r|f11r|f55v|f56r|f81v|f82r|f83r	rol|oldy|solkeey|oltchy|qokol|olchedy|solkaiin|okchol|olkeedy|solkey|otol|otytchol	STRONG	tshol ist der härteste Fall und wird als Frühlingspflanzensaft gelesen; O allein erklärt dagegen OK/OT/OR nicht.	YES
6	OR	Pflanzenposten oder laufender Ansatz	End-/Ganzkern OR	10	18	f10r|f55v|f56r|f81v|f83r	otchor|oykchor|orain|ycheor|or|ldalor|chochor|chealror|olor|cthoor	MEDIUM	ldalor ist schwach, behält aber Flüssigkeitscharge; kein Personen-/Funktionswert zugelassen.	YES
7	CHO/SHO	Pflanze, Pflanzenteil oder Pflanzenzusatz	SHO nur außerhalb der längeren Spülform LSH	18	23	f10r|f11r|f56r	chokcheo|chodaly|otchor|oykchor|cho|tchody|okchol|schoal|shoyty|otytchol|chodaiin|kchol	MEDIUM	Alle 23 Vorkommen liegen auf den freigegebenen Pflanzenseiten; LSHO im Badeteil wird durch längeres LSH=Spülbeginn blockiert.	YES
8	OK	einsetzen, aufbringen oder eintauchen	q ist eine sichtbare Variante, kein Bedeutungsplus	23	79	f10r|f11r|f55v|f56r|f81v|f82r|f83r	okeey|okchedy|chokcheo|okey|qokokchy|okain|qokol|oky|okal|okchol|qokar|qokaly	MEDIUM	okeeol und qokol sind keine bloßen Verben, behalten aber Einsetzen/Einlaufen als Handlungsnukleus.	YES
9	KEY/KEEY/EKY	Wärme oder Erwärmen	physischer Temperaturkern	8	18	f55v|f81v|f82r|f83r	okeey|okey|solkeey|cheeky|solkey|qekey|cheky|chkeey	MEDIUM	solkey und chkeey verlangen warmen Lauf bzw. Wärmegefäß; fällt Wärme dort aus, muss der Stamm enger werden.	YES
10	DY	Wasser, Nässe oder nasse Behandlung	-EDY bleibt dieselbe nasse Kernfamilie	38	100	f11r|f55v|f56r|f81v|f82r|f83r	sheedy|ldy|okchedy|oldy|dchedy|olchedy|dalchdy|tchody|lshedy|olkeedy|otchedy|sshkchdy	MEDIUM	Alle 38 Karten werden auf Wasser/Nässe zurückgeführt; trockene Deutung einer davon wäre ein direkter Gegenbeleg.	YES
