event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface	selected_segmentation	card_default_de	contextual_reading_de	concrete_fragment_de
1	E001	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	DCH+E+Y	WURZEL	WURZEL	wurzel
2	E002	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	CTHO+OR	REINIGEN	REINIGEN	reinigen
3	E003	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	AR	VORANSATZ	VORIGE ARZNEI	vorige arznei
4	E004	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	CH+TY	SCHNEIDEN	SCHNEIDEN	schneiden
5	E005	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	WHOLE(OS:GEFÄSS)	GEFÄSS	GEFÄSS	gefäss
6	E006	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	CH+AIR	PFLANZENWASSER	PFLANZENWASSER	pflanzenwasser
7	E007	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	OTYTCH+OL	AUSZUG	AUSZUG	auszug
8	E008	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	QOK+Y	ANWENDEN	ANWENDEN	anwenden
9	E009	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	A+IIN	MASS	MASS	mass
10	E010	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	WHOLE(ETYD:WURZEL)	WURZEL	WURZEL	wurzel
11	E011	H1	f10r	f10r.5	F002	H1-S002	9ad66e67803a12e745de	qokchy	OK+CH+Y	NACHANSATZ	ZWEITER AUSZUG	zweiter auszug
12	E012	H1	f10r	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	qotchol	QOTCH+OL	ERWÄRMEN	ERWÄRMEN	erwärmen
13	E013	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	chol	OL	FLÜSSIGKEIT	PFLANZENAUSZUG	pflanzenauszug
14	E014	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	cthy	CTH+Y	PRÜFZUSTAND	PFLANZENREIFE	pflanzenreife
15	E015	H2	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	ycheor	YCHE+OR	JUNGER SPROSS	JUNGER SPROSS	junger spross
16	E016	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	cthy	CTH+Y	PRÜFZUSTAND	PFLANZENREIFE	pflanzenreife
17	E017	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	chor	OR	ANSATZ	ARZNEIANSATZ	arzneiansatz
18	E018	H2	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	cthaiin	CTH+A+IIN	ZERKLEINERUNGSGRAD	ZERKLEINERUNGSGRAD	zerkleinerungsgrad
19	E019	H2	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	qoctholy	WHOLE(QOCTHOLY:SAFT PRESSEN)	SAFT PRESSEN	SAFT PRESSEN	saft pressen
20	E020	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	dy	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
21	E021	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	chy	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
22	E022	H2	f10r	f10r.6	F003	H2-S001	2f1c5e56e8f0ff459065	taiin	A+IIN	MASS	MASS	mass
23	E023	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	shy	Y	ZUBEREITUNG	ARZNEIZUBEREITUNG	arzneizubereitung
24	E024	H2	f10r	f10r.8	F004	H2-S002	10488b911aae52b3b334	qotchor	QOT+CH+OR	EINZELPOSTEN	EINZELNE PFLANZENPORTION	einzelne pflanzenportion
25	E025	H2	f10r	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	chor	OR	ANSATZ	ARZNEIANSATZ	arzneiansatz
26	E026	H2	f10r	f10r.8	F004	H2-S002	497cbd9c7401810ff56b	otol	OT+OL	HANDVOLL	HANDVOLL	handvoll
