joint_tuple_id	surface_examples	visible_occurrences	pages	records	shortest_surface	selected_segmentation	compact_default_de	nested_string_decision	event_ids
00d8ebe3c68294eeac39	chdal	1	f83r	B5	chdal	CH+D+AL	ABNAHMESTELLE	AL selected as site; A+L amount-plus-basin was less reusable	E368
0275fbf14e07935b0a45	okeey|qokeey	7	f81v|f82r|f83r	B1|B2|B3|B4	okeey	QOK+EE+Y	TEMPERIEREN	whole card or listed recurring roots; no automatic substring split	E153|E175|E194|E205|E293|E317|E322
03626ca94cb17800d767	sheedy	1	f83r	B3	sheedy	SH+EE+DY	WASCHEN	whole card or listed recurring roots; no automatic substring split	E261
04a3877f0fc81b7597c9	ldy	2	f82r|f83r	B2|B3	ldy	L+DY	ABZIEHEN	whole card or listed recurring roots; no automatic substring split	E184|E308
07913ef9b1fb773cd325	okchedy|qokchedy	2	f81v|f83r	B1|B3	okchedy	OK+CH+E+DY	ABKÜHLEN	whole card or listed recurring roots; no automatic substring split	E151|E264
087a47b5423438cd6b6a	chokcheo	1	f56r	H5	chokcheo	WHOLE(CHOKCHEO:WEIN)	WEIN	whole card or listed recurring roots; no automatic substring split	E092
08bd5ca0c2ad137a056d	okey|qokey	2	f81v|f82r	B1|B2	okey	QOK+E+Y	WARMES WASSER	whole card or listed recurring roots; no automatic substring split	E142|E220
0ab57b7166de99db3a55	lchy	1	f82r	B2	lchy	L+CH+Y	KLAR ABZIEHEN	whole card or listed recurring roots; no automatic substring split	E202
0bdc8b6db811b4e67a63	chary	1	f83r	B3	chary	WHOLE(CHARY:ABKÜHLEN)	ABKÜHLEN	whole card or listed recurring roots; no automatic substring split	E253
0ec6a45e2950e8e7061d	chodaly	1	f56r	H5	chodaly	CH+OD+AL+Y	BLÜHSTELLE	AL selected as site; A+L amount-plus-basin was less reusable	E076
0f15effeca7ab10bb026	lchedar	1	f82r	B2	lchedar	LCHED+AR	KÜHLES WASSER	whole card or listed recurring roots; no automatic substring split	E215
0f18de177ed7c878bf95	dl	2	f81v	B1	dl	D+L	BADEZUSATZ	whole card or listed recurring roots; no automatic substring split	E112|E129
10488b911aae52b3b334	otchor|qotchor	2	f10r|f56r	H2|H5	otchor	QOT+CH+OR	EINZELPOSTEN	whole card or listed recurring roots; no automatic substring split	E024|E080
12efe866f335461823a6	chair	1	f10r	H1	chair	CH+AIR	PFLANZENWASSER	AIR selected as flowing liquid; heat/air reading was less coherent	E006
1322bc176443fc2a8a86	qokokchy	1	f56r	H5	qokokchy	WHOLE(QOKOKCHY:VERWAHREN)	VERWAHREN	whole card or listed recurring roots; no automatic substring split	E090
1496a731803a9f48d2e1	rol	1	f81v	B1	rol	R+OL	VOR DEM KÜHLEN	whole card or listed recurring roots; no automatic substring split	E111
1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	B1|B2|B3|B4	okain	OK+AIN	PORTION ZUGEBEN	AIN selected as physical portion or vessel fill	E127|E169|E198|E200|E288|E341|E352
1779decef17481ec2853	qotedaiin	1	f83r	B3	qotedaiin	QOT+ED+A+IIN	GEFÄSSMASS	AIIN selected as calibrated measure/degree	E305
1b1ffdd869fb1429ad03	oldy	2	f55v|f83r	H4|B4	oldy	OL+DY	ANWENDUNG BEENDEN	whole card or listed recurring roots; no automatic substring split	E067|E337
1bfd786e6b8b63734a59	solkeey	1	f83r	B6	solkeey	SOLKE+E+Y	BECKEN BEREITEN	whole card or listed recurring roots; no automatic substring split	E373
204b04837409088c48f9	oltchy	1	f55v	H4	oltchy	WHOLE(OLTCHY:ERWÄRMEN)	ERWÄRMEN	whole card or listed recurring roots; no automatic substring split	E070
21ed2873b71e57269c08	chckhal	1	f83r	B4	chckhal	CH+CKH+AL	LEITUNGSSTELLE	AL selected as site; A+L amount-plus-basin was less reusable	E355
22fb87a5a83e5c3fb510	kair	1	f81v	B1	kair	K+AIR	RÜCKSTROM	AIR selected as flowing liquid; heat/air reading was less coherent	E103
232195d6ff2f326322f7	qokol	1	f83r	B4	qokol	QOK+OL	EINLAUF	whole card or listed recurring roots; no automatic substring split	E346
259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	f81v|f82r|f83r	B1|B2|B3	dchedy	D/S/T+CH+E+DY	NACHSPÜLEN	whole card or listed recurring roots; no automatic substring split	E120|E167|E239|E283
276a7c2d74d1143446f4	choky|oky|qoky	10	f10r|f56r|f81v|f82r|f83r	H1|H5|B1|B2|B3|B4	oky	QOK+Y	ANWENDEN	whole card or listed recurring roots; no automatic substring split	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323
27d97af8c96eb056c2e6	oykchor	1	f10r	H2	oykchor	OYKCH+OR	GLASIERTES GEFÄSS	whole card or listed recurring roots; no automatic substring split	E032
28ffbc88b97772a75f1e	olchedy|qolchedy	3	f81v|f82r|f83r	B1|B2|B3	olchedy	OL+CH+E+DY	ABSTELLEN	whole card or listed recurring roots; no automatic substring split	E126|E168|E242
29e0eb222ef2fb99523a	lar	1	f82r	B2	lar	L+AR	UNTERER ABLAUF	whole card or listed recurring roots; no automatic substring split	E211
2b7fa918d1b2f5c656e3	lo	1	f83r	B3	lo	WHOLE(LO:UNTERER ABLAUF)	UNTERER ABLAUF	whole card or listed recurring roots; no automatic substring split	E263
2bc2ed2630dbdaaa6b59	dalchdy	1	f83r	B3	dalchdy	D+AL+CH+DY	RESTSTELLE	AL selected as site; A+L amount-plus-basin was less reusable	E280
2c1a5fd92b9e3c762242	cheeky	2	f55v|f83r	H4|B4	cheeky	CH+EE+KY	WARMZUSTAND	whole card or listed recurring roots; no automatic substring split	E066|E333
2c82523794dcb7d2b343	oiiin|soiiin	2	f81v|f83r	B1|B3	oiiin	O+IIIN	KLARGRAD	AIIN selected as calibrated measure/degree	E161|E309
2cc054357a929df85f64	cho|sho	4	f56r	H5	cho	CH/SH+O	KRAUT	whole card or listed recurring roots; no automatic substring split	E075|E078|E088|E094
2cc8bb3c2af19607888f	chckhy|shckhy	4	f81v|f82r	B1|B2	chckhy	CH/SH+CKH+Y	LEITUNG	whole card or listed recurring roots; no automatic substring split	E119|E128|E139|E179
2d2e37ccb2dacc53ee5a	solkaiin	1	f82r	B2	solkaiin	WHOLE(SOLKAIIN:FILTERTUCH)	FILTERTUCH	AIIN-looking interior kept atomic here; local whole-card reading wins	E178
2e2027b1951d79911e24	tchody	1	f11r	H3	tchody	TCHO+DY	ABKÜHLEN	whole card or listed recurring roots; no automatic substring split	E045
2e7e89e0bd12b999c280	lshedy	2	f81v	B1	lshedy	L+SH+E+DY	WASCHGANG	whole card or listed recurring roots; no automatic substring split	E143|E144
