event_serial	event_id	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	surface_display	semantic_segmentation	stable_concrete_nucleus_de	concrete_word_reading_de	contextual_event_reading_de	statement_continuation
1	E001	H1	f10r	f10r.2	F001	H1-S001	65f320e75510b2f38182	dchey	dchey=Wurzelteil	Wurzelteil	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	LOCAL_SEQUENCE
2	E002	H1	f10r	f10r.2	F001	H1-S001	dedc383b600397a301ee	cthoor	cthoor=säubern	säubern	säubern	Säubere ihn	LOCAL_SEQUENCE
3	E003	H1	f10r	f10r.2	F001	H1-S001	4d4559019a961b834aa1	char	ar=aus	aus	aus demselben Ansatz	Führe ihn als denselben Arbeitsansatz weiter	LOCAL_SEQUENCE
4	E004	H1	f10r	f10r.2	F001	H1-S001	80ebbbbf238eee9f0aef	chty	ch=zerkleinern	zerkleinern	zerkleinern	Zerschneide ihn	LOCAL_SEQUENCE
5	E005	H1	f10r	f10r.2	F001	H1-S001	df1098831679a8ad1b39	os	os=Gefäß	Gefäß	Gefäß	Gib die Stücke in ein Gefäß	LOCAL_SEQUENCE
6	E006	H1	f10r	f10r.2	F001	H1-S001	12efe866f335461823a6	chair	air=fließende Flüssigkeit	fließende Flüssigkeit	Quellwasser	Gieße Quellwasser darüber	LOCAL_SEQUENCE
7	E007	H1	f10r	f10r.2	F001	H1-S001	62ff059766b21c7de083	otytchol	otytchol=ersten Auszug auffangen	ersten Auszug auffangen	ersten Auszug auffangen	Fange den ersten Auszug in einem Glas auf	LOCAL_SEQUENCE
8	E008	H1	f10r	f10r.2	F001	H1-S001	276a7c2d74d1143446f4	oky	ok=geben + y=Ansatz	geben + Ansatz	Ansatz geben	Gebrauche diesen Auszug innerlich	LOCAL_SEQUENCE
9	E009	H1	f10r	f10r.2	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	aiin=Maß	Maß	Maß	Nimm davon das örtlich vorgeschriebene kleine Maß	LOCAL_SEQUENCE
10	E010	H1	f10r	f10r.2	F001	H1-S001	a6939862e33ece5a0483	etyd	etyd=Wurzelteil	Wurzelteil	Wurzelteil	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	LOCAL_SEQUENCE
11	E011	H1	f10r	f10r.5	F002	H1-S002	9ad66e67803a12e745de	qokchy	okchy=frischer Auszug	frischer Auszug	frischer Auszug	Nimm erneut von dem frischen ersten Auszug	LOCAL_SEQUENCE
12	E012	H1	f10r	f10r.5	F002	H1-S002	e8a6105b5c3a6220b440	qotchol	qotchol=gelind erwärmen	gelind erwärmen	gelind erwärmen	Erwärme ihn gelinde	LOCAL_SEQUENCE
13	E013	H1	f10r	f10r.5	F002	H1-S002	dcda95c81a5460feb191	chol	ol=weiter	weiter	mit Vorigem weiter	und mit dem vorigen Ansatz weiter	LOCAL_SEQUENCE
14	E014	H1	f10r	f10r.5	F002	H1-S002	e0b630cb1b5df5e7105b	cthy	cthy=bereit	bereit	bereit	Sobald er zum Gebrauch bereit ist, gebrauche ihn	LOCAL_SEQUENCE
15	E015	H2	f10r	f10r.6	F003	H2-S001	7249edc4df3419c26999	ycheor	ycheor=Pflanzenspitzen	Pflanzenspitzen	Pflanzenspitzen	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	LOCAL_SEQUENCE
16	E016	H2	f10r	f10r.6	F003	H2-S001	e0b630cb1b5df5e7105b	cthy	cthy=bereit	bereit	bereit	Sammle sie, wenn sie sich eben öffnen	LOCAL_SEQUENCE
17	E017	H2	f10r	f10r.6	F003	H2-S001	7a4bb8136330ee4e6e56	chor	or=Zubereitung	Zubereitung	Zubereitung	Führe sie als frischen Ansatz	LOCAL_SEQUENCE
18	E018	H2	f10r	f10r.6	F003	H2-S001	f3c23f42baf625639e1e	cthaiin	cthaiin=Kraut zerstoßen	Kraut zerstoßen	Kraut zerstoßen	Zerstoße das Kraut	LOCAL_SEQUENCE
19	E019	H2	f10r	f10r.6	F003	H2-S001	af816c04e65874a0f2fa	qoctholy	qoctholy=durch Tuch	durch Tuch	durch Tuch	Presse den Saft durch ein Tuch	LOCAL_SEQUENCE
20	E020	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	dy	y=Ansatz	Ansatz	Ansatz	Fange die erste Fraktion auf	LOCAL_SEQUENCE
