stem_id	visible_stem_or_template	concrete_nucleus_de	word_kind	segmentation_policy	assigned_cards	assigned_events	visible_candidate_cards	visible_candidate_events	assigned_examples	excluded_counterexample_cards	attack_summary
OK	ok	geben	VERB	LONGEST_INDEPENDENT	6	41	23	79	okeey|qokeey|okey|qokey|okain|qokain|choky|oky|qoky|okal|qokal	07913ef9b1fb773cd325|087a47b5423438cd6b6a|1322bc176443fc2a8a86|232195d6ff2f326322f7|322281bd391aa621f568|3ae9a121ba0045b913e8|4a7a6326ac95a8809302|7d2404c835b10a2c06af|7d25241b0e56c836372a|7db18b2f0fb7ed0fcfd3|87411f84689b4f93a303|93f69c38fdedee1598e9	okchol=in Öl erwärmen und qokaly=am zweiten Lauf weiter sind nur mit Zusatzwissen lesbar und bleiben Ganzwörter.
OT	ot	danach	ADVERB	LONGEST_INDEPENDENT	3	7	16	26	otaiin|sotaiin|otal|qotal|otar	10488b911aae52b3b334|1779decef17481ec2853|497cbd9c7401810ff56b|4de12cf322dfb76ded1e|5d5e0b288cf36864ed9d|601b77449028deed39de|61a075bc54793c1c781f|62ff059766b21c7de083|a48efd6c4491a046ba78|c45ebac60774620561e2|e8a6105b5c3a6220b440|faf321940aed922846a9	otol=Handvoll und oteey=Badezusatz tragen den Zweitbezug nicht deutlich genug.
OL	ol	weiter	ADVERB	LONGEST_INDEPENDENT	4	26	30	56	oldy|olchedy|qolchedy|cheol|chol|ol|qol|sol|tol|cholor|olor	1496a731803a9f48d2e1|1bfd786e6b8b63734a59|204b04837409088c48f9|232195d6ff2f326322f7|2d2e37ccb2dacc53ee5a|322281bd391aa621f568|3b70942557b3a40e8030|42cdc187d5b9ffc60063|497cbd9c7401810ff56b|62ff059766b21c7de083|74c76d589d44120f647b|7811a7daff25d476e28d	olkain=Becken und olkey=oberen Lauf öffnen werden als Ganzwörter behandelt.
Y	y	Ansatz	NOUN	LONGEST_INDEPENDENT	3	29	95	211	lchy|choky|oky|qoky|chey|chy|dy|shy|sy|y	0275fbf14e07935b0a45|03626ca94cb17800d767|04a3877f0fc81b7597c9|07913ef9b1fb773cd325|08bd5ca0c2ad137a056d|0bdc8b6db811b4e67a63|0ec6a45e2950e8e7061d|1322bc176443fc2a8a86|1b1ffdd869fb1429ad03|1bfd786e6b8b63734a59|204b04837409088c48f9|259b2b3b0bf859882e2c	dchey, kchey und ytey werden wegen konkreter Gegenwerte nicht aus Y abgeleitet.
HO	ho	Pflanze	NOUN	LONGEST_INDEPENDENT	2	5	27	68	cho|sho|chochor	087a47b5423438cd6b6a|0ec6a45e2950e8e7061d|10488b911aae52b3b334|276a7c2d74d1143446f4|27d97af8c96eb056c2e6|2e2027b1951d79911e24|322281bd391aa621f568|428a5e3662aa57b4b256|577c03a928d674d420d7|62ff059766b21c7de083|7a4bb8136330ee4e6e56|834825c61d048a6b5628	cthoor=säubern und qoctholy=pressen sind keine Pflanzenwörter; längere Ganzwörter gewinnen.
OR	or	Zubereitung	NOUN	LONGEST_INDEPENDENT	3	10	10	18	chor|or|shor|sor|chochor|cholor|olor	10488b911aae52b3b334|27d97af8c96eb056c2e6|6afeb5c9ab9f6cbdea0d|7249edc4df3419c26999|97ddca78c9ebcc956d04|d788d8d72d41b25a3c71|dedc383b600397a301ee	ycheor=Pflanzenspitzen und kchoar=Brusttrank verhindern eine blinde OR-Vererbung.
AIIN	aiin	Maß	NOUN	LONGEST_INDEPENDENT	3	32	10	39	aiin|chaiin|daiin|saiin|taiin|otaiin|sotaiin|okaiin|qokaiin	1779decef17481ec2853|2d2e37ccb2dacc53ee5a|834825c61d048a6b5628|a8af08e69edab8e54f15|d72f71baff01cd0a0406|f3c23f42baf625639e1e|f7dc90b2c31fd341f0a4	qotedaiin, solkaiin, chodaiin, shfydaiin, chldaiin, cthaiin und ykaiin widerstehen der Maßlesung.
AIN	ain	Portion	NOUN	LONGEST_INDEPENDENT	2	10	7	17	okain|qokain|chkain|kain	403c1592f918c8f23b88|53cd0637c6820ba5e91f|6afeb5c9ab9f6cbdea0d|94df4847b7b16c98394a|d784b2abcaf1a3703de2	dain=durch Tuch, olkain=unteres Becken und chedain=Spülbeginn bleiben Ganzwörter.
AL	al	Stelle	NOUN	LONGEST_INDEPENDENT	6	22	23	40	okal|qokal|lchedal|olsaly|otal|qotal|ldalor	00d8ebe3c68294eeac39|0ec6a45e2950e8e7061d|21ed2873b71e57269c08|2bc2ed2630dbdaaa6b59|3e9c7f217843b588489d|428a5e3662aa57b4b256|4a7a6326ac95a8809302|4da0f0f7b5fc7ac20067|4eab1841ed655c20a348|75a523fcf039b006f97b|78b3b3140714da19090d|93f69c38fdedee1598e9	Dauer-, Mengen-, Wein-, Tuch- und Füllkarten mit sichtbarem al werden nicht zu Orten umgedeutet.
AR	ar	aus	PREPOSITION	LONGEST_INDEPENDENT	4	8	10	14	char|dar|sar|cheoar|skar|otar	0bdc8b6db811b4e67a63|0f15effeca7ab10bb026|29e0eb222ef2fb99523a|342c3f0777337648f4b3|3ae9a121ba0045b913e8|c71c72da4e09e0833392	chary=abkühlen und lchedar=kühles Wasser zeigen, dass ar nicht blind in jedem Wort gelten darf.
