statement_id	record_unit_id	visible_owner	field_ids	frame_modes	visible_sequence	normalized_sequence	literal_card_reading	previous_fluent_expansion	revised_fluent_translation_de	revision_reason
H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F001	CH	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	Nimm den Grundteil der Bildpflanze, bereite einen Anteil im Gefaess vor, giesse Arbeitsfluessigkeit zu und setze den Blueten- oder Folgeteil bis zum Sollmass ein.	Den Grundteil der Bildpflanze nehmen, einen Anteil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen und auf Sollmaß bringen.	CH_BASE_PREPARATION
H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F002	MIXED	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	weiterbearbeiten | Weitergang | weiter | bereit	Bearbeite diese erste Charge weiter und halte den fertigen Grundauszug bereit.	Die erste Charge weiterbearbeiten, weiterführen und als bereit halten.	CH_BASE_PREPARATION
H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F003	MIXED	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	Setze aus dem Grundauszug die naechste Charge an und bringe sie auf das vorgeschriebene Mass.	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, den Folgeposten wählen und diesen auf Sollmaß bringen.	CH_BASE_PREPARATION
H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F004	CH	qotchor chor otol chol cholor chol daiin dar	otchor chor otol cheol cholor cheol aiin char	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	Fuehre denselben Ansatz weiter, entnimm davon eine Sollmenge und behalte die Chargenfolge bei.	Den Folgeansatz und denselben aktiven Ansatz weiterführen, davon eine Sollmenge nehmen und die Folge beibehalten.	CH_BASE_PREPARATION
H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F005	CH	oykchor shor chor chy kaiiin dy chodaiin	oykchor chor chor chey kaiiin chey chodaiin	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.	Den Arbeitsansatz in der nächsten Stufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.	CH_BASE_PREPARATION
B1-S001	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F021	LOW_DATA	qokedy	qokedy	kurz einwirken; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss.	Kurz einwirken lassen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S002	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F022|F023	O|MIXED	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	okaiin kair okal char cheol chkain olkain al cheol rol dl cholor cheol sheckhal aiin qokeedal aiin chckhy dchedy	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Anteil | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.	Die Charge bemessen und in den Beckenlauf einsetzen; davon erst einen, dann einen weiteren Anteil dorthin geben; über Anschluss und Zusatz mit demselben Ansatz weiterarbeiten; kurze Zielpassage und Sollmaß, langer Zieleinsatz und nochmals Sollmaß setzen, dann durchleiten und überführen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S003	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F024|F025	LOW_DATA|LOW_DATA	qol sshkchdy	cheol sshkchdy	weiter | Haltetransfer; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiter — Haltetransfer; Schluss.	Weiterführen und haltend übertragen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S004	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F026	MIXED	chedy ol shedy	chdy cheol cheedy	überführen | weiter | kurz absetzen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.	Überführen, weiterführen und kurz absetzen lassen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
B1-S005	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F027	LOW_DATA	qolchedy	olchedy	weiterführen; Schluss	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiterführen; Schluss.	Weiterführen; Schluss.	O_Q_BATH_CELL_AND_ALLOGRAPH_NORMALIZATION
