field_id	statement_id	record_unit_id	visible_owner	field_frame_mode	visible_sequence	normalized_sequence	card_sequence	literal_values	terminal
F001	H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CH	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chety os chair otytchol choky aiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	NO
F002	H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MIXED	qokchy qotchol chol cthy	chokchy qotchol cheol checthy	MC103 MC163 MC153 MC161	weiterbearbeiten | Weitergang | weiter | bereit	NO
F003	H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	MIXED	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy chor cthaiin qoctholy chey chey aiin chey	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	NO
F004	H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CH	qotchor chor otol chol cholor chol daiin dar	otchor chor otol cheol cholor cheol aiin char	MC013 MC080 MC053 MC153 MC157 MC153 MC039 MC055	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	NO
F005	H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	CH	oykchor shor chor chy kaiiin dy chodaiin	oykchor chor chor chey kaiiin chey chodaiin	MC027 MC080 MC080 MC123 MC048 MC123 MC087	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	NO
F021	B1-S001	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	LOW_DATA	qokedy	qokedy	MC083	kurz einwirken; Schluss	NO
F022	B1-S002	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	O	okaiin kair okal sar ol kain olkain al ol rol dl	okaiin kair okal char cheol chkain olkain al cheol rol dl	MC120 MC023 MC040 MC055 MC153 MC105 MC097 MC154 MC153 MC016 MC012	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Anteil | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz	NO
F023	B1-S002	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	MIXED	olor ol sheckhal daiin qokeedal daiin chckhy schedy	cholor cheol sheckhal aiin qokeedal aiin chckhy dchedy	MC157 MC153 MC058 MC039 MC096 MC039 MC035 MC025	derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	NO
F024	B1-S003	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	LOW_DATA	qol	cheol	MC153	weiter	NO
F025	B1-S003	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	LOW_DATA	sshkchdy	sshkchdy	MC061	Haltetransfer; Schluss	NO
F026	B1-S004	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	MIXED	chedy ol shedy	chdy cheol cheedy	MC074 MC153 MC128	überführen | weiter | kurz absetzen; Schluss	NO
F027	B1-S005	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	LOW_DATA	qolchedy	olchedy	MC028	weiterführen; Schluss	NO
F028	B1-S006	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	MIXED	qokain shckhy dl ral	okain chckhy dl ral	MC017 MC035 MC012 MC056	Anteil zugeben | durchleiten | Zusatz | Zielmarke	NO
F029	B1-S007	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	LOW_DATA	qokchdy	qokchdy	MC088	einführen; Schluss	NO
