metric	value	interpretation_de
target_recipe_count	145	GDT540-Prosa-Verträge
old_exact_carrier_recipe_count	11	Zielrezepte mit vollständigem alten Träger
old_exact_carrier_event_count	49	alte exakte Rezeptvorkommen
old_exact_carrier_surface_count	17	alte sichtbare Schreibungen
old_exact_carrier_page_count	17	alte Seiten mit Trägern
old_exact_carrier_statement_count	43	alte Aussagen mit Trägern
old_exact_carrier_register_count	5	abgedeckte Register
exact_profile_match_count	11	identische beobachtete Modusmengen
contextual_profile_match_count	6	nichttriviale Kontextprofile mit exakter Übereinstimmung
old_self_contained_event_count	39	alte selbständige Träger
old_active_argument_event_count	7	alte Träger mit Satzargument
old_active_action_event_count	0	alte Träger mit Satzhandlung
old_both_active_event_count	3	alte Träger mit beiden Zuständen
qokees_family_event_count	7	OK+EE+S über alte und neue Seiten
qokees_family_argument_event_count	5	OK+EE+S mit übernommenem Argument
qokees_family_objectless_event_count	2	OK+EE+S ohne Argument
post_gdt516_new_exact_contact	chekchy	finale Revision CH+K+Y ergänzt elftes Zielrezept mit29 alten Trägern
