profile_ordinal	target_surface	target_recipe	target_event_count	target_observed_modes	old_carrier_event_count	old_surface_count	old_surfaces	old_page_count	old_pages	old_registers	old_statement_count	old_observed_modes	profile_relation	target_self_contained_count	target_active_argument_count	target_active_action_count	target_both_active_count	old_self_contained_count	old_active_argument_count	old_active_action_count	old_both_active_count	old_max_action_distance_cards	old_max_argument_distance_cards	replication_kind	post_gdt516_new_exact_carrier_contact	guard
1	chekchy	CH+K+Y	1	SELF_CONTAINED	29	5	chchky|chckhy|chky|ckhy|qckhsy	14	f10r|f13r|f18r|f55v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r|f95v	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	28	SELF_CONTAINED	EXACT_PROFILE_MATCH	1	0	0	0	29	0	0	0	NONE	NONE	VISIBLE_COMPLETE_EXACT_RECIPE_REPLICATION	YES	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
2	chekeey	CH+K+EE+Y	1	SELF_CONTAINED	6	2	cheeky|chkeey	6	f55v|f75r|f77r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	6	SELF_CONTAINED	EXACT_PROFILE_MATCH	1	0	0	0	6	0	0	0	NONE	NONE	VISIBLE_COMPLETE_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
3	dalol	AL+OL	1	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	1	1	alol	1	f76r	BIOLOGICAL	1	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	EXACT_PROFILE_MATCH	0	0	0	1	0	0	0	1	1	1	CONTEXTUAL_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
4	doiiin	D_ADDR+O+IIN	1	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	2	1	doiin	2	f13r|f67r2	CELESTIAL|HERBAL	2	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	EXACT_PROFILE_MATCH	0	0	0	1	0	0	0	2	2	2	CONTEXTUAL_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
5	okoy	OK+O+Y	1	SELF_CONTAINED	1	1	okochey	1	f72r	CELESTIAL	1	SELF_CONTAINED	EXACT_PROFILE_MATCH	1	0	0	0	1	0	0	0	NONE	NONE	VISIBLE_COMPLETE_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
6	qocthedy	CARRIER_Q+O+CH+T+E+Y	1	SELF_CONTAINED	1	1	qocthey	1	f81v	BIOLOGICAL	1	SELF_CONTAINED	EXACT_PROFILE_MATCH	1	0	0	0	1	0	0	0	NONE	NONE	VISIBLE_COMPLETE_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
7	qokaiir	OK+IIN+R	1	REQUIRES_ACTIVE_ARGUMENT	2	1	okaiir	2	f1r|f72r	CELESTIAL|SOURCE_SECTION_T	2	REQUIRES_ACTIVE_ARGUMENT	EXACT_PROFILE_MATCH	0	1	0	0	0	2	0	0	NONE	1	CONTEXTUAL_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
8	qokchey	OK+CH+E+Y	1	SELF_CONTAINED	1	1	chokchey	1	f56r	HERBAL	1	SELF_CONTAINED	EXACT_PROFILE_MATCH	1	0	0	0	1	0	0	0	NONE	NONE	VISIBLE_COMPLETE_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
9	qokee	OK+EE	1	REQUIRES_ACTIVE_ARGUMENT	1	1	okee	1	f72r	CELESTIAL	1	REQUIRES_ACTIVE_ARGUMENT	EXACT_PROFILE_MATCH	0	1	0	0	0	1	0	0	NONE	3	CONTEXTUAL_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
10	qokees	OK+EE+S	2	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	4	2	chokees|okees	2	f72r|f76r	BIOLOGICAL|CELESTIAL	4	SELF_CONTAINED|REQUIRES_ACTIVE_ARGUMENT	EXACT_PROFILE_MATCH	1	1	0	0	1	3	0	0	NONE	1	CONTEXTUAL_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
11	shee	SH+EE	1	REQUIRES_ACTIVE_ARGUMENT	1	1	chee	1	f77r	BIOLOGICAL	1	REQUIRES_ACTIVE_ARGUMENT	EXACT_PROFILE_MATCH	0	1	0	0	0	1	0	0	NONE	3	CONTEXTUAL_EXACT_RECIPE_REPLICATION	NO	PROFILE_SET_COMPARISON__NOT_FREQUENCY_EQUALITY_OR_PLAINTEXT
