old_carrier_ordinal	target_surface	target_recipe	target_observed_requirement_modes	old_global_event_id	old_source_event_id	old_statement_id	card_ordinal_in_statement	physical_page	register	owner_de	locus	old_surface	surface_same_as_target	explicit_action_roots	incoming_action_root	incoming_action_source_event_id	incoming_action_distance_cards	explicit_argument_roots	incoming_argument_root	incoming_argument_source_event_id	incoming_argument_distance_cards	old_requirement_mode	resolved_action_root	resolved_argument_root	immediate_previous_surface	immediate_previous_recipe	exact_recipe_roundtrip	guard
1	qokaiir	OK+IIN+R	REQUIRES_ACTIVE_ARGUMENT	G407-E0147	G404-E0147	G407-S005	76	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_C	f1r.19	okaiir	NO	OK|R	NONE	NONE	NONE	NONE	AIIN	G407-E0146	1	REQUIRES_ACTIVE_ARGUMENT	R	AIIN	shcthaiin	SH+CH+T+AIIN	OK+IIN+R	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
2	chekchy	CH+K+Y	SELF_CONTAINED	G407-E0248	P912-E0034	G407-S008	34	f10r	HERBAL	zweiknolliges blauköpfiges Heilkraut	f10r.4	ckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	ctho	CH+T+O	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
3	chekchy	CH+K+Y	SELF_CONTAINED	G407-E0415	P912-E0201	G407-S013	8	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.6	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	oiin	O+IIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
4	doiiin	D_ADDR+O+IIN	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	G407-E0436	P912-E0222	G407-S015	3	f13r	HERBAL	große Wurzelkrone mit Blatt und Blütenstand	f13r.9	doiin	NO	NONE	SH	G407-E0434	2	NONE	Y	G407-E0434	2	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	SH	Y	chol	OL	D_ADDR+O+IIN	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
5	chekchy	CH+K+Y	SELF_CONTAINED	G407-E0527	P1008-E0007	G407-S026	6	f18r	HERBAL	große abgebildete Blütenpflanze	f18r.1	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	om	O+AM_ADDR	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
6	chekchy	CH+K+Y	SELF_CONTAINED	G407-E0693	P912-E0231	G407-S033	3	f55v	HERBAL	große aromatische Doldenpflanze	f55v.1	chckhy	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	oedain	O+E+D_ADDR+AIN	CH+K+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
7	chekeey	CH+K+EE+Y	SELF_CONTAINED	G407-E0780	P912-E0318	G407-S036	55	f55v	HERBAL	große aromatische Doldenpflanze	f55v.11	cheeky	NO	CH|K	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	K	Y	cheoar	CH+E+O+AR	CH+K+EE+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
8	qokchey	OK+CH+E+Y	SELF_CONTAINED	G407-E0807	P912-E0345	G407-S039	5	f56r	HERBAL	stachelköpfiges Kraut in mehreren Reifestufen	f56r.2	chokchey	NO	OK|CH	NONE	NONE	NONE	Y	NONE	NONE	NONE	SELF_CONTAINED	CH	Y	chy	Y	OK+CH+E+Y	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
9	doiiin	D_ADDR+O+IIN	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	G407-E0907	P912-E1782	G407-S041	6	f67r2	CELESTIAL	zwei getrennte Himmelsräder und Tabelle	f67r2.14	doiin	NO	NONE	S	G407-E0906	1	NONE	Y	G407-E0906	1	REQUIRES_ACTIVE_ACTION_AND_ARGUMENT	S	Y	soeey	S+O+EE+Y	D_ADDR+O+IIN	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
10	qokaiir	OK+IIN+R	REQUIRES_ACTIVE_ARGUMENT	G407-E1150	P1008-E0098	G407-S062	5	f72r	CELESTIAL	Tierkreis-Ringgruppe A	f72r1.1	okaiir	NO	OK|R	NONE	NONE	NONE	NONE	Y	G407-E1149	1	REQUIRES_ACTIVE_ARGUMENT	R	Y	cheoky	CH+E+O+K+Y	OK+IIN+R	OLD_PREFIX_EXACT_RECIPE_CONTEXT_REPLAY__NO_RESEGMENTATION
