tuple_a	tuple_b	coassignment_stability	eligible_folds	direct_merge_folds	support_events	support_folios	held_gain_contribution	page_host_same	string_group_same	normalized_edit_diagnostic	supporting_views	counterexample_reason
T0256	T0797	0.090909091	11	0	136	31	-63.887862837	0	1	0.285714286	domain|boundary|placement	FOLD_UNSTABLE
T0314	T0648	0.090909091	11	0	450	85	-43.065551970	0	1	0.400000000	placement|boundary|domain	FOLD_UNSTABLE
T0256	T1237	0.090909091	11	0	166	30	-42.474872839	0	1	0.285714286	domain|boundary|placement	FOLD_UNSTABLE
T0084	T0869	0.090909091	11	0	31	23	-40.399500272	0	1	0.285714286	boundary|placement|domain	FOLD_UNSTABLE
T0282	T1237	0.090909091	11	0	157	32	-35.934069977	0	1	0.166666667	boundary|placement|domain	FOLD_UNSTABLE
T1520	T1662	0.090909091	11	0	28	22	-33.736440535	0	0	0.333333333	domain|boundary|placement	FOLD_UNSTABLE
T0084	T0213	0.090909091	11	0	28	21	-32.364882664	0	1	0.285714286	boundary|placement|domain	FOLD_UNSTABLE
T0084	T1169	0.090909091	11	0	30	23	-32.364882664	0	1	0.285714286	boundary|placement|domain	FOLD_UNSTABLE
T0648	T0829	0.090909091	11	0	76	43	-31.282174947	0	0	0.250000000	boundary|placement|domain	FOLD_UNSTABLE
T0084	T1662	0.090909091	11	0	29	22	-30.249509452	0	1	0.285714286	boundary|placement|domain	FOLD_UNSTABLE
T0007	T0017	0.090909091	11	1	126	30	-28.888225380	0	1	0.333333333	boundary|domain|placement	FOLD_UNSTABLE
T0166	T0293	0.090909091	11	0	79	42	-27.392249502	0	0	0.333333333	boundary|placement|domain	FOLD_UNSTABLE
T0017	T0282	0.090909091	11	1	128	35	-26.886854132	0	1	0.333333333	boundary|domain|placement	FOLD_UNSTABLE
T0213	T0314	0.090909091	11	0	443	84	-25.892103798	0	1	0.400000000	boundary|placement|domain	FOLD_UNSTABLE
T0339	T0482	0.090909091	11	0	62	41	-24.703205223	0	1	0.333333333	boundary|placement|domain	FOLD_UNSTABLE
T0765	T1056	0.090909091	11	0	49	29	-24.583739582	0	1	0.333333333	boundary|placement|domain	FOLD_UNSTABLE
T0482	T0869	0.090909091	11	0	63	40	-24.430317877	0	1	0.400000000	boundary|placement|domain	FOLD_UNSTABLE
T0212	T1490	0.090909091	11	0	33	24	-20.835717442	0	0	0.400000000	boundary|placement|local1	FOLD_UNSTABLE
T0213	T0482	0.090909091	11	0	60	36	-16.395700269	0	1	0.500000000	boundary|domain|placement	FOLD_UNSTABLE
T0256	T1669	0.090909091	11	0	78	23	-15.791040000	0	1	0.285714286	boundary|placement|domain	FOLD_UNSTABLE
T0213	T1056	0.090909091	11	0	50	28	-15.033310680	0	1	0.333333333	domain|boundary|placement	FOLD_UNSTABLE
T0482	T1662	0.090909091	11	0	61	40	-14.280327057	0	1	0.400000000	boundary|placement|domain	FOLD_UNSTABLE
T0213	T0829	0.090909091	11	0	69	41	-14.108726775	0	0	0.250000000	boundary|placement|domain	FOLD_UNSTABLE
T0829	T1169	0.090909091	11	0	71	42	-14.108726775	0	0	0.250000000	boundary|placement|domain	FOLD_UNSTABLE
T1056	T1662	0.090909091	11	0	51	26	-12.917937468	0	1	0.333333333	domain|boundary|placement	FOLD_UNSTABLE
T0020	T0282	0.090909091	11	0	50	26	-12.732060886	0	1	0.166666667	boundary|placement|domain	FOLD_UNSTABLE
T0339	T0777	0.090909091	11	0	39	25	-11.256949219	0	1	0.333333333	domain|placement|boundary	FOLD_UNSTABLE
T0504	T0648	0.090909091	11	0	190	61	-11.046167408	0	1	0.400000000	boundary|placement|domain	FOLD_UNSTABLE
T0777	T0869	0.090909091	11	0	40	24	-10.984061873	0	1	0.400000000	domain|boundary|placement	FOLD_UNSTABLE
T0765	T1115	0.090909091	11	0	22	18	-10.939226958	0	1	0.333333333	boundary|placement|domain	FOLD_UNSTABLE
T0282	T1669	0.090909091	11	0	69	25	-9.250237138	0	1	0.333333333	boundary|placement|domain	FOLD_UNSTABLE
T0391	T0660	0.090909091	11	0	13	11	-8.475134599	0	1	0.333333333	boundary|local1|local2	FOLD_UNSTABLE
T0953	T1499	0.090909091	11	0	7	7	-8.470088861	0	0	0.250000000	boundary|domain|placement	FOLD_UNSTABLE
T0622	T1219	0.090909091	11	0	22	15	-8.094423643	1	1	0.200000000	boundary|domain|placement	FOLD_UNSTABLE
T0986	T1169	0.090909091	11	0	45	29	-8.070124842	0	1	0.333333333	domain|boundary|placement	FOLD_UNSTABLE
T0126	T0689	0.090909091	11	1	33	27	-7.301019473	0	1	0.400000000	placement|boundary|domain	FOLD_UNSTABLE
T0622	T0752	0.090909091	11	0	24	16	-7.127677477	0	1	0.200000000	boundary|placement|domain	FOLD_UNSTABLE
T1219	T1444	0.090909091	11	0	18	16	-6.721255767	0	1	0.333333333	boundary|domain|placement	FOLD_UNSTABLE
T0986	T1662	0.090909091	11	0	44	28	-5.954751631	0	1	0.333333333	domain|boundary|placement	FOLD_UNSTABLE
T0752	T1444	0.090909091	11	0	20	17	-5.754509601	0	1	0.333333333	boundary|domain|placement	FOLD_UNSTABLE
T0244	T0648	0.090909091	11	0	99	59	-5.558401634	0	1	0.400000000	boundary|placement|local2	FOLD_UNSTABLE
