card_no	surfaces	component_parse	observed_context_expansions_de	unified_atomic_card_value_de	unification_reason	occurrences	records	atomic_value_stable	context_expansions_retained
PROC004	chety|chty	T+Y	eintragen|übertragen	den aktuellen Posten eintragen	Eintragen bleibt der Kartenwert; übertragen ist die Quellenrahmen-Expansion.	2	H1|B3	YES	YES
PROC008	choky|oky|qoky	OK+Y	anlegen|einleiten|einsetzen	den aktuellen Posten in Einsatz bringen	Anlegen, einsetzen und einleiten sind Ziel-, Neutral- und Laufexpansionen derselben Aktivierung.	10	H1|H5|B1|B2|B3|B4	YES	YES
PROC011	chokchy|okchy|qokchy	OK+Y	ansetzen|einsetzen	den aktuellen Posten in Einsatz bringen	Ansetzen und einsetzen sind lokale Expansionen derselben OK+Y-Struktur.	3	H1|H5	YES	YES
PROC038	okaiin|qokaiin	OK+AIIN	einleiten|einsetzen	nach vorgeschriebenem Maß in Einsatz bringen	Einsetzen und einleiten werden allein durch den benachbarten Laufrahmen unterschieden.	9	H4|B1|B2|B3	YES	YES
PROC042	chdy|chedy	CHD+Y	abmessen und umsetzen|umsetzen	den aktuellen Posten umsetzen	Abmessen kommt vom Mengenrahmen; CHD+Y bleibt Umsetzen.	11	H4|B1|B3|B4|B5	YES	YES
PROC046	cheeky	CHK+EE+Y	temperieren|warm halten	den aktuellen Posten länger wärmen	Temperieren und warm halten sind beide EE-gerahmte Wärmeführung.	2	H4|B4	YES	YES
PROC072	dl	L	durchleiten|führen	leiten	Durchleiten ergänzt nur den sichtbaren Durchlass.	2	B1	YES	YES
PROC076	dchedy|schedy|tchedy	CHD+DY	durchleiten|umfüllen|überführen	überführen und den Schritt schließen	Durchleiten und Umfüllen sind Weg- und Zielarten des Überführens.	4	B1|B2|B3	YES	YES
PROC078	cheedy|shedy|tedy	SHED+DY	ablagern|absetzen lassen	absetzen und den Schritt schließen	Ablagern und Absetzenlassen sind Ziel- und Prozessausführungen desselben SHED-Schritts.	12	B1|B2|B3|B4	YES	YES
PROC092	okeey|qokeey	OK+EE+Y	anlegen|wirken lassen	den aktuellen Posten länger in Einsatz halten	Anlegen und Wirkenlassen sind Ziel- und Zeitexpansionen von OK+EE+Y.	7	B1|B2|B3|B4	YES	YES
PROC120	lchedy	L+CHD+DY	abführen + abmessen und umsetzen|abführen + überführen|hinleiten + umfüllen	weiterleiten, überführen und den Schritt schließen	Abführen, Hinleiten, Umfüllen und mengenbezogenes Umsetzen konkretisieren L+CHD+DY.	8	B2|B3|B4	YES	YES
