card_no	surfaces	component_parse	role_signature	clause_type	atomic_card_value_de	local_context_expansions_de	atomic_context_stable	has_multiple_local_expansions	composition_status	occurrences	sections	records
PROC001	dchey	CH+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten kurz abziehen	abnehmen	YES	NO	COMPOSITIONAL	1	HERBAL	H1
PROC002	cthoor	CTH+O+OR	STATE+PROCESS+PREPARATION	STATE_OR_GRADE_PHRASE	bereit · Arbeitsgang · Ansatz	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	HERBAL	H1
PROC003	char|dar|sar	AR	SOURCE	ARGUMENT_OR_ADDRESS	von dort	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	5	HERBAL|BIOLOGICAL	H1|H2|B1|B2|B3
PROC004	chety|chty	T+Y	ACTION+ITEM	ACTION_CLAUSE	den aktuellen Posten eintragen	eintragen|übertragen	YES	YES	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H1|B3
PROC005	os	OS	TARGET	ARGUMENT_OR_ADDRESS	Arbeitsfach	NOT_AN_ACTION_CARD	YES	NO	LEARNED_WHOLE_CARD	1	HERBAL	H1
PROC006	chair	CH+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	den laufenden Posten durch laufender Bestand abziehen	ablaufen lassen	YES	NO	COMPOSITIONAL	1	HERBAL	H1
PROC007	otytchol	OT+Y+T+CH+OL	SEQUENCE+ITEM+ACTION+ACTION+SEQUENCE	ACTION_CLAUSE	danach fortsetzen diesen Posten eintragen und abziehen	eintragen + abnehmen	YES	NO	COMPOSITIONAL	1	HERBAL	H1
PROC008	choky|oky|qoky	OK+Y	ACTION+ITEM	ACTION_CLAUSE	den aktuellen Posten in Einsatz bringen	anlegen|einleiten|einsetzen	YES	YES	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H1|H5|B1|B2|B3|B4
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	QUANTITY	ARGUMENT_OR_ADDRESS	vorgeschriebenes Maß	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	20	HERBAL|BIOLOGICAL	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6
PROC010	etyd	E+T+Y	GRADE+ACTION+ITEM	ACTION_CLAUSE	diesen Posten kurz eintragen	eintragen	YES	NO	COMPOSITIONAL	1	HERBAL	H1
PROC011	chokchy|okchy|qokchy	OK+Y	ACTION+ITEM	ACTION_CLAUSE	den aktuellen Posten in Einsatz bringen	ansetzen|einsetzen	YES	YES	COMPOSITIONAL	3	HERBAL	H1|H5
PROC012	qotchol	OT+CH+OL	SEQUENCE+ACTION+SEQUENCE	ACTION_CLAUSE	danach fortsetzen den laufenden Posten abziehen	abnehmen	YES	NO	COMPOSITIONAL	1	HERBAL	H1
PROC013	cheol|chol|ol|qol|sol|tol	OL	SEQUENCE	SEQUENCE_OR_CONTINUATION	fortsetzen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	19	HERBAL|BIOLOGICAL	H1|H2|B1|B3|B4|B5|B6
PROC014	checthy|cthy|shcthy	CTH+Y	STATE+ITEM	STATE_OR_GRADE_PHRASE	bereit · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H1|H2|H3|B3
PROC015	ycheor	Y+CH+E+OR	ITEM+ACTION+GRADE+PREPARATION	ACTION_CLAUSE	diesen Posten kurz abziehen	abziehen	YES	NO	COMPOSITIONAL	1	HERBAL	H2
PROC016	chor|or|shor|sor	OR	PREPARATION	ARGUMENT_OR_ADDRESS	Ansatz	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H2|H4|B3|B4
