surface	sister_surface	pair_status	sister_endpoint_before_dy	v62_class	evidence_basis	transfer_policy	v62_gloss_override_de	rationale_de
chedy	chey	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	mittlere Trockenstufe erreicht	Offene mittlere Trockenqualität steht dem erreichten nominalen Mittelzustand gegenüber.
shedy	shey	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	mittlere Feuchtstufe erreicht	Offene mittlere Feuchtqualität steht dem erreichten nominalen Mittelzustand gegenüber.
cheody	cheoy	PARSER_EQUIVALENT_NULL	NA	FIELD_END	SAME_RECIPE_CONTROL	TARGET_WHOLE_CARD_NO_DY_LOAD	getrockneter Ansatz	Beide Oberflächen tragen im GDT516-Atlas exakt CH+E+O+Y; cheoy hat keinen unabhängigen V48-Wert, daher bleibt nur cheodys eigener Ganzwortwert ohne sichtbaren-d-Zusatz.
kchdy	kchy	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockene Anfangsstufe erreicht	Das vollständige Qualitätsraster kontrastiert offene heiß-trockene Anfangsqualität mit fertiger Zustandsform.
ldy	ly	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	fertig aufbereitetes Drogenholz	Rohes Drogenholz steht einem fertig aufbereiteten Drogenholz gegenüber.
olpchedy	olpchey	VISIBLE_SISTER_WITHOUT_CARD	NA	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	KEEP_V60	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
otedy	otey	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	kalter Ansatz, Mittelstufe erreicht	Kalter Mittelzustand steht einem fertigen kalten Mittelzustand gegenüber.
adeeody	NONE	NO_REAL_SISTER	NA	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	KEEP_V60	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
aiindy	aiiny	VISIBLE_SISTER_WITHOUT_CARD	NA	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	KEEP_V60	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
chckhdy	chckhy	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	trockenes Arzneikompositum, Anfangsstufe erreicht	Trockener Kompositumzustand am Gradanfang steht dem erreichten Kompositumzustand gegenüber.
chdy	chy	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	trockene Anfangsstufe erreicht	Offene Trocken-Anfangsqualität steht der erreichten Trocken-Anfangsstufe gegenüber.
checthedy	checthey	REAL_NON_DY_SISTER	1	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	Die Schwester enthält bereits doppelte Trocknung und Abschluss; die dy-Form erhält keinen zusätzlichen Endpunktwert.
chody	choy	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	leicht abgeschlossener Trockenansatz	Leichte Abschlussoperation der Schwester steht nominal fertigem Trockenansatz gegenüber.
dairody	NONE	NO_REAL_SISTER	NA	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	KEEP_V60	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
dchedy	dchey	PARSER_INVALID_PAIR	NA	PAIR_INVALID	NON_MINIMAL_WHOLE_PAIR	WHOLE_ONLY_NO_SUFFIX_EXPORT	KEEP_V60	D_ADDR+CHD+Y gegen CH+E+Y und dchey selbst ist scope-abhängig; keinerlei Suffixschluss.
dshedy	dshey	REAL_NON_DY_SISTER	1	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	bis zur Mittelstufe angefeuchtete Drogenportion	Die Schwester ist bereits eine angefeuchtete Dosis auf Mittelstufe; die dy-Form übernimmt diesen nominalen Endpunkt ohne neues Verb.
kchody	kchoy	VISIBLE_SISTER_WITHOUT_CARD	NA	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	KEEP_V60	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
lkedy	lkey	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur mittleren Heizstufe erhitzte Holzdroge	Erhitzte Holzdroge der Mittelstufe steht ausdrücklich erreichtem Ergebnis gegenüber.
lshedy	lshey	REAL_NON_DY_SISTER	0	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	vollständig eingeweichtes Drogenholz, Form I	Eingeweichtes Drogenholz der Form I steht dem vollständig eingeweichten Resultat gegenüber.
ltedy	NONE	NO_REAL_SISTER	NA	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	KEEP_V60	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
ochdy	ochy	VISIBLE_SISTER_WITHOUT_CARD	NA	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	KEEP_V60	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
