statement_id	page	record	owner_object_class	cell_slots	modifier_channels	phase_signature	input_object	output_object	committed	complete_reading_de
B1-S001	f81v	B1	BASIN_LIQUID	BS1|BS4|BS5|BS6	GRADE	HOLD>CLOSE	WORKING_LIQUID	WORKING_LIQUID	YES	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.
B1-S002	f81v	B1	BASIN_LIQUID	BS1|BS2|BS3|BS4|BS5|BS6	FLOW_LIQUID|GRADE|MEASURE|PASSAGE|PORTION|PREPARATION|SOURCE|TARGET	MEASURE_CHARGE>ROUTE>APPLY>MEASURE_CHARGE>THERMAL>ROUTE>HOLD>APPLY>ROUTE>CLOSE	WORKING_LIQUID	TARGETED_TRANSFER_PORTION	YES	Bei dem gemeinsamen Becken: bis zum Sollmaß beschicken; dann einspeisen; dann anlegen; dann dosiert zugeben; dann dosiert zugeben; dann abkühlen lassen; dann führen; dann zurückhalten; dann anlegen; dann durchleiten. Angaben: von dort | fortsetzen | bezeichnete Stelle | fortsetzen | fortsetzen · Ansatz | fortsetzen | vorgeschriebenes Maß | vorgeschriebenes Maß | Durchlass · dieser Posten.
B1-S003	f81v	B1	BASIN_LIQUID	BS1|BS3|BS4|BS5|BS6	NONE	HOLD>MEASURE_CHARGE>ROUTE>CLOSE	WORKING_LIQUID	TARGETED_TRANSFER_PORTION	YES	Bei dem gemeinsamen Becken: halten + zugeben + überführen. Angaben: fortsetzen.
B1-S004	f81v	B1	BASIN_LIQUID	BS1|BS3|BS4|BS5|BS6	SETTLE	ROUTE>SETTLE>CLOSE	WORKING_LIQUID	TARGETED_TRANSFER_PORTION	YES	Führe die Bad- oder Beckenflüssigkeit weiter, fange sie oder ihn auf, lass absetzen und schließe den Schritt. Vollfolge: umschöpfen → absetzen lassen.
B1-S005	f81v	B1	BASIN_LIQUID	BS1|BS3|BS5|BS6	NONE	ROUTE>CLOSE	WORKING_LIQUID	TARGETED_TRANSFER_PORTION	YES	Führe die Bad- oder Beckenflüssigkeit zur nächsten sichtbaren Station und schließe dort den Schritt. Vollfolge: in die nächste Station weitergeben.
B1-S006	f81v	B1	BASIN_LIQUID	BS1|BS2|BS3|BS4|BS5	PASSAGE|PORTION|TARGET	MEASURE_CHARGE>ROUTE>THERMAL	WORKING_LIQUID	TARGETED_TRANSFER_PORTION	NO	Bei dem gemeinsamen Becken: eine abgemessene Portion der Beckenflüssigkeit einfüllen; dann durchleiten; dann abkühlen lassen. Angaben: Durchlass · dieser Posten.
B1-S007	f81v	B1	BASIN_LIQUID	BS1|BS3|BS5|BS6	NONE	MEASURE_CHARGE>ROUTE>CLOSE	TARGETED_TRANSFER_PORTION	TARGETED_TRANSFER_PORTION	YES	Fülle eine abgemessene Portion der Beckenflüssigkeit ein, führe sie weiter und schließe den Schritt. Vollfolge: einsetzen + überführen.
B1-S008	f81v	B1	BASIN_LIQUID	BS1|BS4|BS5|BS6	GRADE|HEAT|SETTLE	HOLD>SETTLE>CLOSE	WORKING_LIQUID	WORKING_LIQUID	YES	Lass die Bad- oder Beckenflüssigkeit einwirken, dann absetzen, und schließe den Schritt. Vollfolge: warm halten → absetzen lassen.
B1-S009	f81v	B1	BASIN_LIQUID	BS1|BS4|BS5|BS6	GRADE	HOLD>CLOSE	WORKING_LIQUID	WORKING_LIQUID	YES	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.
B1-S010	f81v	B1	BASIN_LIQUID	BS1|BS4|BS5|BS6	GRADE	HOLD>CLOSE	WORKING_LIQUID	WORKING_LIQUID	YES	Lass die Bad- oder Beckenflüssigkeit einwirken oder stehen; schließe danach den Schritt. Vollfolge: einwirken lassen.
