exercise	hand	input_prompt_de	selected_card	selected_recipe	written_surface	readback_recipe	readback_de	prompt_roundtrip	surface_attested_on_fixed_pages	copy_rule
X01	HAND_1	WAERMEN · VOLL · DIES	PRED_GRADE_01	CHK+EEE+Y	cheeeky	CHK+EEE+Y	WAERMEN · VOLL · DIES	PASS	NO	NO_SHARED_HAND_MODEL__COPY_MASTER_FORM
X02	HAND_2	WAERMEN · VOLL · DIES	PRED_GRADE_01	CHK+EEE+Y	cheeeky	CHK+EEE+Y	WAERMEN · VOLL · DIES	PASS	NO	NO_SHARED_HAND_MODEL__COPY_MASTER_FORM
X03	HAND_1	ANSETZEN · VOLL · DIES	PRED_GRADE_02	OK+EEE+Y	chokeeey	OK+EEE+Y	ANSETZEN · VOLL · DIES	PASS	NO	LOWER_GRADE_SHARED_CARD
X04	HAND_2	ANSETZEN · VOLL · DIES	PRED_GRADE_02	OK+EEE+Y	qokeeey	OK+EEE+Y	ANSETZEN · VOLL · DIES	PASS	NO	LOWER_GRADE_SHARED_CARD
X05	HAND_1	DANACH · VOLL · SCHLUSS	PRED_GRADE_03	OT+EEE+DY	qoteeedy	OT+EEE+DY	DANACH · VOLL · SCHLUSS	PASS	NO	NO_SHARED_HAND_MODEL__COPY_MASTER_FORM
X06	HAND_2	DANACH · VOLL · SCHLUSS	PRED_GRADE_03	OT+EEE+DY	qoteeedy	OT+EEE+DY	DANACH · VOLL · SCHLUSS	PASS	NO	NO_SHARED_HAND_MODEL__COPY_MASTER_FORM
X07	HAND_1	HALTEN · VOLL · SCHLUSS	PRED_GRADE_04	SH+EEE+DY	sheeedy	SH+EEE+DY	HALTEN · VOLL · SCHLUSS	PASS	NO	NO_SHARED_HAND_MODEL__COPY_MASTER_FORM
X08	HAND_2	HALTEN · VOLL · SCHLUSS	PRED_GRADE_04	SH+EEE+DY	sheeedy	SH+EEE+DY	HALTEN · VOLL · SCHLUSS	PASS	NO	NO_SHARED_HAND_MODEL__COPY_MASTER_FORM
X09	HAND_1	HALTEN · VOLL · DIES	PRED_GRADE_05	SH+EEE+Y	sheeey	SH+EEE+Y	HALTEN · VOLL · DIES	PASS	NO	LOWER_GRADE_SHARED_CARD
X10	HAND_2	HALTEN · VOLL · DIES	PRED_GRADE_05	SH+EEE+Y	cheeey	SH+EEE+Y	HALTEN · VOLL · DIES	PASS	NO	LOWER_GRADE_SHARED_CARD
X11	HAND_1	SAMMELSTELLE · VOLL · DIES	PRED_GRADE_06	SOLK+EEE+Y	solkeeey	SOLK+EEE+Y	SAMMELSTELLE · VOLL · DIES	PASS	NO	NO_SHARED_HAND_MODEL__COPY_MASTER_FORM
X12	HAND_2	SAMMELSTELLE · VOLL · DIES	PRED_GRADE_06	SOLK+EEE+Y	solkeeey	SOLK+EEE+Y	SAMMELSTELLE · VOLL · DIES	PASS	NO	NO_SHARED_HAND_MODEL__COPY_MASTER_FORM
