page	locus	section	language	hand	token_count	new_v50_positions	new_v51_positions	new_v52_positions	new_v53_positions	residual_unknown_positions	assigned_fraction	complete	action_positions	action_ordinals	action_surfaces	line_mode	v53_target_surfaces	remaining_unknown_surfaces	zl3b_line	literal_token_glosses_de	aligned_line_de	practical_translation_de	review_note
f102v2	f102v2.3	P	A	1	1	1	0	0	0	0	1.000000	1	0	NONE	NONE	QUANTITY_LABEL	NONE	NONE	oror	zwei Portionen	Zwei Portionen.	Zwei Portionen.	HOLD: oror ist hier ein vollständiges Mengenlabel.
f104v	f104v.2	S	B	3	10	1	0	0	0	5	0.500000	0	0	NONE	NONE	NOMINAL_REGISTER	NONE	ychedaiin|qoteed|qokamdy|otarar|oram	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	[ychedaiin:?] | [qoteed:?] | Arzneikompositum im Trockenansatz am Gradanfang | kalt im Zubereitungsrahmen, Grad III | davon drei Maße | [qokamdy:?] | [otarar:?] | Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen | zweite kalte Drogenfraktion im Ansatz | [oram:?]	⟦ychedaiin:?⟧ · ⟦qoteed:?⟧ · Arzneikompositum im Trockenansatz, Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ⟦qokamdy:?⟧ · ⟦otarar:?⟧ · Rohdroge I, bis Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · ⟦oram:?⟧.	⟦ychedaiin:?⟧ · ⟦qoteed:?⟧ · Arzneikompositum im Trockenansatz, Gradanfang · kalt im Zubereitungsrahmen, Grad III · davon drei Maße · ⟦qokamdy:?⟧ · ⟦otarar:?⟧ · Rohdroge I, bis Mittelstufe getrocknet und abgeschlossen · zweite kalte Drogenfraktion im Ansatz · ⟦oram:?⟧.	HOLD/SPLIT: alched ist hier klar resultative Rohdroge, kein Trocknungsbefehl.
f105r	f105r.2	S	B	3	13	1	0	2	0	0	1.000000	1	3	6|11|13	qodor|odar|qody	MIXED_RECORD	NONE	NONE	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	Dosis oder Charge vollständig eingeweichter Arzneispecies | hieran anschließend | trocken am Ende des Grades | Wurzel, Typ/Charge III | kalt-trockener Ansatz am Anfang des Grades, abgeschlossen | eine Portion Ansatz abmessen | trockenes Drogenmaterial, Mittelstufe | Drogenportion | trocken am Ende des Grades | Charge vollständig erhitzten Ansatzes | erste Ansatzfraktion abmessen | getrockneter Ansatz | stelle die Zubereitung fertig	Dosis oder Charge vollständig eingeweichter Arzneispecies · hieran anschließend · trocken, Endstufe · Wurzel, Charge III · kalt-trockener Ansatz, Anfangsstufe, abgeschlossen · eine Portion Ansatz abmessen · trockenes Drogenmaterial, Mittelstufe · Drogenportion · trocken, Endstufe · Charge vollständig erhitzten Ansatzes · erste Ansatzfraktion abmessen · getrockneter Ansatz · Zubereitung fertigstellen.	Die vollständig eingeweichte Arzneispecies-Dosis hieran anschließend bis zur Trocken-Endstufe bringen. Wurzeldroge der Charge III und den fertigen kalt-trockenen Anfangsansatz bereitstellen; eine Portion Ansatz abmessen. Dazu mittelgetrocknetes Drogenmaterial und eine Drogenportion, erneut bis zur Endstufe trocknen. Von der Charge vollständig erhitzten Ansatzes die erste Fraktion abmessen, als getrockneten Ansatz halten und die Zubereitung fertigstellen.	yey remains the sequence link; qodor is the new measure action.
f105r	f105r.31	S	B	3	13	1	0	0	0	5	0.615385	0	0	NONE	NONE	NOMINAL_REGISTER	NONE	kodeey|shx|aiijy|cpheesy|fchoky	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	[kodeey:?] | getrocknetes Drogenholz | [shx:?] | Drogenfraktion I | [aiijy:?] | [cpheesy:?] | Rohstoffklasse I im Ansatz, heiß am Gradanfang | erhitzte Holzdroge, Mittelstufe, fertig | heiße Holzfraktion I | trocken in der Mitte des Grades, abgeschlossen | heiß, Grad III | Drogenportion | [fchoky:?]	⟦kodeey:?⟧ · getrocknetes Drogenholz · ⟦shx:?⟧ · Drogenfraktion I · ⟦aiijy:?⟧ · ⟦cpheesy:?⟧ · Rohstoffklasse I im heißen Anfangsansatz · erhitzte Holzdroge, Mittelstufe, fertig · heiße Holzfraktion I · trocken, Mittelstufe, abgeschlossen · heiß, Grad III · Drogenportion · ⟦fchoky:?⟧.	⟦kodeey:?⟧ · getrocknetes Drogenholz · ⟦shx:?⟧ · Drogenfraktion I · ⟦aiijy:?⟧ · ⟦cpheesy:?⟧ · Rohstoffklasse I im heißen Anfangsansatz · erhitzte Holzdroge, Mittelstufe, fertig · heiße Holzfraktion I · trocken, Mittelstufe, abgeschlossen · heiß, Grad III · Drogenportion · ⟦fchoky:?⟧.	HOLD: lchl als getrocknetes Drogenholz passt in das Holz-/Fraktionsregister.
f105v	f105v.1	S	B	3	9	1	0	0	0	7	0.222222	0	1	4	ykaiin	MIXED_RECORD	NONE	polairy|oair|olpcheey|opchedaiin|dairody|ypcheddy|sairy	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	[polairy:?] | [oair:?] | [olpcheey:?] | erhitze hiervon auf Stufe III | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [opchedaiin:?] | [dairody:?] | [ypcheddy:?] | [sairy:?]	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · hiervon auf Stufe III erhitzen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	⟦polairy:?⟧ · ⟦oair:?⟧ · ⟦olpcheey:?⟧ · hiervon auf Stufe III erhitzen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦opchedaiin:?⟧ · ⟦dairody:?⟧ · ⟦ypcheddy:?⟧ · ⟦sairy:?⟧.	HOLD/SPLIT: olpchedy bezeichnet das Ergebnis der unmittelbar vorausgehenden Erhitzung.
f105v	f105v.14	S	B	3	10	1	0	0	0	4	0.600000	0	3	3|8|10	qokaiir|odar|chtchy	ACTION_SEQUENCE	NONE	pchedaiin|olord|tail|kard	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	[pchedaiin:?] | Arzneikompositum: trocken, Gradanfang, abgeschlossen | nimm die dritte erhitzte Drogenfraktion | fertiggestelltes Trockenpulver aus Holzdrogenansatz | [olord:?] | Menge-/Klassenwert IV | [tail:?] | erste Ansatzfraktion abmessen | [kard:?] | Droge kalt trocknen und leicht nachtrocknen	⟦pchedaiin:?⟧ · trockenes Arzneikompositum, Anfangsstufe, abgeschlossen · dritte erhitzte Drogenfraktion nehmen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦olord:?⟧ · Menge/Klasse IV · ⟦tail:?⟧ · erste Ansatzfraktion abmessen · ⟦kard:?⟧ · Droge kalt trocknen und leicht nachtrocknen.	⟦pchedaiin:?⟧ · trockenes Arzneikompositum, Anfangsstufe, abgeschlossen · dritte erhitzte Drogenfraktion nehmen · fertiggestelltes Trockenpulver aus Holzdrogenansatz · ⟦olord:?⟧ · Menge/Klasse IV · ⟦tail:?⟧ · erste Ansatzfraktion abmessen · ⟦kard:?⟧ · Droge kalt trocknen und leicht nachtrocknen.	HOLD/SPLIT: olpchedy ist das entnommene Fertigpulver, nicht ein zweiter Befehl.
f106r	f106r.23	S	B	3	10	1	1	0	0	0	1.000000	1	1	2	qckhedy	MIXED_RECORD	NONE	NONE	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	Eintrag: getrocknete Droge, fertig | bereite das Arzneikompositum bis zur Mittelstufe und schließe ab | abgemessene Fraktion II | Rohstoffklasse I | heiß in der Mitte des Grades, abgeschlossen | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | heiß und trocken am Anfang des Grades | kalter Ansatz in der Mitte des Grades, abgeschlossen | abgemessene Fraktion I | eine Portion der ersten Drogenfraktion	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · eine Portion der ersten Drogenfraktion.	Getrocknete Droge, fertig · Arzneikompositum bis Mittelstufe bereiten und abschließen · abgemessene Fraktion II · Rohstoffklasse I · heiß, Mittelstufe, abgeschlossen · bis Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum · heiß-trocken, Anfangsstufe · kalter Ansatz, Mittelstufe, abgeschlossen · abgemessene Fraktion I · eine Portion der ersten Drogenfraktion.	GDT677 closes aror; Nach dar ergibt sich abgemessene Fraktion I gefolgt von einer Portion derselben Fraktion.
f107r	f107r.2	S	B	3	13	1	0	0	3	0	1.000000	1	4	1|2|6|12	dchey|qoteos|qor|qeeey	ACTION_SEQUENCE	qoteos|oteed|qeeey	NONE	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	eine Dosis bis zur Mittelstufe trocknen und abschließen | eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen | Menge III | feucht in der Mitte des Grades, abgeschlossen | vollständig abgekühlter und abgezogener Ansatz | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | die vorstehende Behandlung bis zur letzten Stufe führen und abschließen | Holzportion	Eine Dosis bis Mittelstufe trocknen und abschließen · gekühlte Ansatzcharge der Mittelstufe nehmen · Menge III · feucht, Mittelstufe, abgeschlossen · vollständig abgekühlter Ansatz, abgezogen · eine Drogenportion nehmen · Menge III · trocken angesetztes Arzneikompositum, Anfangsstufe · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken, Mittelstufe · vorstehenden Prozess bis zur letzten Stufe abschließen · Holzportion.	Eine Dosis bis zur Mittelstufe trocknen und abschließen. Eine Charge des bis zur Mittelstufe gekühlten Ansatzes nehmen, drei Teile; dazu das fertig eingeweichte Zwischenprodukt und den vollständig abgekühlten, abgezogenen Ansatz. Eine Drogenportion nehmen, drei Teile, mit dem trocken angesetzten Arzneikompositum und dem vollständig erhitzten Holzdrogenansatz. Auf Kältestufe II stellen, bis zur mittleren Trockenstufe führen, danach vollständig zu Ende trocknen und abschließen; zuletzt eine Holzportion.	qeeey schließt hier wie in seinen beiden anderen Kontexten den unmittelbar vorstehenden Prozess ab; die Schlussportionslesung bleibt Rivale
f107r	f107r.40	S	B	3	10	1	1	0	0	0	1.000000	1	0	NONE	NONE	NOMINAL_REGISTER	NONE	NONE	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	Holzstoff, heiß auf Stufe III | trocken in der Mitte des Grades | heiß, Grad III | Rohstoffklasse I, trocken am Gradanfang | Menge III | heiß, Grad III, im Ansatzrahmen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | zweite kalte Drogenfraktion im Ansatz | Rohstoffklasse I im Ansatz, heiß am Gradanfang | Rohstoffklasse I im Ansatz, heiß am Gradanfang	Holzstoff, heiß auf Stufe III · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	Holzstoff, heiß auf Stufe III · trocken, Mittelstufe · heiß, Grad III · Rohstoffklasse I, trocken, Anfangsstufe · Menge III · heiß, Grad III, im Ansatz · erste erhitzte Drogenfraktion im Ansatz · zweite kalte Drogenfraktion im Ansatz · Rohstoffklasse I im heißen Anfangsansatz · Rohstoffklasse I im heißen Anfangsansatz.	GDT677 closes lolkaiin; Vor Trocken-, Heiß- und Fraktionsfeldern eine direkte Stoff-/Stufenbezeichnung.
f10r	f10r.2	H	A	1	10	1	0	0	0	4	0.600000	0	1	1	dchey	MIXED_RECORD	NONE	cthoor|chair|otytchol|etyd	dchey cthoor char chty os chair otytchol oky daiin etyd	eine Dosis bis zur Mittelstufe trocknen und abschließen | [cthoor:?] | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | [chair:?] | [otytchol:?] | heißer Ansatz am Anfang des Grades | Grad-/Maßwert III | [etyd:?]	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦cthoor:?⟧ · Trockenfraktion I · trocken-kalt, Anfangsstufe · Ansatzcharge · ⟦chair:?⟧ · ⟦otytchol:?⟧ · heißer Ansatz, Anfangsstufe · Grad/Maß III · ⟦etyd:?⟧.	Eine Dosis bis Mittelstufe trocknen und abschließen · ⟦cthoor:?⟧ · Trockenfraktion I · trocken-kalt, Anfangsstufe · Ansatzcharge · ⟦chair:?⟧ · ⟦otytchol:?⟧ · heißer Ansatz, Anfangsstufe · Grad/Maß III · ⟦etyd:?⟧.	HOLD: dchey kann zeileninitial als Anweisung stehen; der Rest spezifiziert Charge und Stufe.
