card_rank	family	surface	card_type	composition	working_meaning_de	applied_render_de	strongest_rival_de	confidence	action_license	page	locus	section	language	hand	ordinal	token_count	line_position	left_surface	right_surface	context_decision	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	all_three_present	all_present_exact	zl3b_line	context_before_de	context_after_de	literal_after_de	review_note
1	COLD_CHARGE_COMMAND	qoteos	PRODUCTIVE_COMPOUND	QO_COMMAND+OTEOS_COLD_MIDDLE_CHARGE	eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen	gekühlte Ansatzcharge der Mittelstufe nehmen	nominal: gekühlte Ansatzcharge der Mittelstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	1	f107r	f107r.2	S	B	3	2	13	MEDIAL	dchey	aiin	HOLD_SAME_CARD	EXACT	qoteos	EXACT	qoteos	BOTH_EXACT	1	0	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	eine Dosis bis zur Mittelstufe trocknen und abschließen · ⟦qoteos:?⟧ · Menge III · feucht in der Mitte des Grades, abgeschlossen · ⟦oteed:?⟧ · nimm eine Drogenportion · Menge III · trocken angesetztes Arzneikompositum am Gradanfang · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken in der Mitte des Grades · ⟦qeeey:?⟧ · Holzportion.	eine Dosis bis zur Mittelstufe trocknen und abschließen · gekühlte Ansatzcharge der Mittelstufe nehmen · Menge III · feucht in der Mitte des Grades, abgeschlossen · ⟦oteed:?⟧ · nimm eine Drogenportion · Menge III · trocken angesetztes Arzneikompositum am Gradanfang · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken in der Mitte des Grades · ⟦qeeey:?⟧ · Holzportion.	eine Dosis bis zur Mittelstufe trocknen und abschließen | eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen | Menge III | feucht in der Mitte des Grades, abgeschlossen | [oteed:?] | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | [qeeey:?] | Holzportion	qoteeos bezeichnet die vollständig gekühlte Charge und oteos die Mittelstufencharge; fehlendes e senkt nur die Stufe
2	COLD_END_RESULT	oteed	PRODUCTIVE_RESULT	O_PREP+T_COLD+EE_END+D_CLOSE	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter Ansatz, abgezogen	kalter Ansatz am Gradende, nur abgeschlossen	STRONG_FAMILY_COMPOSITION	0	f107r	f107r.2	S	B	3	5	13	MEDIAL	shedy	qor	HOLD_SAME_CARD	EXACT	oteed	EXACT	oteed	BOTH_EXACT	1	0	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	eine Dosis bis zur Mittelstufe trocknen und abschließen · ⟦qoteos:?⟧ · Menge III · feucht in der Mitte des Grades, abgeschlossen · ⟦oteed:?⟧ · nimm eine Drogenportion · Menge III · trocken angesetztes Arzneikompositum am Gradanfang · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken in der Mitte des Grades · ⟦qeeey:?⟧ · Holzportion.	eine Dosis bis zur Mittelstufe trocknen und abschließen · ⟦qoteos:?⟧ · Menge III · feucht in der Mitte des Grades, abgeschlossen · vollständig abgekühlter Ansatz, abgezogen · nimm eine Drogenportion · Menge III · trocken angesetztes Arzneikompositum am Gradanfang · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken in der Mitte des Grades · ⟦qeeey:?⟧ · Holzportion.	eine Dosis bis zur Mittelstufe trocknen und abschließen | [qoteos:?] | Menge III | feucht in der Mitte des Grades, abgeschlossen | vollständig abgekühlter und abgezogener Ansatz | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | [qeeey:?] | Holzportion	oteey und oteedy liefern den Endzustand; terminales d trägt Abschluss oder Abzug ohne ein zusätzliches y
2	COLD_END_RESULT	oteed	PRODUCTIVE_RESULT	O_PREP+T_COLD+EE_END+D_CLOSE	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter Ansatz, abgezogen	kalter Ansatz am Gradende, nur abgeschlossen	STRONG_FAMILY_COMPOSITION	0	f111r	f111r.17	S	B	3	10	12	MEDIAL	chekeedy	keedy	HOLD_SAME_CARD	EXACT	oteed	EXACT	oteed	BOTH_EXACT	1	1	otes lchey lshedy qoteedy olcheody qokeey chey kal chekeedy oteed keedy otam	⟦otes:?⟧ · Drogenholz, trocken gebunden, Form I · eingeweichtes Drogenholz · kalt am Ende des Grades, abgeschlossen · ⟦olcheody:?⟧ · heiß am Ende des Grades · trocken in der Mitte des Grades · Rohstoffklasse I, heiß am Gradanfang · ⟦chekeedy:?⟧ · ⟦oteed:?⟧ · heiß am Ende des Grades, abgeschlossen · ein Maß kalten Ansatzes.	⟦otes:?⟧ · Drogenholz, trocken gebunden, Form I · eingeweichtes Drogenholz · kalt am Ende des Grades, abgeschlossen · ⟦olcheody:?⟧ · heiß am Ende des Grades · trocken in der Mitte des Grades · Rohstoffklasse I, heiß am Gradanfang · ⟦chekeedy:?⟧ · vollständig abgekühlter Ansatz, abgezogen · heiß am Ende des Grades, abgeschlossen · ein Maß kalten Ansatzes.	[otes:?] | Drogenholz, trocken gebunden, Form I | eingeweichtes Drogenholz | kalt am Ende des Grades, abgeschlossen | [olcheody:?] | heiß am Ende des Grades | trocken in der Mitte des Grades | Rohstoffklasse I, heiß am Gradanfang | [chekeedy:?] | vollständig abgekühlter und abgezogener Ansatz | heiß am Ende des Grades, abgeschlossen | ein Maß kalten Ansatzes	oteey und oteedy liefern den Endzustand; terminales d trägt Abschluss oder Abzug ohne ein zusätzliches y
2	COLD_END_RESULT	oteed	PRODUCTIVE_RESULT	O_PREP+T_COLD+EE_END+D_CLOSE	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter Ansatz, abgezogen	kalter Ansatz am Gradende, nur abgeschlossen	STRONG_FAMILY_COMPOSITION	0	f111r	f111r.46	S	B	3	4	13	MEDIAL	lkeey	lkeedy	HOLD_SAME_CARD	EXACT	oteed	EXACT	oteed	BOTH_EXACT	1	0	y cheeo lkeey oteed lkeedy okeeshey chey lkar al olchal or aiin cheom	Eintrag: · ⟦cheeo:?⟧ · Drogenholz, heiß am Gradende · ⟦oteed:?⟧ · Drogenholz, heiß am Gradende, abgeschlossen · ⟦okeeshey:?⟧ · trocken in der Mitte des Grades · heiße Holzfraktion I · Rohstoffklasse I · ⟦olchal:?⟧ · Drogenportion · Menge III · ⟦cheom:?⟧.	Eintrag: · ⟦cheeo:?⟧ · Drogenholz, heiß am Gradende · vollständig abgekühlter Ansatz, abgezogen · Drogenholz, heiß am Gradende, abgeschlossen · ⟦okeeshey:?⟧ · trocken in der Mitte des Grades · heiße Holzfraktion I · Rohstoffklasse I · ⟦olchal:?⟧ · Drogenportion · Menge III · ⟦cheom:?⟧.	Eintrag: | [cheeo:?] | Drogenholz, heiß am Gradende | vollständig abgekühlter und abgezogener Ansatz | Drogenholz, heiß am Gradende, abgeschlossen | [okeeshey:?] | trocken in der Mitte des Grades | heiße Holzfraktion I | Rohstoffklasse I | [olchal:?] | Drogenportion | Menge III | [cheom:?]	oteey und oteedy liefern den Endzustand; terminales d trägt Abschluss oder Abzug ohne ein zusätzliches y
2	COLD_END_RESULT	oteed	PRODUCTIVE_RESULT	O_PREP+T_COLD+EE_END+D_CLOSE	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter Ansatz, abgezogen	kalter Ansatz am Gradende, nur abgeschlossen	STRONG_FAMILY_COMPOSITION	0	f114r	f114r.33	S	B	3	2	14	MEDIAL	daiin	aiin	RIGHT_BOUNDARY_CORE_HOLD	EXACT	oteed	MERGE_2	oteedaiin	IT2A_ONLY_EXACT	1	0	daiin oteed aiin saiin yteey aiin al odaiin chedal odaiis aiin cheo dal chedy	Grad-/Maßwert III · ⟦oteed:?⟧ · Menge III · Samen/Saatgut, Typ/Charge III · kühle hiervon bis zur Endstufe ab · Menge III · Rohstoffklasse I · Zubereitungsdosis III · trockene abgemessene Rohstoffmenge I in der Gradmitte · ⟦odaiis:?⟧ · Menge III · trocken angesetzte Zubereitung · abgemessene Rohstoffmenge I · trocken in der Mitte des Grades, abgeschlossen.	Grad-/Maßwert III · vollständig abgekühlter Ansatz, abgezogen · Menge III · Samen/Saatgut, Typ/Charge III · kühle hiervon bis zur Endstufe ab · Menge III · Rohstoffklasse I · Zubereitungsdosis III · trockene abgemessene Rohstoffmenge I in der Gradmitte · ⟦odaiis:?⟧ · Menge III · trocken angesetzte Zubereitung · abgemessene Rohstoffmenge I · trocken in der Mitte des Grades, abgeschlossen.	Grad-/Maßwert III | vollständig abgekühlter und abgezogener Ansatz | Menge III | Samen/Saatgut, Typ/Charge III | kühle hiervon bis zur Endstufe ab | Menge III | Rohstoffklasse I | Zubereitungsdosis III | trockene abgemessene Rohstoffmenge I in der Gradmitte | [odaiis:?] | Menge III | trocken angesetzte Zubereitung | abgemessene Rohstoffmenge I | trocken in der Mitte des Grades, abgeschlossen	RF1b verbindet das folgende aiin zu oteedaiin; Kaltendzustand und Dreiermenge bleiben getrennt im Praxisregister
2	COLD_END_RESULT	oteed	PRODUCTIVE_RESULT	O_PREP+T_COLD+EE_END+D_CLOSE	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter Ansatz, abgezogen	kalter Ansatz am Gradende, nur abgeschlossen	STRONG_FAMILY_COMPOSITION	0	f115v	f115v.27	S	B	3	9	11	MEDIAL	aiin	chkal	HOLD_SAME_CARD	EXACT	oteed	EXACT	oteed	BOTH_EXACT	1	0	olain cheo lkain cheey qot cheody lor aiin oteed chkal kchetam	Drogenstoff, Menge II · trocken angesetzte Zubereitung · Holzdroge, heiß auf Stufe II · trocken am Ende des Grades · kühle Folgendes ab · getrockneter Ansatz · Holzportion · Menge III · ⟦oteed:?⟧ · Rohstoffklasse I, trocken-heiß am Gradanfang · ⟦kchetam:?⟧.	Drogenstoff, Menge II · trocken angesetzte Zubereitung · Holzdroge, heiß auf Stufe II · trocken am Ende des Grades · kühle Folgendes ab · getrockneter Ansatz · Holzportion · Menge III · vollständig abgekühlter Ansatz, abgezogen · Rohstoffklasse I, trocken-heiß am Gradanfang · ⟦kchetam:?⟧.	Drogenstoff, Menge II | trocken angesetzte Zubereitung | Holzdroge, heiß auf Stufe II | trocken am Ende des Grades | kühle Folgendes ab | getrockneter Ansatz | Holzportion | Menge III | vollständig abgekühlter und abgezogener Ansatz | Rohstoffklasse I, trocken-heiß am Gradanfang | [kchetam:?]	oteey und oteedy liefern den Endzustand; terminales d trägt Abschluss oder Abzug ohne ein zusätzliches y
2	COLD_END_RESULT	oteed	PRODUCTIVE_RESULT	O_PREP+T_COLD+EE_END+D_CLOSE	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter Ansatz, abgezogen	kalter Ansatz am Gradende, nur abgeschlossen	STRONG_FAMILY_COMPOSITION	0	f48v	f48v.4	H	B	5	9	12	MEDIAL	yteedy	y	ONE_READER_EXACT_RETAIN	EXACT	oteed	ONE	ytee	IT2A_ONLY_EXACT	1	0	dchedy tchddy otsh okeey ty otar alchdy yteedy oteed y kedy m	abgemessene Trockendroge, fertig · ⟦tchddy:?⟧ · ⟦otsh:?⟧ · heißer Ansatz am Ende des Grades · kalt am Anfang des Grades · kalte Drogenfraktion I im Ansatz · Rohdroge I trocknen und fertigstellen · kühle hiervon vollständig ab und schließe · ⟦oteed:?⟧ · ; hierzu: · heiß in der Mitte des Grades, abgeschlossen · eine Handvoll.	abgemessene Trockendroge, fertig · ⟦tchddy:?⟧ · ⟦otsh:?⟧ · heißer Ansatz am Ende des Grades · kalt am Anfang des Grades · kalte Drogenfraktion I im Ansatz · Rohdroge I trocknen und fertigstellen · kühle hiervon vollständig ab und schließe · vollständig abgekühlter Ansatz, abgezogen · ; hierzu: · heiß in der Mitte des Grades, abgeschlossen · eine Handvoll.	abgemessene Trockendroge, fertig | [tchddy:?] | [otsh:?] | heißer Ansatz am Ende des Grades | kalt am Anfang des Grades | kalte Drogenfraktion I im Ansatz | Rohdroge I trocknen und fertigstellen | kühle hiervon vollständig ab und schließe | vollständig abgekühlter und abgezogener Ansatz | ; hierzu: | heiß in der Mitte des Grades, abgeschlossen | eine Handvoll	RF1b ytee ist ein echter Leser-Rivale; fünf weitere Vorkommen halten den Kaltendkern
3	FINAL_PROCESS_COMMAND	qeeey	ANAPHORIC_PROCESS_COMMAND	Q_COMMAND+EEE_FINAL+Y_CLOSE	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	vorstehenden Prozess bis zur letzten Stufe abschließen	die Schlussportion des folgenden Materials zugeben	MEDIUM_CONTEXT_PATTERN	1	f107r	f107r.2	S	B	3	12	13	MEDIAL	chey	lor	HOLD_SAME_CARD	EXACT	qeeey	EXACT	qeeey	BOTH_EXACT	1	0	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	eine Dosis bis zur Mittelstufe trocknen und abschließen · ⟦qoteos:?⟧ · Menge III · feucht in der Mitte des Grades, abgeschlossen · ⟦oteed:?⟧ · nimm eine Drogenportion · Menge III · trocken angesetztes Arzneikompositum am Gradanfang · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken in der Mitte des Grades · ⟦qeeey:?⟧ · Holzportion.	eine Dosis bis zur Mittelstufe trocknen und abschließen · ⟦qoteos:?⟧ · Menge III · feucht in der Mitte des Grades, abgeschlossen · ⟦oteed:?⟧ · nimm eine Drogenportion · Menge III · trocken angesetztes Arzneikompositum am Gradanfang · Holzdrogenansatz vollständig erhitzt · kalt im qo-Rahmen, Grad II · trocken in der Mitte des Grades · vorstehenden Prozess bis zur letzten Stufe abschließen · Holzportion.	eine Dosis bis zur Mittelstufe trocknen und abschließen | [qoteos:?] | Menge III | feucht in der Mitte des Grades, abgeschlossen | [oteed:?] | nimm eine Drogenportion | Menge III | trocken angesetztes Arzneikompositum am Gradanfang | Holzdrogenansatz vollständig erhitzt | kalt im qo-Rahmen, Grad II | trocken in der Mitte des Grades | die vorstehende Behandlung bis zur letzten Stufe führen und abschließen | Holzportion	alle drei doppelt exakten Vorkommen folgen unmittelbar auf einen Feucht-, Kalt- oder Trockenprozess; dieser wiederkehrende Linksbezug schlägt die formnahe Portionslesung
3	FINAL_PROCESS_COMMAND	qeeey	ANAPHORIC_PROCESS_COMMAND	Q_COMMAND+EEE_FINAL+Y_CLOSE	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	vorstehenden Prozess bis zur letzten Stufe abschließen	die Schlussportion des folgenden Materials zugeben	MEDIUM_CONTEXT_PATTERN	1	f108r	f108r.38	S	B	3	5	6	MEDIAL	otedy	chey	HOLD_SAME_CARD	EXACT	qeeey	EXACT	qeeey	BOTH_EXACT	1	0	dcheeody cheedy qokeedy otedy qeeey chey	⟦dcheeody:?⟧ · trocken am Ende des Grades, abgeschlossen · heiß am Ende des Grades, abgeschlossen · kalter Ansatz in der Mitte des Grades, abgeschlossen · ⟦qeeey:?⟧ · trocken in der Mitte des Grades.	⟦dcheeody:?⟧ · trocken am Ende des Grades, abgeschlossen · heiß am Ende des Grades, abgeschlossen · kalter Ansatz in der Mitte des Grades, abgeschlossen · vorstehenden Prozess bis zur letzten Stufe abschließen · trocken in der Mitte des Grades.	[dcheeody:?] | trocken am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalter Ansatz in der Mitte des Grades, abgeschlossen | die vorstehende Behandlung bis zur letzten Stufe führen und abschließen | trocken in der Mitte des Grades	alle drei doppelt exakten Vorkommen folgen unmittelbar auf einen Feucht-, Kalt- oder Trockenprozess; dieser wiederkehrende Linksbezug schlägt die formnahe Portionslesung
3	FINAL_PROCESS_COMMAND	qeeey	ANAPHORIC_PROCESS_COMMAND	Q_COMMAND+EEE_FINAL+Y_CLOSE	die vorstehende Behandlung bis zur letzten Stufe führen und abschließen	vorstehenden Prozess bis zur letzten Stufe abschließen	die Schlussportion des folgenden Materials zugeben	MEDIUM_CONTEXT_PATTERN	1	f76r	f76r.17	T	B	2	4	12	MEDIAL	shey	chol	HOLD_SAME_CARD	EXACT	qeeey	EXACT	qeeey	BOTH_EXACT	1	1	chey chckh shey qeeey chol lkain shedy qokeedy okain chedy okeed qokaloro	trocken in der Mitte des Grades · ⟦chckh:?⟧ · feucht in der Mitte des Grades · ⟦qeeey:?⟧ · trocken; nominal trockenes Gut/Material · Holzdroge, heiß auf Stufe II · feucht in der Mitte des Grades, abgeschlossen · heiß am Ende des Grades, abgeschlossen · heiß im Zubereitungsrahmen, Grad II · trocken in der Mitte des Grades, abgeschlossen · ⟦okeed:?⟧ · ⟦qokaloro:?⟧.	trocken in der Mitte des Grades · ⟦chckh:?⟧ · feucht in der Mitte des Grades · vorstehenden Prozess bis zur letzten Stufe abschließen · trocken; nominal trockenes Gut/Material · Holzdroge, heiß auf Stufe II · feucht in der Mitte des Grades, abgeschlossen · heiß am Ende des Grades, abgeschlossen · heiß im Zubereitungsrahmen, Grad II · trocken in der Mitte des Grades, abgeschlossen · ⟦okeed:?⟧ · ⟦qokaloro:?⟧.	trocken in der Mitte des Grades | [chckh:?] | feucht in der Mitte des Grades | die vorstehende Behandlung bis zur letzten Stufe führen und abschließen | trocken; nominal trockenes Gut/Material | Holzdroge, heiß auf Stufe II | feucht in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | heiß im Zubereitungsrahmen, Grad II | trocken in der Mitte des Grades, abgeschlossen | [okeed:?] | [qokaloro:?]	alle drei doppelt exakten Vorkommen folgen unmittelbar auf einen Feucht-, Kalt- oder Trockenprozess; dieser wiederkehrende Linksbezug schlägt die formnahe Portionslesung
