locus	ordinal	surface	resolution_class	applied_render_de	reader_preference	review_note	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	context_after_de
f113v.17	6	cthororaiin	BILATERAL_SPLIT_COMPOSE	drei Portionen Blatt- oder Krautdroge	IT2a+RF1b cthor oraiin	beide Leser bewahren alle Buchstaben und dieselbe Stoff-plus-Mengen-Komposition	SPLIT_2	cthororaiin	SPLIT_2	cthororaiin	NEITHER_EXACT	⟦saraiin:?⟧ · feucht in der Mitte des Grades, abgeschlossen · Drogenholz, trocken gebunden, Form II · erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen · heiß, Grad III, im Ansatzrahmen · drei Portionen Blatt- oder Krautdroge · ⟦yteeeor:?⟧.
f114r.33	2	oteed	RIGHT_BOUNDARY_CORE_HOLD	vollständig abgekühlter Ansatz, abgezogen	ZL3b+IT2a	RF1b verbindet das folgende aiin zu oteedaiin; Kaltendzustand und Dreiermenge bleiben getrennt im Praxisregister	EXACT	oteed	MERGE_2	oteedaiin	IT2A_ONLY_EXACT	Grad-/Maßwert III · vollständig abgekühlter Ansatz, abgezogen · Menge III · Samen/Saatgut, Typ/Charge III · kühle hiervon bis zur Endstufe ab · Menge III · Rohstoffklasse I · Zubereitungsdosis III · trockene abgemessene Rohstoffmenge I in der Gradmitte · ⟦odaiis:?⟧ · Menge III · trocken angesetzte Zubereitung · abgemessene Rohstoffmenge I · trocken in der Mitte des Grades, abgeschlossen.
f116r.30	1	saraiin	READER_SPLIT_COMPOSE	drei Teile der ersten Samenfraktion	ZL3b+IT2a; RF1b sar aiin	RF1b bestätigt dieselben Komponenten mit anderer Wortgrenze	EXACT	saraiin	SPLIT_2	saraiin	IT2A_ONLY_EXACT	drei Teile der ersten Samenfraktion · feucht in der Mitte des Grades · heiß, Grad II · trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut · heiße Drogenfraktion I im Ansatz · zweite Drogenfraktion · ⟦ollaiin:?⟧ · Rohstoff-I-Ansatz leicht erhitzen und abschließen.
f24v.15	3	dchal	ONE_READER_EXACT_RETAIN	eine Dosis angetrocknete Rohdroge I	ZL3b+RF1b	IT2a dchol bietet ein Maß trockenen Materials, bewahrt aber Dosis und Trockengut als Kern	ONE	dchol	EXACT	dchal	RF1B_ONLY_EXACT	eine Dosis bis zur Mittelstufe trocknen und abschließen · ⟦kchod:?⟧ · eine Dosis angetrocknete Rohdroge I · ⟦ochdy:?⟧.
f27r.9	3	shotchey	READER_SPLIT_COMPOSE	kalt bis Mittelstufe nachgetrockneter Feuchtansatz	ZL3b+RF1b; IT2a sho tchey	IT2a macht Feuchtansatz plus kalt-trockene Mittelstufe explizit	SPLIT_2	shotchey	EXACT	shotchey	RF1B_ONLY_EXACT	eine Dosis bis zur Mittelstufe trocknen und abschließen · ⟦keeod:?⟧ · kalt bis Mittelstufe nachgetrockneter Feuchtansatz · trocken; nominal trockenes Gut/Material · kalter Ansatz am Anfang des Grades · trocken am Anfang des Grades · ⟦tolg:?⟧.
f27r.9	7	tolg	UNIT_RIVAL	ein Gran kalten Drogenmaterials	ZL3b+RF1b terminal g	IT2a tolm liest eine Handvoll und RF1b bindet chotolg; die Mengenfunktion hält, die Einheit bleibt niedrig	ONE	tolm	ONE	chotolg	NEITHER_EXACT	eine Dosis bis zur Mittelstufe trocknen und abschließen · ⟦keeod:?⟧ · ⟦shotchey:?⟧ · trocken; nominal trockenes Gut/Material · kalter Ansatz am Anfang des Grades · trocken am Anfang des Grades · ein Gran kalten Drogenmaterials.
f48v.4	9	oteed	ONE_READER_EXACT_RETAIN	vollständig abgekühlter Ansatz, abgezogen	ZL3b+IT2a	RF1b ytee ist ein echter Leser-Rivale; fünf weitere Vorkommen halten den Kaltendkern	EXACT	oteed	ONE	ytee	IT2A_ONLY_EXACT	abgemessene Trockendroge, fertig · ⟦tchddy:?⟧ · ⟦otsh:?⟧ · heißer Ansatz am Ende des Grades · kalt am Anfang des Grades · kalte Drogenfraktion I im Ansatz · Rohdroge I trocknen und fertigstellen · kühle hiervon vollständig ab und schließe · vollständig abgekühlter Ansatz, abgezogen · ; hierzu: · heiß in der Mitte des Grades, abgeschlossen · eine Handvoll.
f86v3.13	2	orsheey	READER_SPLIT_COMPOSE	Portion vollständig eingeweichte Droge	IT2a or sheey	RF1b orshee verliert nur den finalen Schlussmarker; IT2a bestätigt Portion plus vollständige Einweichung	SPLIT_2	orsheey	ONE	orshee	NEITHER_EXACT	⟦osheey:?⟧ · Portion vollständig eingeweichte Droge · abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen · heiß, Grad II · Qualitätsgrad III · erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen · abgemessene Trockendroge, Dosis III · hierzu: · trocken in der Mitte des Grades, abgeschlossen · erhitze einen gleichen Teil und schließe ab · ⟦cholkain:?⟧.
f87r.9	5	saraiin	READER_MATERIAL_RIVAL	drei Teile der ersten Samenfraktion	ZL3b	IT2a soraiin bleibt Samenportion III, RF1b raiin bietet dagegen Wurzeldroge Klasse III	ONE	soraiin	ONE	raiin	NEITHER_EXACT	Samenportion · ⟦shocthey:?⟧ · ⟦oteody:?⟧ · Maß trockenen Materials · drei Teile der ersten Samenfraktion.
f88v.9	2	keeod	RIGHT_BOUNDARY_CORE_HOLD	vollständig erhitzter Ansatz, abgezogen	ZL3b	IT2a verbindet das folgende y zu keeody und RF1b liest keeo y; vollständige Erhitzung plus Ansatz bleibt gemeinsam	MERGE_2	keeody	ONE	keeo	NEITHER_EXACT	⟦choeey:?⟧ · vollständig erhitzter Ansatz, abgezogen · ; hierzu: · Samen-/Saatgutposten · Menge III · Trockenansatz, abgeschlossen · ⟦okearcheol:?⟧ · ⟦archeey:?⟧ · ⟦sairal:?⟧.
