repeated_event_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	action_sequence	repeated_action_roots	repeated_action_root_counts	raw_adjacent_pair_count	raw_action_atom_positions	classification	count_card_id	count_voice_changed	before_clause_de	after_clause_de	guard
1	G407-E0059	G407-S003	f1r	SOURCE_SECTION_T	NONSTATE_CARD	chocthy	CH+O+CH+T+Y	CH+CH+T	CH	CH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Entnimm den laufenden Eintrag, entnimm ihn und lege ihn fest; als Ausführung.	Entnimm den laufenden Eintrag, entnimm ihn und lege ihn fest; als Ausführung.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
2	G407-E0077	G407-S005	f1r	SOURCE_SECTION_T	NONSTATE_CARD	shoshy	SH+O+SH+Y	SH+SH	SH	SH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Halte den laufenden Eintrag fest und halte ihn fest; als Ausführung.	Halte den laufenden Eintrag fest und halte ihn fest; als Ausführung.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
3	G407-E0215	G407-S008	f10r	HERBAL	NONSTATE_CARD	pchocthy	P+CH+O+CH+T+Y	P+CH+CH+T	CH	CH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Setze den Pflanzenposten ein, nimm ihn, nimm ihn und stelle ihn ein; als Ausführung.	Setze den Pflanzenposten ein, nimm ihn, nimm ihn und stelle ihn ein; als Ausführung.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
4	G407-E0218	G407-S008	f10r	HERBAL	NONSTATE_CARD	chorchy	CH+OR+CH+Y	CH+CH	CH	CH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Nimm die Arbeitseinheit und den Pflanzenposten und nimm sie und ihn.	Nimm die Arbeitseinheit und den Pflanzenposten und nimm sie und ihn.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
5	G407-E0220	G407-S008	f10r	HERBAL	NONSTATE_CARD	chopchal	CH+O+P+CH+AL	CH+P+CH	CH	CH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Nimm denselben Pflanzenposten, setze ihn ein und nimm ihn; zur Zielstelle; als Ausführung.	Nimm denselben Pflanzenposten, setze ihn ein und nimm ihn; zur Zielstelle; als Ausführung.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
6	G407-E0237	G407-S008	f10r	HERBAL	NONSTATE_CARD	chocthy	CH+O+CH+T+Y	CH+CH+T	CH	CH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein; als Ausführung.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
7	G407-E0246	G407-S008	f10r	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	CH:2	1	1|2	ADJACENT_IDENTICAL_PAIR_COUNTABLE	GDT574-C02	YES	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten zweimal und stelle ihn ein.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
8	G407-E0251	G407-S008	f10r	HERBAL	NONSTATE_CARD	chtchor	CH+T+CH+OR	CH+T+CH	CH	CH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Nimm die Arbeitseinheit, stelle sie ein und nimm sie.	Nimm die Arbeitseinheit, stelle sie ein und nimm sie.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
9	G407-E0506	G407-S024	f17r	HERBAL	NONSTATE_CARD	chypcham	CH+Y+P+CH+AM_ADDR	CH+P+CH	CH	CH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Nimm den Pflanzenposten, setze ihn ein und nimm ihn; an der bezeichneten Stelle.	Nimm den Pflanzenposten, setze ihn ein und nimm ihn; an der bezeichneten Stelle.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
10	G407-E0561	G407-S027	f18r	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	CH:2	1	1|2	ADJACENT_IDENTICAL_PAIR_COUNTABLE	GDT574-C02	YES	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten zweimal und stelle ihn ein.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
11	G407-E0606	G407-S030	f24v	HERBAL	NONSTATE_CARD	chocfhey	CH+O+CH+LOCAL_CHAR_F+E+Y	CH+CH	CH	CH:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Nimm den Pflanzenposten und nimm ihn; als Ausführung und auf Grad I; an der bezeichneten Stelle.	Nimm den Pflanzenposten und nimm ihn; als Ausführung und auf Grad I; an der bezeichneten Stelle.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
12	G407-E0609	G407-S030	f24v	HERBAL	NONSTATE_CARD	chcphy	CH+CH+P+Y	CH+CH+P	CH	CH:2	1	1|2	ADJACENT_IDENTICAL_PAIR_COUNTABLE	GDT574-C02	YES	Nimm den Pflanzenposten, nimm ihn und setze ihn ein.	Nimm den Pflanzenposten zweimal und setze ihn ein.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
13	G407-E0628	G407-S031	f24v	HERBAL	NONSTATE_CARD	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	S+S	S	S:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der lokalen Variante.	Wähle denselben Pflanzenposten und wähle ihn; vom Ausgangsmaterial; als Ausführung, auf Grad I, auf Grad I und auf Grad I; mit der lokalen Variante.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
14	G407-E0630	G407-S031	f24v	HERBAL	NONSTATE_CARD	chcth	CH+CH+T	CH+CH+T	CH	CH:2	1	1|2	ADJACENT_IDENTICAL_PAIR_COUNTABLE	GDT574-C02	YES	Nimm denselben Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm denselben Pflanzenposten zweimal und stelle ihn ein.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
15	G407-E0649	G407-S032	f24v	HERBAL	NONSTATE_CARD	kochky	K+O+CH+K+Y	K+CH+K	K	K:2	0	NONE	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	NOT_APPLICABLE	NO	Gib den Pflanzenposten zu, nimm ihn und gib ihn zu; als Ausführung.	Gib den Pflanzenposten zu, nimm ihn und gib ihn zu; als Ausführung.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
16	G407-E0650	G407-S032	f24v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	CH:2	1	1|2	ADJACENT_IDENTICAL_PAIR_COUNTABLE	GDT574-C02	YES	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten zweimal und stelle ihn ein.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
17	G407-E0714	G407-S034	f55v	HERBAL	NONSTATE_CARD	chckhdy	CH+CH+K+D_ADDR+Y	CH+CH+K	CH	CH:2	1	1|2	ADJACENT_IDENTICAL_PAIR_COUNTABLE	GDT574-C02	YES	Nimm den Pflanzenposten, nimm ihn und gib ihn zu; an der bezeichneten Stelle.	Nimm den Pflanzenposten zweimal und gib ihn zu; an der bezeichneten Stelle.	COMPLETE_REPEATED_ACTION_EVENT_INVENTORY__ORDER_PRESERVED
