profile_ordinal	action_sequence	classification	event_count	physical_page_count	register_count	example_event_ids	guard
1	CH+CH+T	ADJACENT_IDENTICAL_PAIR_COUNTABLE	21	14	4	G407-E0246|G407-E0561|G407-E0630|G407-E0650|G407-E1474|G407-E1495|G407-E1728|G407-E2172	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
2	CH+CH+P	ADJACENT_IDENTICAL_PAIR_COUNTABLE	10	8	4	G407-E0609|G407-E1837|G407-E1838|G407-E1914|G407-E2631|G407-E2774|G407-E3576|G407-E4113	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
3	CH+CH+K	ADJACENT_IDENTICAL_PAIR_COUNTABLE	8	6	3	G407-E0714|G407-E1952|G407-E1971|G407-E2567|G407-E3442|G407-E3648|G407-E3748|G515-E0516	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
4	CH+CH+S	ADJACENT_IDENTICAL_PAIR_COUNTABLE	2	2	2	G407-E0799|G407-E1292	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
5	CH+CH+T+K	ADJACENT_IDENTICAL_PAIR_COUNTABLE	1	1	1	G407-E4486	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
6	OK+OK+CH	ADJACENT_IDENTICAL_PAIR_COUNTABLE	1	1	1	G407-E0871	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
7	CH+CH+K	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	13	10	4	G407-E0847|G407-E1328|G407-E1499|G407-E1982|G407-E2385|G407-E2602|G407-E3010|G407-E3261	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
8	CH+CH	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	8	6	4	G407-E0218|G407-E0606|G407-E0805|G407-E0851|G407-E0923|G407-E1834|G407-E2115|G515-E0304	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
9	S+S	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	7	7	4	G407-E0628|G407-E0929|G407-E2706|G407-E2755|G407-E3849|G515-E0075|G515-E0243	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
10	CH+CH+T	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	6	6	4	G407-E0059|G407-E0237|G407-E1035|G407-E1308|G407-E4007|G515-E0141	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
11	SH+SH	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	4	4	2	G407-E0077|G407-E4562|G515-E0055|G515-E0222	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
12	CH+CH+P	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	3	3	3	G407-E0804|G407-E3528|G407-E4146	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
13	CH+P+CH	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	3	3	2	G407-E0220|G407-E0506|G407-E1082	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
14	CH+K+CH	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	2	2	2	G407-E1044|G515-E0049	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
15	CH+T+CH	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	2	2	2	G407-E0251|G407-E3922	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
16	K+CH+K	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	2	2	2	G407-E0649|G515-E0476	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
17	CH+CH+P+SH	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	1	1	1	G407-E2697	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
18	CH+K+CH+K	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	1	1	1	G407-E1058	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
19	CH+K+K	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	1	1	1	G407-E1131	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
20	CH+S+CH+K	INTERRUPTED_OR_NONADJACENT_REPEAT_ORDER_EXPLICIT	1	1	1	G407-E4208	ACTION_SEQUENCE_PROFILE_ONLY__RAW_RECIPE_ADJACENCY_DECIDES_COUNT_VOICE
