assignment_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	action_sequence	repeated_action_root	raw_action_atom_positions	count_card_id	source_status	source_start_char	source_end_char	target_start_char	target_end_char	source_action_pair_fragment_de	count_fragment_de	full_two_slot_expansion_fragment_de	action_slot_count_retained	guard
1	G407-E0246	G407-S008	f10r	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	33	0	31	Nimm den Pflanzenposten, nimm ihn	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
2	G407-E0561	G407-S027	f18r	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	33	0	31	Nimm den Pflanzenposten, nimm ihn	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
3	G407-E0609	G407-S030	f24v	HERBAL	NONSTATE_CARD	chcphy	CH+CH+P+Y	CH+CH+P	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	33	0	31	Nimm den Pflanzenposten, nimm ihn	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
4	G407-E0630	G407-S031	f24v	HERBAL	NONSTATE_CARD	chcth	CH+CH+T	CH+CH+T	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	39	0	37	Nimm denselben Pflanzenposten, nimm ihn	Nimm denselben Pflanzenposten zweimal	Nimm denselben Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
5	G407-E0650	G407-S032	f24v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	33	0	31	Nimm den Pflanzenposten, nimm ihn	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
6	G407-E0714	G407-S034	f55v	HERBAL	NONSTATE_CARD	chckhdy	CH+CH+K+D_ADDR+Y	CH+CH+K	CH	1|2	GDT574-C02	NEWLY_COMPRESSED	0	33	0	31	Nimm den Pflanzenposten, nimm ihn	Nimm den Pflanzenposten zweimal	Nimm den Pflanzenposten, nimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
7	G407-E0799	G407-S038	f56r	HERBAL	NONSTATE_CARD	chchs	CH+CH+S	CH+CH+S	CH	1|2	GDT574-C04	NEWLY_COMPRESSED	0	10	0	12	Nimm, nimm	Nimm zweimal	Nimm, nimm	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
8	G407-E0871	G407-S040	f56r	HERBAL	NONSTATE_CARD	qokokchy	OK+OK+CH+Y	OK+OK+CH	OK	1|2	GDT574-C05	NEWLY_COMPRESSED	0	71	0	50	Setze den Pflanzenposten im Arbeitsgang an, setze ihn im Arbeitsgang an	Setze den Pflanzenposten im Arbeitsgang zweimal an	Setze den Pflanzenposten im Arbeitsgang an, setze ihn im Arbeitsgang an	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
9	G407-E1292	G407-S071	f72r	CELESTIAL	NONSTATE_CARD	chchs	CH+CH+S	CH+CH+S	CH	1|2	GDT574-C03	NEWLY_COMPRESSED	0	46	0	40	Nimm denselben Positionswert auf, nimm ihn auf	Nimm denselben Positionswert zweimal auf	Nimm denselben Positionswert auf, nimm ihn auf	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
10	G407-E1474	G407-S087	f75r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	CH+CH+T	CH	1|2	GDT574-C01	NEWLY_COMPRESSED	0	39	0	34	Entnimm den Stationsposten, entnimm ihn	Entnimm den Stationsposten zweimal	Entnimm den Stationsposten, entnimm ihn	2	RAW_ADJACENCY_ONLY__TWO_WRITTEN_ACTION_SLOTS_RETAINED
