change_ordinal	event_id	statement_id	physical_page	register	state_status	surface	final_context_recipe	count_card_id	before_clause_de	after_clause_de	gdt573_source_roundtrip_de	full_two_slot_expansion_de	guard
1	G407-E0246	G407-S008	f10r	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C02	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten zweimal und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
2	G407-E0561	G407-S027	f18r	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C02	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten zweimal und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
3	G407-E0609	G407-S030	f24v	HERBAL	NONSTATE_CARD	chcphy	CH+CH+P+Y	GDT574-C02	Nimm den Pflanzenposten, nimm ihn und setze ihn ein.	Nimm den Pflanzenposten zweimal und setze ihn ein.	Nimm den Pflanzenposten, nimm ihn und setze ihn ein.	Nimm den Pflanzenposten, nimm ihn und setze ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
4	G407-E0630	G407-S031	f24v	HERBAL	NONSTATE_CARD	chcth	CH+CH+T	GDT574-C02	Nimm denselben Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm denselben Pflanzenposten zweimal und stelle ihn ein.	Nimm denselben Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm denselben Pflanzenposten, nimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
5	G407-E0650	G407-S032	f24v	HERBAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C02	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten zweimal und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	Nimm den Pflanzenposten, nimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
6	G407-E0714	G407-S034	f55v	HERBAL	NONSTATE_CARD	chckhdy	CH+CH+K+D_ADDR+Y	GDT574-C02	Nimm den Pflanzenposten, nimm ihn und gib ihn zu; an der bezeichneten Stelle.	Nimm den Pflanzenposten zweimal und gib ihn zu; an der bezeichneten Stelle.	Nimm den Pflanzenposten, nimm ihn und gib ihn zu; an der bezeichneten Stelle.	Nimm den Pflanzenposten, nimm ihn und gib ihn zu; an der bezeichneten Stelle.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
7	G407-E0799	G407-S038	f56r	HERBAL	NONSTATE_CARD	chchs	CH+CH+S	GDT574-C04	Nimm, nimm und wähle.	Nimm zweimal und wähle.	Nimm, nimm und wähle.	Nimm, nimm und wähle.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
8	G407-E0871	G407-S040	f56r	HERBAL	NONSTATE_CARD	qokokchy	OK+OK+CH+Y	GDT574-C05	Setze den Pflanzenposten im Arbeitsgang an, setze ihn im Arbeitsgang an und nimm ihn.	Setze den Pflanzenposten im Arbeitsgang zweimal an und nimm ihn.	Setze den Pflanzenposten im Arbeitsgang an, setze ihn im Arbeitsgang an und nimm ihn.	Setze den Pflanzenposten im Arbeitsgang an, setze ihn im Arbeitsgang an und nimm ihn.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
9	G407-E1292	G407-S071	f72r	CELESTIAL	NONSTATE_CARD	chchs	CH+CH+S	GDT574-C03	Nimm denselben Positionswert auf, nimm ihn auf und wähle ihn.	Nimm denselben Positionswert zweimal auf und wähle ihn.	Nimm denselben Positionswert auf, nimm ihn auf und wähle ihn.	Nimm denselben Positionswert auf, nimm ihn auf und wähle ihn.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
10	G407-E1474	G407-S087	f75r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
11	G407-E1495	G407-S094	f75r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
12	G407-E1837	G407-S193	f76r	BIOLOGICAL	NONSTATE_CARD	chcphy	CH+CH+P+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und setze ihn ein.	Entnimm den Stationsposten zweimal und setze ihn ein.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
13	G407-E1838	G407-S193	f76r	BIOLOGICAL	NONSTATE_CARD	chcphdy	CH+CH+P+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und setze ihn ein.	Entnimm den Stationsposten zweimal und setze ihn ein.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
14	G407-E1952	G407-S218	f76r	BIOLOGICAL	NONSTATE_CARD	chckhey	CH+CH+K+E+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten zweimal und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
15	G407-E1971	G407-S221	f76r	BIOLOGICAL	NONSTATE_CARD	chckheed	CH+CH+K+E+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten zweimal und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
16	G407-E2172	G407-S263	f76r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
17	G407-E2178	G407-S263	f76r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
18	G407-E2546	G407-S361	f77r	BIOLOGICAL	NONSTATE_CARD	chcthy	CH+CH+T+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten zweimal und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	Entnimm den Stationsposten, entnimm ihn und stelle ihn ein.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
19	G407-E2567	G407-S368	f77r	BIOLOGICAL	NONSTATE_CARD	chckhey	CH+CH+K+E+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten zweimal und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
20	G407-E2631	G407-S381	f77r	BIOLOGICAL	NONSTATE_CARD	chcphey	CH+CH+P+E+Y	GDT574-C01	Entnimm den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	Entnimm den Stationsposten zweimal und setze ihn ein; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	Entnimm den Stationsposten, entnimm ihn und setze ihn ein; auf Grad I.	COUNT_VOICE_ONLY__SOURCE_CLAUSE_EXACTLY_RESTORABLE
