page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	nonstate_event_count	repeated_action_event_count	eligible_adjacent_pair_event_count	changed_event_count	changed_statement_count	zweimal_occurrence_count	page_status	guard
1	f1r	SOURCE_SECTION_T	214	7	36	178	2	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
2	f10r	HERBAL	92	2	23	69	6	1	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
3	f11r	HERBAL	59	2	11	48	0	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
4	f13r	HERBAL	77	5	18	59	0	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
5	f17r	HERBAL	78	8	19	59	1	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
6	f18r	HERBAL	84	5	21	63	1	1	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
7	f24v	HERBAL	86	3	14	72	6	3	3	3	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
8	f55v	HERBAL	106	5	17	89	2	1	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
9	f56r	HERBAL	105	3	26	79	6	2	2	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
10	f67r2	CELESTIAL	126	11	15	111	2	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
11	f68r1	CELESTIAL	31	3	8	23	3	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
12	f69v	CELESTIAL	0	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
13	f70v	CELESTIAL	0	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
14	f71v	CELESTIAL	78	5	24	54	2	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
15	f72r	CELESTIAL	288	22	105	183	3	1	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
16	f75r	BIOLOGICAL	408	111	172	236	5	3	2	2	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
17	f76r	BIOLOGICAL	560	118	187	373	11	7	6	4	7	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
18	f77r	BIOLOGICAL	321	82	141	180	6	3	3	3	3	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
19	f81r	BIOLOGICAL	210	48	114	96	5	4	4	3	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
20	f81v	BIOLOGICAL	253	54	102	151	3	1	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
21	f82r	BIOLOGICAL	278	62	101	177	4	2	2	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
22	f83r	BIOLOGICAL	341	91	139	202	6	4	3	3	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
23	f88r	PHARMA	134	5	41	93	4	1	0	0	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
24	f88v	PHARMA	131	13	30	101	4	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
25	f89r	PHARMA	338	20	74	264	4	1	1	1	1	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
26	f95v	HERBAL	178	30	56	122	4	2	1	1	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
27	f31r	HERBAL	103	19	25	78	3	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
28	f66r	SOURCE_SECTION_T	293	51	95	198	6	4	2	2	4	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
29	f20v	HERBAL	86	3	21	65	4	2	2	2	2	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
30	f4r	HERBAL	64	5	21	43	2	0	0	0	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED__NO_NEW_PAGE
