card_no	surfaces	semantic_component_parse	standard_command_de	occurrences	records	burden_class	classification_basis	rare_one_use_components	unknown_components	independent_card_meanings_to_memorize	teaching_rule
PROC001	dchey	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	1	H1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC002	cthoor	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	1	H1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC003	char|dar|sar	AR	VORRAT	5	H1|H2|B1|B2|B3	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC004	chety|chty	T+Y	EINTRAGEN · ARBEITSPOSTEN	2	H1|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC005	os	OS	ARBEITSFACH	1	H1	TRUE_LEARNED_WHOLE_CARD	ONE_USE_STANDALONE_COMPONENT	OS	NONE	1	memorize this whole card and its short value
PROC006	chair	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	1	H1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC007	otytchol	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	1	H1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · ARBEITSPOSTEN	10	H1|H5|B1|B2|B3|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	20	H1|H2|H3|H4|H5|B1|B2|B3|B4|B5|B6	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC010	etyd	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	1	H1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	3	H1|H5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC012	qotchol	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	H1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC013	cheol|chol|ol|qol|sol|tol	OL	FORTSETZEN	19	H1|H2|B1|B3|B4|B5|B6	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC014	checthy|cthy|shcthy	CTH+Y	BEREIT · ARBEITSPOSTEN	7	H1|H2|H3|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC015	ycheor	Y+CH+E+OR	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	1	H2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC016	chor|or|shor|sor	OR	ANSATZ	7	H2|H4|B3|B4	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC017	cthaiin	CTH+AIIN	BEREIT · SOLLMASS	1	H2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	1	H2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC019	chey|chy|dy|shy|sy|y	Y	ARBEITSPOSTEN	18	H2|H3|H4|B1|B2|B3|B4|B6	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
