event_id	record	page	surface	card_no	semantic_component_parse	standard_command_de	burden_class	teaching_rule
E001	H1	f10r	dchey	PROC001	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E002	H1	f10r	cthoor	PROC002	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E003	H1	f10r	char	PROC003	AR	VORRAT	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E004	H1	f10r	chty	PROC004	T+Y	EINTRAGEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E005	H1	f10r	os	PROC005	OS	ARBEITSFACH	TRUE_LEARNED_WHOLE_CARD	memorize this whole card and its short value
E006	H1	f10r	chair	PROC006	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E007	H1	f10r	otytchol	PROC007	OT+Y+T+CH+OL	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E008	H1	f10r	oky	PROC008	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E009	H1	f10r	daiin	PROC009	AIIN	SOLLMASS	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E010	H1	f10r	etyd	PROC010	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E011	H1	f10r	qokchy	PROC011	OK+Y	ANSETZEN · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E012	H1	f10r	qotchol	PROC012	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E013	H1	f10r	chol	PROC013	OL	FORTSETZEN	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E014	H1	f10r	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E015	H2	f10r	ycheor	PROC015	Y+CH+E+OR	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E016	H2	f10r	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
E017	H2	f10r	chor	PROC016	OR	ANSATZ	FULLY_COMPOSITIONAL_CARD	read the recurrent standalone component; renderer selects the visible allograph
E018	H2	f10r	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	compose the meaning from known components; learn the exact card body or wrapper
