semantic_word_no	canonical_component	spoken_workshop_word_de	card_type_frequency	semantic_word_burden	cards
W01	AIIN	SOLLMASS	10	RECURRENT_PRODUCTIVE_COMPONENT	PROC009|PROC017|PROC025|PROC029|PROC038|PROC044|PROC105|PROC112|PROC147|PROC152
W02	AIN	PORTION	8	RECURRENT_PRODUCTIVE_COMPONENT	PROC039|PROC050|PROC064|PROC069|PROC070|PROC080|PROC151|PROC156
W03	AIR	FLUESSIGKEITSLAUF	5	RECURRENT_PRODUCTIVE_COMPONENT	PROC006|PROC068|PROC138|PROC150|PROC162
W04	AL	ZIELSTELLE	22	RECURRENT_PRODUCTIVE_COMPONENT	PROC027|PROC048|PROC053|PROC055|PROC062|PROC073|PROC074|PROC081|PROC088|PROC104|PROC126|PROC127|PROC131|PROC134|PROC142|PROC144|PROC148|PROC153|PROC163|PROC168|PROC172|PROC173
W05	AR	VORRAT	10	RECURRENT_PRODUCTIVE_COMPONENT	PROC003|PROC045|PROC063|PROC089|PROC113|PROC121|PROC123|PROC137|PROC146|PROC165
W06	CFH	AUSWRINGEN	1	ONE_USE_EMBEDDED_CORE	PROC028
W07	CH	ABNEHMEN	15	RECURRENT_PRODUCTIVE_COMPONENT	PROC001|PROC006|PROC007|PROC012|PROC015|PROC020|PROC025|PROC032|PROC045|PROC051|PROC057|PROC061|PROC116|PROC124|PROC163
W08	CHD	UMSETZEN	22	RECURRENT_PRODUCTIVE_COMPONENT	PROC042|PROC076|PROC077|PROC079|PROC082|PROC088|PROC091|PROC094|PROC102|PROC120|PROC123|PROC125|PROC130|PROC133|PROC134|PROC136|PROC144|PROC145|PROC150|PROC151|PROC166|PROC168
W09	CHK	WAERMEN	4	RECURRENT_PRODUCTIVE_COMPONENT	PROC046|PROC083|PROC107|PROC132
W10	CKH	DURCHLASSKANAL	9	RECURRENT_PRODUCTIVE_COMPONENT	PROC057|PROC073|PROC075|PROC099|PROC101|PROC103|PROC110|PROC161|PROC163
W11	CTH	BEREIT	8	RECURRENT_PRODUCTIVE_COMPONENT	PROC002|PROC014|PROC017|PROC018|PROC106|PROC117|PROC136|PROC143
W12	DA	ZWEITMARKER	1	ONE_USE_EMBEDDED_CORE	PROC169
W13	DY	SCHLUSS	37	RECURRENT_PRODUCTIVE_COMPONENT	PROC032|PROC041|PROC047|PROC057|PROC067|PROC076|PROC077|PROC078|PROC079|PROC082|PROC086|PROC091|PROC094|PROC098|PROC099|PROC100|PROC103|PROC108|PROC111|PROC114|PROC119|PROC120|PROC125|PROC127|PROC128|PROC129|PROC130|PROC132|PROC135|PROC139|PROC141|PROC144|PROC145|PROC155|PROC159|PROC162|PROC166
W14	E	KURZ	34	RECURRENT_PRODUCTIVE_COMPONENT	PROC001|PROC010|PROC015|PROC045|PROC059|PROC061|PROC066|PROC067|PROC073|PROC083|PROC085|PROC086|PROC090|PROC093|PROC096|PROC099|PROC103|PROC106|PROC110|PROC111|PROC114|PROC117|PROC122|PROC124|PROC126|PROC135|PROC136|PROC141|PROC143|PROC152|PROC159|PROC161|PROC164|PROC171
W15	EE	LANG	17	RECURRENT_PRODUCTIVE_COMPONENT	PROC031|PROC046|PROC057|PROC074|PROC092|PROC098|PROC100|PROC107|PROC109|PROC118|PROC129|PROC132|PROC139|PROC146|PROC157|PROC158|PROC170
W16	EEE	VOLL	2	RECURRENT_PRODUCTIVE_COMPONENT	PROC119|PROC149
W17	HO	ZUTAT	5	RECURRENT_PRODUCTIVE_COMPONENT	PROC051|PROC052|PROC053|PROC056|PROC063
