surface	family	level	base_render_de	favored_axis_not_automatic	position_role	allowed_dispatches
sain	SCALAR	II	Skalarstufe II	OPEN	H2 entry or local scalar item	QUALITY|AMOUNT|PROCESS|OPEN
rain	SCALAR	II	Skalarstufe II mit Rückbezug	OPEN	H3 internal or closing reference	QUALITY|AMOUNT|PROCESS|OPEN
lain	SCALAR	II	interne Skalarstufe II	OPEN	H4 internal scalar field	QUALITY|AMOUNT|PROCESS|OPEN
lkaiin	SCALAR	III	Skalarstufe III	HOT	H4 internal or final field	QUALITY|AMOUNT|PROCESS_PASS|OPEN
skaiin	SCALAR	III	Skalarstufe III	HOT	learned H2 whole at licensed positions	QUALITY|AMOUNT|PROCESS_PASS|OPEN
lkain	SCALAR	II	Skalarstufe II	HOT	H4 internal or final field	QUALITY|AMOUNT|PROCESS_PASS|OPEN
lkar	SCALAR	I	Skalarstufe I	HOT_OR_PART	H4 internal or final field	QUALITY|AMOUNT|PROCESS_PASS|OPEN
pcheol	STATE	NA	Statusfeld	DRY	H1 entry or licensed internal whole	DRY|CARRIER|OPEN
lcheol	STATE	NA	Statusfeld	DRY	learned H4 whole at licensed positions	DRY|CARRIER|OPEN
lcheedy	STATE_RESULT	II	Zustands-/Resultatstufe II	DRY	H4 internal result field	DRY|PROCESS_RESULT|CARRIER|OPEN
lsheedy	STATE_RESULT	II	Zustands-/Resultatstufe II	MOIST	H4 internal result field	MOIST|PROCESS_RESULT|CARRIER|OPEN
rsheedy	STATE_RESULT	II	Zustands-/Resultatstufe II mit Rückbezug	MOIST	H3 internal reference field	MOIST|PROCESS_RESULT|CARRIER|OPEN
