passage_id	locus	focal_surfaces	selection_reason
G739-R01	f111v.31	lain|lkain	quality-host scalar and distant open scalar on one line
G739-R02	f46r.13	lain	broad material carrier immediately visible
G739-R03	f104v.20	lcheedy	strong local result override with rival qualities
G739-R04	f107v.12	lcheol	dry-favored card without local dry support
G739-R05	f78v.17	lcheol	local dry process support
G739-R06	f103r.9	lkaiin	old heat default lacks a local selecting host
G739-R07	f80r.52	lkaiin	amount and material context without automatic heat
G739-R08	f76r.44	lkaiin	material or fraction carrier and processing context
G739-R09	f76r.9	lkar|lkain	two scalar stages with weak or distant hosts
G739-R10	f86v3.20	lkar	local dry-composite context against automatic heat
G739-R11	f76r.52	lsheedy	endpoint best-fit without a clean moist host
G739-R12	f83r.7	lsheedy	thermal host but no clean moist host
G739-R13	f100r.12	pcheol	entry card without a clean immediate patient
G739-R14	f82v.11	pcheol	measure and heat context around a dry-favored entry
G739-R15	f116r.36	rain|lkain	direct quality-host scalar versus conflicted scalar
G739-R16	f77v.8	rsheedy	moist material carrier with endpoint best-fit
G739-R17	f82r.31	rsheedy	dry-dominated counterexample to automatic moist speech
G739-R18	f10v.1	sain	quality versus portion competition near a scalar entry
G739-R19	f58r.36	skaiin	local hot and preparation context
G739-R20	f111v.48	skaiin	open dimension counterexample
