statement_id	record	page	events	emitted_tokens	closed	primitive_signature	event_ids	surfaces	program_id	program_support	program_status
H1-S001	H1	f10r	10	10	NO	SOURCE_DRAW>ACTIVATE_CHARGE>SOURCE_DRAW>ACTIVATE_CHARGE>TARGET_HANDOFF>SOURCE_DRAW>SOURCE_DRAW>CONTINUE_USE>METER_CHECK>ACTIVATE_CHARGE	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	dchey|cthoor|char|chty|os|chair|otytchol|oky|daiin|etyd	PG062	1	UNIQUE
H1-S002	H1	f10r	4	4	NO	ACTIVATE_CHARGE>SOURCE_DRAW>CONTINUE_USE>HOLD_STATE	E011|E012|E013|E014	qokchy|qotchol|chol|cthy	PG024	1	UNIQUE
H2-S001	H2	f10r	9	9	NO	SOURCE_DRAW>HOLD_STATE>ACTIVATE_CHARGE>METER_CHECK>CONTINUE_USE>MOVE_PASS>CONTINUE_USE>METER_CHECK>TARGET_HANDOFF	E015|E016|E017|E018|E019|E020|E021|E022|E023	ycheor|cthy|chor|cthaiin|qoctholy|dy|chy|taiin|shy	PG063	1	UNIQUE
H2-S002	H2	f10r	8	8	NO	ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>SOURCE_DRAW	E024|E025|E026|E027|E028|E029|E030|E031	qotchor|chor|otol|chol|cholor|chol|daiin|dar	PG014	1	UNIQUE
H2-S003	H2	f10r	7	7	NO	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>SOURCE_DRAW	E032|E033|E034|E035|E036|E037|E038	oykchor|shor|chor|chy|kaiiin|dy|chodaiin	PG012	1	UNIQUE
H3-S001	H3	f11r	7	8	YES	HOLD_STATE>TARGET_HANDOFF>SOURCE_DRAW>METER_CHECK>MOVE_PASS>HOLD_STATE>SOURCE_DRAW>CLOSE	E039|E040|E041|E042|E043|E044|E045	tshol|schoal|cfhy|shfydaiin|cphy|shey|tchody	PG041	1	UNIQUE
H3-S002	H3	f11r	1	1	NO	HOLD_STATE	E046	shoyty	PG032	1	UNIQUE
H3-S003	H3	f11r	5	5	NO	CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK	E047|E048|E049|E050|E051	dchol|chy|kchy|dy|daiin	PG028	1	UNIQUE
H3-S004	H3	f11r	4	4	NO	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CONTINUE_USE	E052|E053|E054|E055	qotchy|okchol|cthy|dy	PG015	1	UNIQUE
H4-S001	H4	f55v	5	6	YES	METER_CHECK>METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	E056|E057|E058|E059|E060	qokaiin|chaiin|ykain|ykan|ody	PG046	1	UNIQUE
H4-S002	H4	f55v	3	3	NO	METER_CHECK>ACTIVATE_CHARGE>CONTINUE_USE	E061|E062|E063	daiin|chedy|talam	PG042	1	UNIQUE
H4-S003	H4	f55v	4	5	YES	METER_CHECK>SOURCE_DRAW>ACTIVATE_CHARGE>CONTINUE_USE>CLOSE	E064|E065|E066|E067	ykaiin|cheoar|cheeky|oldy	PG049	1	UNIQUE
H4-S004	H4	f55v	6	6	NO	METER_CHECK>TARGET_HANDOFF>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>ACTIVATE_CHARGE	E068|E069|E070|E071|E072|E073	aiin|okal|oltchy|or|y|orain	PG051	1	UNIQUE
H5-S001	H5	f56r	9	9	NO	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF>METER_CHECK>ACTIVATE_CHARGE>MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE>TARGET_HANDOFF	E074|E075|E076|E077|E078|E079|E080|E081|E082	chochor|cho|chodaly|daiin|sho|kchol|otchor|choky|dal	PG018	1	UNIQUE
