program_id	support	registers	records	primitive_signature	statements	status
PG001	21	BIOLOGICAL	4	HOLD_STATE>CLOSE	B1-S001|B1-S009|B1-S010|B1-S013|B1-S019|B2-S007|B2-S009|B2-S018|B2-S019|B2-S020|B2-S021|B3-S001|B3-S017|B3-S018|B3-S019|B3-S027|B3-S031|B4-S001|B4-S006|B4-S007|B4-S009	RECURRENT_PROGRAM
PG002	14	BIOLOGICAL	5	MOVE_PASS>CLOSE	B1-S005|B2-S001|B2-S002|B2-S013|B2-S022|B3-S005|B3-S008|B3-S015|B3-S022|B3-S023|B3-S024|B3-S033|B4-S012|B5-S001	RECURRENT_PROGRAM
PG003	4	BIOLOGICAL	4	ACTIVATE_CHARGE>CLOSE	B1-S007|B3-S025|B4-S004|B5-S002	RECURRENT_PROGRAM
PG004	3	BIOLOGICAL	3	CONTINUE_USE>HOLD_STATE>HOLD_STATE>CLOSE	B1-S012|B3-S029|B4-S002	RECURRENT_PROGRAM
PG005	3	BIOLOGICAL	3	HOLD_STATE>HOLD_STATE>CLOSE	B1-S020|B2-S015|B3-S028	RECURRENT_PROGRAM
PG006	2	BIOLOGICAL	2	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	B2-S003|B4-S005	RECURRENT_PROGRAM
PG007	2	BIOLOGICAL	2	ACTIVATE_CHARGE>HOLD_STATE>CLOSE	B3-S012|B4-S013	RECURRENT_PROGRAM
PG008	2	BIOLOGICAL	2	METER_CHECK>ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	B3-S013|B4-S008	RECURRENT_PROGRAM
PG009	2	BIOLOGICAL	1	TARGET_HANDOFF>HOLD_STATE>CLOSE	B3-S002|B3-S010	RECURRENT_PROGRAM
PG010	1	BIOLOGICAL	1	ACTIVATE_CHARGE	B3-S009	UNIQUE_PROGRAM
PG011	1	HERBAL	1	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE	H5-S005	UNIQUE_PROGRAM
PG012	1	HERBAL	1	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>CONTINUE_USE>SOURCE_DRAW	H2-S003	UNIQUE_PROGRAM
PG013	1	BIOLOGICAL	1	ACTIVATE_CHARGE>ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CLOSE	B2-S011	UNIQUE_PROGRAM
PG014	1	HERBAL	1	ACTIVATE_CHARGE>ACTIVATE_CHARGE>CONTINUE_USE>CONTINUE_USE>ACTIVATE_CHARGE>CONTINUE_USE>METER_CHECK>SOURCE_DRAW	H2-S002	UNIQUE_PROGRAM
PG015	1	HERBAL	1	ACTIVATE_CHARGE>ACTIVATE_CHARGE>HOLD_STATE>CONTINUE_USE	H3-S004	UNIQUE_PROGRAM
PG016	1	BIOLOGICAL	1	ACTIVATE_CHARGE>ACTIVATE_CHARGE>METER_CHECK>METER_CHECK>HOLD_STATE>CLOSE	B3-S032	UNIQUE_PROGRAM
PG017	1	HERBAL	1	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF	H5-S004	UNIQUE_PROGRAM
PG018	1	HERBAL	1	ACTIVATE_CHARGE>ACTIVATE_CHARGE>TARGET_HANDOFF>METER_CHECK>ACTIVATE_CHARGE>MOVE_PASS>ACTIVATE_CHARGE>CONTINUE_USE>TARGET_HANDOFF	H5-S001	UNIQUE_PROGRAM
