event_id	statement_id	record	page	locus	surface	component_parse	state_transition	action_phase	closes_step	procedure_primitive	classification_reason	reading_de	operation_primitive	emitted_procedure_tokens	emitted_token_count
E001	H1-S001	H1	f10r	f10r.2	dchey	CH+E+Y	FRACTION_CREATED	COLLECT	NO	SOURCE_DRAW	PASS500_OVERRIDE	Pflanzenmaterial kurz abziehen	SOURCE_DRAW	SOURCE_DRAW	1
E002	H1-S001	H1	f10r	f10r.2	cthoor	CTH+O+OR	BATCH_ACTIVATED	CHECK	NO	ACTIVATE_CHARGE	PASS500_OVERRIDE	Ansatz bereit	ACTIVATE_CHARGE	ACTIVATE_CHARGE	1
E003	H1-S001	H1	f10r	f10r.2	char	AR	ACTIVE_CARRIED	MOVE	NO	SOURCE_DRAW	PASS500_OVERRIDE	aus dem laufenden Pflanzenansatz	SOURCE_DRAW	SOURCE_DRAW	1
E004	H1-S001	H1	f10r	f10r.2	chty	T+Y	ACTIVE_CARRIED	MOVE	NO	ACTIVATE_CHARGE	PASS500_OVERRIDE	den laufenden Pflanzenansatz füllen	ACTIVATE_CHARGE	ACTIVATE_CHARGE	1
E005	H1-S001	H1	f10r	f10r.2	os	OS	TARGET_ONLY	CHECK	NO	TARGET_HANDOFF	PASS500_OVERRIDE	ARBEITSFACH	TARGET_HANDOFF	TARGET_HANDOFF	1
E006	H1-S001	H1	f10r	f10r.2	chair	CH+AIR	FLOW_ACTIVATED	COLLECT	NO	SOURCE_DRAW	PASS500_OVERRIDE	Flüssigkeit aus dem Lauf entnehmen	SOURCE_DRAW	SOURCE_DRAW	1
E007	H1-S001	H1	f10r	f10r.2	otytchol	OT+Y+T+CH+OL	FRACTION_CREATED	COLLECT	NO	SOURCE_DRAW	PASS500_OVERRIDE	danach Arbeitsflüssigkeit füllen und weiter abziehen	SOURCE_DRAW	SOURCE_DRAW	1
E008	H1-S001	H1	f10r	f10r.2	oky	OK+Y	ACTIVE_CARRIED	APPLY	NO	CONTINUE_USE	PASS500_OVERRIDE	verwende abgezogene Flüssigkeitsfraktion	CONTINUE_USE	CONTINUE_USE	1
E009	H1-S001	H1	f10r	f10r.2	daiin	AIIN	ACTIVE_CARRIED	MEASURE	NO	METER_CHECK	PASS500_OVERRIDE	Sollmaß	METER_CHECK	METER_CHECK	1
E010	H1-S001	H1	f10r	f10r.2	etyd	E+T+Y	ACTIVE_CARRIED	HOLD	NO	ACTIVATE_CHARGE	PASS500_OVERRIDE	abgezogene Flüssigkeitsfraktion kurz füllen	ACTIVATE_CHARGE	ACTIVATE_CHARGE	1
E011	H1-S002	H1	f10r	f10r.5	qokchy	OK+Y	ACTIVE_CARRIED	SELECT	NO	ACTIVATE_CHARGE	ACTIVATION_ROOT	abgezogene Flüssigkeitsfraktion ansetzen	ACTIVATE_CHARGE	ACTIVATE_CHARGE	1
E012	H1-S002	H1	f10r	f10r.5	qotchol	OT+CH+OL	FRACTION_CREATED	COLLECT	NO	SOURCE_DRAW	FRACTION_CREATED	danach weiter abziehen	SOURCE_DRAW	SOURCE_DRAW	1
E013	H1-S002	H1	f10r	f10r.5	chol	OL	ACTIVE_CARRIED	PREPARE	NO	CONTINUE_USE	REFERENCE_OR_CONTINUATION	fortsetzen	CONTINUE_USE	CONTINUE_USE	1
