token_ordinal_global	line_ordinal	page	locus	token_index	eva	statement_ordinal	statement_id	gdt589_surface_match	route	transfer_class	working_meaning_de	contextual_render_de	composition	semantic_features	contextual_semantic_features	confidence	v48_source	v48_scope_state	v48_priority	occurrence_override	join_direction	join_surface	value_attachment
1	1	f1r	f1r.1	1	fachys	1	G407-S001	1	LOCAL_WHOLE_HYPOTHESIS	W	getrocknete Blüten- oder Arzneispecies, abgeschlossen	getrocknete Blüten- oder Arzneispecies, abgeschlossen	LEARNED_FACHYS_WHOLE	MATERIAL+STATE	MATERIAL+STATE	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
2	1	f1r	f1r.1	2	ykal	1	G407-S001	1	EXACT_V48	E	Eintrag: heißer Rohstoff, Klasse I	Eintrag: heißer Rohstoff, Klasse I	EXACT_V48_CARD	FORM+MATERIAL+STATE	FORM+MATERIAL+STATE	MEDIUM_EXACT_WHOLE	GDT663:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
3	1	f1r	f1r.1	3	ar	1	G407-S001	1	EXACT_V48	E	Drogenfraktion I	Drogenfraktion I	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_AR_OR_CONSOLIDATION	GDT654:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	150	0	NONE	NONE	0
4	1	f1r	f1r.1	4	ataiin	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	gleicher Teil auf Kältestufe III	gleicher Teil auf Kältestufe III	A_PART_OR_LINK+T_COLD+AIIN_III	QUANTITY	QUANTITY	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
5	1	f1r	f1r.1	5	shol	1	G407-S001	1	EXACT_V48	E	feucht; nominal feuchtes Gut/Material	feucht; nominal feuchtes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:MOIST_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
6	1	f1r	f1r.1	6	shory	1	G407-S001	1	ROLE_COMPOSED_TRANSFER	P	Blüten- oder Fruchtstand in Grundform, abgeschlossen	Blüten- oder Fruchtstand in Grundform, abgeschlossen	KNOWN_SHOR+Y_START_OR_CLOSE	STATE	STATE	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
7	1	f1r	f1r.1	7	cthres	1	G407-S001	1	LOCAL_WHOLE_HYPOTHESIS	W	Kraut- oder Wurzelspecies der Mittelstufe	Kraut- oder Wurzelspecies der Mittelstufe	LEARNED_CTHRES_WHOLE	STAGE+MATERIAL	STAGE+MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
8	1	f1r	f1r.1	8	y	1	G407-S001	1	OCCURRENCE_SCOPED_TRANSFER	O	hierzu	hierzu	FREE_Y_OCCURRENCE	REFERENCE	REFERENCE	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	1	NONE	NONE	0
9	1	f1r	f1r.1	9	kor	1	G407-S001	1	EXACT_V48	E	heiße Drogenportion	heiße Drogenportion	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	EXACT_WHOLE_AR_OR_CONSOLIDATION	GDT654:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	150	0	NONE	NONE	0
10	1	f1r	f1r.1	10	sholdy	1	G407-S001	1	EXACT_V48	E	vollständig eingeweichte Droge	vollständig eingeweichte Droge	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT663:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
