card_id	surface	count	class	composition	working_meaning_de	confidence	scope	semantic_features
GDT672-F1R-001	fachys	1	W	LEARNED_FACHYS_WHOLE	getrocknete Blüten- oder Arzneispecies, abgeschlossen	LOW	F1R_EXACT_SURFACE_ONLY	MATERIAL+STATE
GDT672-F1R-002	ataiin	1	P	A_PART_OR_LINK+T_COLD+AIIN_III	gleicher Teil auf Kältestufe III	MEDIUM	F1R_CURATED_ROLE_COMPOSITION	QUANTITY
GDT672-F1R-003	shory	1	P	KNOWN_SHOR+Y_START_OR_CLOSE	Blüten- oder Fruchtstand in Grundform, abgeschlossen	MEDIUM	F1R_CURATED_ROLE_COMPOSITION	STATE
GDT672-F1R-004	cthres	1	W	LEARNED_CTHRES_WHOLE	Kraut- oder Wurzelspecies der Mittelstufe	LOW	F1R_EXACT_SURFACE_ONLY	STAGE+MATERIAL
GDT672-F1R-005	y	3	O	FREE_Y_OCCURRENCE	hierzu oder linker Abschluss, je Lesergrenze	MEDIUM	F1R_EXACT_SURFACE_ONLY	REFERENCE
GDT672-F1R-006	sory	1	P	KNOWN_SOR+Y_START_OR_CLOSE	Samenportion, abgeschlossen	MEDIUM	F1R_CURATED_ROLE_COMPOSITION	MATERIAL+STATE
GDT672-F1R-007	ckhar	1	P	CKH_COMPOSITE+AR_FRACTION_I	erste Kompositumfraktion	HIGH	F1R_CURATED_ROLE_COMPOSITION	MATERIAL
GDT672-F1R-008	chtaiin	1	P	CH_DRY+T_COLD+AIIN_III	getrocknete Droge auf Kältestufe III	HIGH	F1R_CURATED_ROLE_COMPOSITION	MATERIAL
GDT672-F1R-009	ase	1	W	KNOWN_AS+E_MIDDLE	gleicher Anteil einer Arzneispecies auf Mittelstufe	LOW	F1R_EXACT_SURFACE_ONLY	QUANTITY+STAGE+MATERIAL
GDT672-F1R-010	syaiir	1	W	LEARNED_SYAIIR_WHOLE	Saatgutfraktion III, abgeschlossen	LOW	F1R_EXACT_SURFACE_ONLY	MATERIAL+STATE
GDT672-F1R-011	shod	1	P	SH_MOIST+O_PREP+D_TERM_CLOSE	Feuchtansatz abschließen	HIGH	F1R_CURATED_ROLE_COMPOSITION	ACTION+MATERIAL+STATE
GDT672-F1R-012	cthoary	1	P	CTH_HERB+O_PREP+AR_FRACTION_I+Y_START_OR_CLOSE	erste Krautansatzfraktion abteilen und abschließen	HIGH	F1R_CURATED_ROLE_COMPOSITION	ACTION+MATERIAL
GDT672-F1R-013	cthes	1	P	CTH_HERB+E_MIDDLE+S_TERM_SPECIES	Kraut- oder Blattspecies der Mittelstufe	MEDIUM	F1R_CURATED_ROLE_COMPOSITION	STAGE+MATERIAL
GDT672-F1R-014	daraiin	1	P	D_MEASURE+AR_FRACTION_I+AIIN_III	drei Teile der ersten Fraktion abmessen	HIGH	F1R_CURATED_ROLE_COMPOSITION	ACTION+QUANTITY
GDT672-F1R-015	roloty	1	P	R_ROOT+OL_MATERIAL+O_PREP+T_COLD+Y_START_OR_CLOSE	Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen	MEDIUM	F1R_CURATED_ROLE_COMPOSITION	ACTION+MATERIAL
GDT672-F1R-016	cthiar	1	W	LEARNED_READER_ALIAS_CTHAR	erste Kraut- oder Blattfraktion	LOW	F1R_EXACT_SURFACE_ONLY	MATERIAL
GDT672-F1R-017	cphar	1	P	CPH_COMPOSITE+AR_FRACTION_I	erste Kompositumfraktion	HIGH	F1R_CURATED_ROLE_COMPOSITION	MATERIAL
GDT672-F1R-018	cfhaiin	1	W	LEARNED_FLOWER_WHOLE	Blütendroge, Menge III	LOW	F1R_EXACT_SURFACE_ONLY	QUANTITY+MATERIAL
GDT672-F1R-019	ydaraishy	1	W	LEARNED_YDARAISHY_WHOLE	hiervon die erste Fraktion abmessen, leicht einweichen und abschließen	LOW	F1R_EXACT_SURFACE_ONLY	ACTION+QUANTITY+REFERENCE
GDT672-F1R-020	odar	1	P	O_PREP+D_MEASURE+AR_FRACTION_I	erste Ansatzfraktion abmessen	HIGH	F1R_CURATED_ROLE_COMPOSITION	ACTION+MATERIAL
GDT672-F1R-021	cphoy	1	P	CPH_COMPOSITE+O_PREP+Y_START_OR_CLOSE	Kompositum ansetzen und leicht abschließen	MEDIUM	F1R_CURATED_ROLE_COMPOSITION	ACTION+MATERIAL
GDT672-F1R-022	oydar	1	P	OY_PREP_BASE+D_MEASURE+AR_FRACTION_I	erste Fraktion des Grundansatzes abmessen	HIGH	F1R_CURATED_ROLE_COMPOSITION	ACTION+QUANTITY+MATERIAL
GDT672-F1R-023	s	1	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	F1R_EXACT_SURFACE_ONLY	MATERIAL
GDT672-F1R-024	cfhoaiin	1	W	LEARNED_FLOWER_WHOLE	Blütenansatz, Menge III	LOW	F1R_EXACT_SURFACE_ONLY	QUANTITY+MATERIAL
GDT672-F1R-025	shodary	1	P	SH_MOIST+O_PREP+D_MEASURE+AR_FRACTION_I+Y_START_OR_CLOSE	erste Feuchtansatzfraktion abmessen und abschließen	HIGH	F1R_CURATED_ROLE_COMPOSITION	ACTION+MATERIAL+STATE
GDT672-F1R-026	okchoy	1	P	O_PREP+K_HOT+CH_DRY+O_PREP+Y_START_OR_CLOSE	heißen Ansatz trocknen, erneut ansetzen und abschließen	HIGH	F1R_CURATED_ROLE_COMPOSITION	ACTION+MATERIAL+STATE
