token_ordinal_global	locus	token_index	eva	route	component_ordinal	char_start	char_end	surface_segment	component_role	productive
1	f1r.1	1	fachys	LOCAL_WHOLE_HYPOTHESIS	1	0	6	fachys	LEARNED_FACHYS_WHOLE	0
2	f1r.1	2	ykal	EXACT_V48	1	0	4	ykal	EXACT_V48_CARD	0
3	f1r.1	3	ar	EXACT_V48	1	0	2	ar	EXACT_V48_CARD	0
4	f1r.1	4	ataiin	ROLE_COMPOSED_TRANSFER	1	0	1	a	A_PART_OR_LINK	1
4	f1r.1	4	ataiin	ROLE_COMPOSED_TRANSFER	2	1	2	t	T_COLD	1
4	f1r.1	4	ataiin	ROLE_COMPOSED_TRANSFER	3	2	6	aiin	AIIN_III	1
5	f1r.1	5	shol	EXACT_V48	1	0	4	shol	EXACT_V48_CARD	0
6	f1r.1	6	shory	ROLE_COMPOSED_TRANSFER	1	0	4	shor	KNOWN_SHOR	1
6	f1r.1	6	shory	ROLE_COMPOSED_TRANSFER	2	4	5	y	Y_START_OR_CLOSE	1
7	f1r.1	7	cthres	LOCAL_WHOLE_HYPOTHESIS	1	0	6	cthres	LEARNED_CTHRES_WHOLE	0
8	f1r.1	8	y	OCCURRENCE_SCOPED_TRANSFER	1	0	1	y	FREE_Y_OCCURRENCE	0
9	f1r.1	9	kor	EXACT_V48	1	0	3	kor	EXACT_V48_CARD	0
10	f1r.1	10	sholdy	EXACT_V48	1	0	6	sholdy	EXACT_V48_CARD	0
11	f1r.2	1	sory	ROLE_COMPOSED_TRANSFER	1	0	3	sor	KNOWN_SOR	1
11	f1r.2	1	sory	ROLE_COMPOSED_TRANSFER	2	3	4	y	Y_START_OR_CLOSE	1
12	f1r.2	2	ckhar	ROLE_COMPOSED_TRANSFER	1	0	3	ckh	CKH_COMPOSITE	1
12	f1r.2	2	ckhar	ROLE_COMPOSED_TRANSFER	2	3	5	ar	AR_FRACTION_I	1
13	f1r.2	3	or	EXACT_V48	1	0	2	or	EXACT_V48_CARD	0
14	f1r.2	4	y	OCCURRENCE_SCOPED_TRANSFER	1	0	1	y	FREE_Y_OCCURRENCE	0
15	f1r.2	5	kair	EXACT_V48	1	0	4	kair	EXACT_V48_CARD	0
16	f1r.2	6	chtaiin	ROLE_COMPOSED_TRANSFER	1	0	2	ch	CH_DRY	1
16	f1r.2	6	chtaiin	ROLE_COMPOSED_TRANSFER	2	2	3	t	T_COLD	1
16	f1r.2	6	chtaiin	ROLE_COMPOSED_TRANSFER	3	3	7	aiin	AIIN_III	1
17	f1r.2	7	shar	EXACT_V48	1	0	4	shar	EXACT_V48_CARD	0
18	f1r.2	8	ase	LOCAL_WHOLE_HYPOTHESIS	1	0	3	ase	KNOWN_AS+E_MIDDLE	0
19	f1r.2	9	cthar	EXACT_V48	1	0	5	cthar	EXACT_V48_CARD	0
20	f1r.2	10	cthar	EXACT_V48	1	0	5	cthar	EXACT_V48_CARD	0
21	f1r.2	11	dan	EXACT_V48	1	0	3	dan	EXACT_V48_CARD	0
22	f1r.3	1	syaiir	LOCAL_WHOLE_HYPOTHESIS	1	0	6	syaiir	LEARNED_SYAIIR_WHOLE	0
23	f1r.3	2	sheky	EXACT_V48	1	0	5	sheky	EXACT_V48_CARD	0
24	f1r.3	3	or	EXACT_V48	1	0	2	or	EXACT_V48_CARD	0
25	f1r.3	4	ykaiin	EXACT_V48	1	0	6	ykaiin	EXACT_V48_CARD	0
26	f1r.3	5	shod	ROLE_COMPOSED_TRANSFER	1	0	2	sh	SH_MOIST	1
26	f1r.3	5	shod	ROLE_COMPOSED_TRANSFER	2	2	3	o	O_PREP	1
26	f1r.3	5	shod	ROLE_COMPOSED_TRANSFER	3	3	4	d	D_TERM_CLOSE	1
27	f1r.3	6	cthoary	ROLE_COMPOSED_TRANSFER	1	0	3	cth	CTH_HERB	1
27	f1r.3	6	cthoary	ROLE_COMPOSED_TRANSFER	2	3	4	o	O_PREP	1
27	f1r.3	6	cthoary	ROLE_COMPOSED_TRANSFER	3	4	6	ar	AR_FRACTION_I	1
27	f1r.3	6	cthoary	ROLE_COMPOSED_TRANSFER	4	6	7	y	Y_START_OR_CLOSE	1
28	f1r.3	7	cthes	ROLE_COMPOSED_TRANSFER	1	0	3	cth	CTH_HERB	1
28	f1r.3	7	cthes	ROLE_COMPOSED_TRANSFER	2	3	4	e	E_MIDDLE	1
28	f1r.3	7	cthes	ROLE_COMPOSED_TRANSFER	3	4	5	s	S_TERM_SPECIES	1
29	f1r.3	8	daraiin	ROLE_COMPOSED_TRANSFER	1	0	1	d	D_MEASURE	1
29	f1r.3	8	daraiin	ROLE_COMPOSED_TRANSFER	2	1	3	ar	AR_FRACTION_I	1
29	f1r.3	8	daraiin	ROLE_COMPOSED_TRANSFER	3	3	7	aiin	AIIN_III	1
30	f1r.3	9	sy	EXACT_V48	1	0	2	sy	EXACT_V48_CARD	0
31	f1r.4	1	soiin	EXACT_V48	1	0	5	soiin	EXACT_V48_CARD	0
32	f1r.4	2	oteey	EXACT_V48	1	0	5	oteey	EXACT_V48_CARD	0
33	f1r.4	3	oteos	EXACT_V48	1	0	5	oteos	EXACT_V48_CARD	0
34	f1r.4	4	roloty	ROLE_COMPOSED_TRANSFER	1	0	1	r	R_ROOT	1
34	f1r.4	4	roloty	ROLE_COMPOSED_TRANSFER	2	1	3	ol	OL_MATERIAL	1
34	f1r.4	4	roloty	ROLE_COMPOSED_TRANSFER	3	3	4	o	O_PREP	1
34	f1r.4	4	roloty	ROLE_COMPOSED_TRANSFER	4	4	5	t	T_COLD	1
34	f1r.4	4	roloty	ROLE_COMPOSED_TRANSFER	5	5	6	y	Y_START_OR_CLOSE	1
35	f1r.4	5	cthiar	LOCAL_WHOLE_HYPOTHESIS	1	0	6	cthiar	LEARNED_READER_ALIAS_CTHAR	0
36	f1r.4	6	daiin	EXACT_V48	1	0	5	daiin	EXACT_V48_CARD	0
37	f1r.4	7	okaiin	EXACT_V48	1	0	6	okaiin	EXACT_V48_CARD	0
38	f1r.4	8	or	EXACT_V48	1	0	2	or	EXACT_V48_CARD	0
39	f1r.4	9	okan	EXACT_V48	1	0	4	okan	EXACT_V48_CARD	0
40	f1r.5	1	sair	EXACT_V48	1	0	4	sair	EXACT_V48_CARD	0
41	f1r.5	2	y	OCCURRENCE_SCOPED_TRANSFER	1	0	1	y	FREE_Y_OCCURRENCE	0
42	f1r.5	3	chear	EXACT_V48	1	0	5	chear	EXACT_V48_CARD	0
43	f1r.5	4	cthaiin	EXACT_V48	1	0	7	cthaiin	EXACT_V48_CARD	0
44	f1r.5	5	cphar	ROLE_COMPOSED_TRANSFER	1	0	3	cph	CPH_COMPOSITE	1
44	f1r.5	5	cphar	ROLE_COMPOSED_TRANSFER	2	3	5	ar	AR_FRACTION_I	1
45	f1r.5	6	cfhaiin	LOCAL_WHOLE_HYPOTHESIS	1	0	7	cfhaiin	LEARNED_FLOWER_WHOLE	0
46	f1r.6	1	ydaraishy	LOCAL_WHOLE_HYPOTHESIS	1	0	9	ydaraishy	LEARNED_YDARAISHY_WHOLE	0
47	f1r.7	1	odar	ROLE_COMPOSED_TRANSFER	1	0	1	o	O_PREP	1
47	f1r.7	1	odar	ROLE_COMPOSED_TRANSFER	2	1	2	d	D_MEASURE	1
47	f1r.7	1	odar	ROLE_COMPOSED_TRANSFER	3	2	4	ar	AR_FRACTION_I	1
48	f1r.7	2	shol	EXACT_V48	1	0	4	shol	EXACT_V48_CARD	0
49	f1r.7	3	cphoy	ROLE_COMPOSED_TRANSFER	1	0	3	cph	CPH_COMPOSITE	1
49	f1r.7	3	cphoy	ROLE_COMPOSED_TRANSFER	2	3	4	o	O_PREP	1
49	f1r.7	3	cphoy	ROLE_COMPOSED_TRANSFER	3	4	5	y	Y_START_OR_CLOSE	1
50	f1r.7	4	oydar	ROLE_COMPOSED_TRANSFER	1	0	2	oy	OY_PREP_BASE	1
50	f1r.7	4	oydar	ROLE_COMPOSED_TRANSFER	2	2	3	d	D_MEASURE	1
50	f1r.7	4	oydar	ROLE_COMPOSED_TRANSFER	3	3	5	ar	AR_FRACTION_I	1
51	f1r.7	5	sh	EXACT_V48	1	0	2	sh	EXACT_V48_CARD	0
52	f1r.7	6	s	OCCURRENCE_SCOPED_TRANSFER	1	0	1	s	FREE_S_OCCURRENCE	0
53	f1r.7	7	cfhoaiin	LOCAL_WHOLE_HYPOTHESIS	1	0	8	cfhoaiin	LEARNED_FLOWER_WHOLE	0
54	f1r.7	8	shodary	ROLE_COMPOSED_TRANSFER	1	0	2	sh	SH_MOIST	1
54	f1r.7	8	shodary	ROLE_COMPOSED_TRANSFER	2	2	3	o	O_PREP	1
54	f1r.7	8	shodary	ROLE_COMPOSED_TRANSFER	3	3	4	d	D_MEASURE	1
54	f1r.7	8	shodary	ROLE_COMPOSED_TRANSFER	4	4	6	ar	AR_FRACTION_I	1
54	f1r.7	8	shodary	ROLE_COMPOSED_TRANSFER	5	6	7	y	Y_START_OR_CLOSE	1
55	f1r.8	1	yshey	EXACT_V48	1	0	5	yshey	EXACT_V48_CARD	0
56	f1r.8	2	shody	EXACT_V48	1	0	5	shody	EXACT_V48_CARD	0
57	f1r.8	3	okchoy	ROLE_COMPOSED_TRANSFER	1	0	1	o	O_PREP	1
57	f1r.8	3	okchoy	ROLE_COMPOSED_TRANSFER	2	1	2	k	K_HOT	1
57	f1r.8	3	okchoy	ROLE_COMPOSED_TRANSFER	3	2	4	ch	CH_DRY	1
57	f1r.8	3	okchoy	ROLE_COMPOSED_TRANSFER	4	4	5	o	O_PREP	1
57	f1r.8	3	okchoy	ROLE_COMPOSED_TRANSFER	5	5	6	y	Y_START_OR_CLOSE	1
58	f1r.8	4	otchol	EXACT_V48	1	0	6	otchol	EXACT_V48_CARD	0
59	f1r.8	5	chocthy	EXACT_V48	1	0	7	chocthy	EXACT_V48_CARD	0
60	f1r.8	6	os	ROLE_COMPOSED_TRANSFER	1	0	1	o	O_PREP	1
60	f1r.8	6	os	ROLE_COMPOSED_TRANSFER	2	1	2	s	S_TERM_SPECIES	1
61	f1r.8	7	chy	EXACT_V48	1	0	3	chy	EXACT_V48_CARD	0
62	f1r.8	8	dain	EXACT_V48	1	0	4	dain	EXACT_V48_CARD	0
63	f1r.8	9	chor	EXACT_V48	1	0	4	chor	EXACT_V48_CARD	0
64	f1r.8	10	kos	ROLE_COMPOSED_TRANSFER	1	0	1	k	K_HOT	1
64	f1r.8	10	kos	ROLE_COMPOSED_TRANSFER	2	1	2	o	O_PREP	1
64	f1r.8	10	kos	ROLE_COMPOSED_TRANSFER	3	2	3	s	S_TERM_SPECIES	1
65	f1r.9	1	daiin	EXACT_V48	1	0	5	daiin	EXACT_V48_CARD	0
66	f1r.9	2	shos	ROLE_COMPOSED_TRANSFER	1	0	2	sh	SH_MOIST	1
66	f1r.9	2	shos	ROLE_COMPOSED_TRANSFER	2	2	3	o	O_PREP	1
66	f1r.9	2	shos	ROLE_COMPOSED_TRANSFER	3	3	4	s	S_TERM_SPECIES	1
67	f1r.9	3	cfhol	LOCAL_WHOLE_HYPOTHESIS	1	0	5	cfhol	LEARNED_FLOWER_WHOLE	0
68	f1r.9	4	shody	EXACT_V48	1	0	5	shody	EXACT_V48_CARD	0
69	f1r.10	1	dain	EXACT_V48	1	0	4	dain	EXACT_V48_CARD	0
70	f1r.10	2	os	ROLE_COMPOSED_TRANSFER	1	0	1	o	O_PREP	1
70	f1r.10	2	os	ROLE_COMPOSED_TRANSFER	2	1	2	s	S_TERM_SPECIES	1
71	f1r.10	3	teody	EXACT_V48	1	0	5	teody	EXACT_V48_CARD	0
72	f1r.11	1	ydain	EXACT_V48	1	0	5	ydain	EXACT_V48_CARD	0
73	f1r.11	2	cphesaiin	ROLE_COMPOSED_TRANSFER	1	0	3	cph	CPH_COMPOSITE	1
73	f1r.11	2	cphesaiin	ROLE_COMPOSED_TRANSFER	2	3	4	e	E_MIDDLE	1
73	f1r.11	2	cphesaiin	ROLE_COMPOSED_TRANSFER	3	4	5	s	S_SEED	1
73	f1r.11	2	cphesaiin	ROLE_COMPOSED_TRANSFER	4	5	9	aiin	AIIN_III	1
74	f1r.11	3	ols	EXACT_V48	1	0	3	ols	EXACT_V48_CARD	0
75	f1r.11	4	cphey	ROLE_COMPOSED_TRANSFER	1	0	3	cph	CPH_COMPOSITE	1
75	f1r.11	4	cphey	ROLE_COMPOSED_TRANSFER	2	3	4	e	E_MIDDLE	1
75	f1r.11	4	cphey	ROLE_COMPOSED_TRANSFER	3	4	5	y	Y_START_OR_CLOSE	1
76	f1r.11	5	ytain	ROLE_COMPOSED_TRANSFER	1	0	1	y	Y_REFERENCE	1
76	f1r.11	5	ytain	ROLE_COMPOSED_TRANSFER	2	1	2	t	T_COLD	1
76	f1r.11	5	ytain	ROLE_COMPOSED_TRANSFER	3	2	5	ain	AIN_II	1
77	f1r.11	6	shoshy	ROLE_COMPOSED_TRANSFER	1	0	2	sh	SH_MOIST	1
77	f1r.11	6	shoshy	ROLE_COMPOSED_TRANSFER	2	2	3	o	O_PREP	1
77	f1r.11	6	shoshy	ROLE_COMPOSED_TRANSFER	3	3	5	sh	SH_MOIST	1
77	f1r.11	6	shoshy	ROLE_COMPOSED_TRANSFER	4	5	6	y	Y_START_OR_CLOSE	1
78	f1r.11	7	cphodal	ROLE_COMPOSED_TRANSFER	1	0	3	cph	CPH_COMPOSITE	1
78	f1r.11	7	cphodal	ROLE_COMPOSED_TRANSFER	2	3	4	o	O_PREP	1
78	f1r.11	7	cphodal	ROLE_COMPOSED_TRANSFER	3	4	5	d	D_MEASURE	1
78	f1r.11	7	cphodal	ROLE_COMPOSED_TRANSFER	4	5	7	al	AL_RAW_I	1
79	f1r.11	8	es	LOCAL_WHOLE_HYPOTHESIS	1	0	2	es	LEARNED_ES_WHOLE	0
80	f1r.12	1	oksho	ROLE_COMPOSED_TRANSFER	1	0	1	o	O_PREP	1
80	f1r.12	1	oksho	ROLE_COMPOSED_TRANSFER	2	1	2	k	K_HOT	1
80	f1r.12	1	oksho	ROLE_COMPOSED_TRANSFER	3	2	4	sh	SH_MOIST	1
80	f1r.12	1	oksho	ROLE_COMPOSED_TRANSFER	4	4	5	o	O_PREP	1
81	f1r.12	2	kshoy	ROLE_COMPOSED_TRANSFER	1	0	1	k	K_HOT	1
81	f1r.12	2	kshoy	ROLE_COMPOSED_TRANSFER	2	1	3	sh	SH_MOIST	1
81	f1r.12	2	kshoy	ROLE_COMPOSED_TRANSFER	3	3	4	o	O_PREP	1
81	f1r.12	2	kshoy	ROLE_COMPOSED_TRANSFER	4	4	5	y	Y_START_OR_CLOSE	1
82	f1r.12	3	otairin	ROLE_COMPOSED_TRANSFER	1	0	1	o	O_PREP	1
82	f1r.12	3	otairin	ROLE_COMPOSED_TRANSFER	2	1	2	t	T_COLD	1
82	f1r.12	3	otairin	ROLE_COMPOSED_TRANSFER	3	2	5	air	AIR_FRACTION_II	1
82	f1r.12	3	otairin	ROLE_COMPOSED_TRANSFER	4	5	7	in	IN_FORM_II	1
83	f1r.12	4	oteol	EXACT_V48	1	0	5	oteol	EXACT_V48_CARD	0
84	f1r.12	5	okan	EXACT_V48	1	0	4	okan	EXACT_V48_CARD	0
85	f1r.12	6	shodain	ROLE_COMPOSED_TRANSFER	1	0	2	sh	SH_MOIST	1
85	f1r.12	6	shodain	ROLE_COMPOSED_TRANSFER	2	2	3	o	O_PREP	1
85	f1r.12	6	shodain	ROLE_COMPOSED_TRANSFER	3	3	4	d	D_MEASURE	1
85	f1r.12	6	shodain	ROLE_COMPOSED_TRANSFER	4	4	7	ain	AIN_II	1
86	f1r.12	7	sckhey	LOCAL_WHOLE_HYPOTHESIS	1	0	6	sckhey	LEARNED_SEED_COMPOSITE_WHOLE	0
87	f1r.12	8	daiin	EXACT_V48	1	0	5	daiin	EXACT_V48_CARD	0
88	f1r.13	1	shoy	ROLE_COMPOSED_TRANSFER	1	0	2	sh	SH_MOIST	1
88	f1r.13	1	shoy	ROLE_COMPOSED_TRANSFER	2	2	3	o	O_PREP	1
88	f1r.13	1	shoy	ROLE_COMPOSED_TRANSFER	3	3	4	y	Y_START_OR_CLOSE	1
89	f1r.13	2	ckhey	EXACT_V48	1	0	5	ckhey	EXACT_V48_CARD	0
90	f1r.13	3	kodaiin	EXACT_V48	1	0	7	kodaiin	EXACT_V48_CARD	0
91	f1r.13	4	cphy	EXACT_V48	1	0	4	cphy	EXACT_V48_CARD	0
92	f1r.13	5	cphodaiils	LOCAL_WHOLE_HYPOTHESIS	1	0	10	cphodaiils	LEARNED_CPHODAIILS_WHOLE	0
93	f1r.13	6	cthey	EXACT_V48	1	0	5	cthey	EXACT_V48_CARD	0
94	f1r.13	7	sho	EXACT_V48	1	0	3	sho	EXACT_V48_CARD	0
95	f1r.13	8	oldain	ROLE_COMPOSED_TRANSFER	1	0	1	o	O_PREP	1
95	f1r.13	8	oldain	ROLE_COMPOSED_TRANSFER	2	1	2	l	L_WOOD	1
95	f1r.13	8	oldain	ROLE_COMPOSED_TRANSFER	3	2	3	d	D_MEASURE	1
95	f1r.13	8	oldain	ROLE_COMPOSED_TRANSFER	4	3	6	ain	AIN_II	1
96	f1r.13	9	d	OCCURRENCE_SCOPED_TRANSFER	1	0	1	d	FREE_D_OCCURRENCE	0
97	f1r.14	1	dain	EXACT_V48	1	0	4	dain	EXACT_V48_CARD	0
98	f1r.14	2	oiin	EXACT_V48	1	0	4	oiin	EXACT_V48_CARD	0
99	f1r.14	3	chol	EXACT_V48	1	0	4	chol	EXACT_V48_CARD	0
100	f1r.14	4	odaiin	EXACT_V48	1	0	6	odaiin	EXACT_V48_CARD	0
101	f1r.14	5	chodain	ROLE_COMPOSED_TRANSFER	1	0	2	ch	CH_DRY	1
101	f1r.14	5	chodain	ROLE_COMPOSED_TRANSFER	2	2	3	o	O_PREP	1
101	f1r.14	5	chodain	ROLE_COMPOSED_TRANSFER	3	3	4	d	D_MEASURE	1
101	f1r.14	5	chodain	ROLE_COMPOSED_TRANSFER	4	4	7	ain	AIN_II	1
102	f1r.14	6	chdy	EXACT_V48	1	0	4	chdy	EXACT_V48_CARD	0
103	f1r.14	7	okain	EXACT_V48	1	0	5	okain	EXACT_V48_CARD	0
104	f1r.14	8	dn	LOCAL_WHOLE_HYPOTHESIS	1	0	2	dn	LEARNED_READER_ALIAS_DAN_AN	0
105	f1r.14	9	cthy	EXACT_V48	1	0	4	cthy	EXACT_V48_CARD	0
106	f1r.14	10	kod	ROLE_COMPOSED_TRANSFER	1	0	1	k	K_HOT	1
106	f1r.14	10	kod	ROLE_COMPOSED_TRANSFER	2	1	2	o	O_PREP	1
106	f1r.14	10	kod	ROLE_COMPOSED_TRANSFER	3	2	3	d	D_TERM_CLOSE	1
107	f1r.15	1	daiin	EXACT_V48	1	0	5	daiin	EXACT_V48_CARD	0
