card_id	surface	class	confidence	composition	rival_or_issue	decision	promoted_to_v48
GDT672-F1R-001	fachys	W	LOW	LEARNED_FACHYS_WHOLE	OPEN_INTERNAL_ANALYSIS	KEEP_AS_LOCAL_WHOLE_HYPOTHESIS	0
GDT672-F1R-002	ataiin	P	MEDIUM	A_PART_OR_LINK+T_COLD+AIIN_III	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-003	shory	P	MEDIUM	KNOWN_SHOR+Y_START_OR_CLOSE	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-004	cthres	W	LOW	LEARNED_CTHRES_WHOLE	OPEN_INTERNAL_ANALYSIS	KEEP_AS_LOCAL_WHOLE_HYPOTHESIS	0
GDT672-F1R-005	y	O	MEDIUM	FREE_Y_OCCURRENCE	POSITION_OR_READER_DEPENDENT	KEEP_OCCURRENCE_SCOPED	0
GDT672-F1R-006	sory	P	MEDIUM	KNOWN_SOR+Y_START_OR_CLOSE	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-007	ckhar	P	HIGH	CKH_COMPOSITE+AR_FRACTION_I	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-008	chtaiin	P	HIGH	CH_DRY+T_COLD+AIIN_III	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-009	ase	W	LOW	KNOWN_AS+E_MIDDLE	OPEN_INTERNAL_ANALYSIS	KEEP_AS_LOCAL_WHOLE_HYPOTHESIS	0
GDT672-F1R-010	syaiir	W	LOW	LEARNED_SYAIIR_WHOLE	OPEN_INTERNAL_ANALYSIS	KEEP_AS_LOCAL_WHOLE_HYPOTHESIS	0
GDT672-F1R-011	shod	P	HIGH	SH_MOIST+O_PREP+D_TERM_CLOSE	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-012	cthoary	P	HIGH	CTH_HERB+O_PREP+AR_FRACTION_I+Y_START_OR_CLOSE	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-013	cthes	P	MEDIUM	CTH_HERB+E_MIDDLE+S_TERM_SPECIES	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-014	daraiin	P	HIGH	D_MEASURE+AR_FRACTION_I+AIIN_III	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-015	roloty	P	MEDIUM	R_ROOT+OL_MATERIAL+O_PREP+T_COLD+Y_START_OR_CLOSE	NONE	ACCEPT_CURATED_FULL_SURFACE_COMPOSITION	0
GDT672-F1R-016	cthiar	W	LOW	LEARNED_READER_ALIAS_CTHAR	OPEN_INTERNAL_ANALYSIS	KEEP_AS_LOCAL_WHOLE_HYPOTHESIS	0
