line_ordinal	locus	frame	action_token_indices	quantity_token_indices	reference_token_indices	learned_token_indices	occurrence_token_indices	value_attachment_token_indices	renderer_rules	working_translation_de
1	f1r.1	MIXED	NONE	4	8	1,7	8	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	⟦≈Getrocknete Blüten- oder Arzneispecies, abgeschlossen?⟧ Eintrag: heißer Rohstoff I; erste Fraktion; ein gleicher Teil auf Kältestufe III; Feuchtdroge; Blüten- oder Fruchtstand in Grundform; ⟦≈Kraut- oder Wurzelspecies der Mittelstufe?⟧ Hierzu eine heiße Drogenportion; die vollständig eingeweichte Droge.
2	f1r.2	CATALOGUE	NONE	8,11	NONE	8	4	11	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Abgeschlossene Samenportion; erste Kompositumfraktion, eine Drogenportion. Zweite heiße Fraktion; getrocknete Droge auf Kältestufe III; erste angefeuchtete Fraktion; ⟦≈gleicher Speciesanteil auf Mittelstufe?⟧; zweimal erste Kraut- oder Blattfraktion; ein Maß der zuletzt genannten Fraktion.
3	f1r.3	INSTRUCTION	2,4,5,6,8	8	4	1	NONE	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	⟦≈Saatgutfraktion III, abgeschlossen?⟧ Bis zur Mittelstufe einweichen, erhitzen und abschließen; eine Drogenportion. Hiervon auf Stufe III erhitzen; den Feuchtansatz abschließen; die erste Krautansatzfraktion abteilen und abschließen; Kraut- oder Blattspecies der Mittelstufe; drei Teile der ersten Fraktion abmessen; Saatgut in Grundform.
4	f1r.4	MIXED	4	6	NONE	5	NONE	6	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Saatgutzubereitung Form III; Kaltansatz auf Endstufe; Kaltansatz-Charge auf Mittelstufe. Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen. ⟦≈Drei Maße der ersten Kraut- oder Blattfraktion?⟧; Ansatz auf Heizstufe III; eine Drogenportion; Ansatz auf Heizstufe I.
5	f1r.5	CATALOGUE	NONE	3,4,6	NONE	6	2	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Samenfraktion II. Erste Trockenfraktion; drei Teile Kraut- oder Blattdroge; erste Kompositumfraktion; ⟦≈drei Teile Blütendroge?⟧.
6	f1r.6	INSTRUCTION	1	1	1	1	NONE	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	⟦≈Hiervon die erste Fraktion abmessen, leicht einweichen und abschließen?⟧
7	f1r.7	MIXED	1,3,4,5,8	4,7	NONE	7	6	NONE	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Die erste Ansatzfraktion abmessen; Feuchtdroge; Kompositum ansetzen und leicht abschließen; die erste Fraktion des Grundansatzes abmessen; einweichen; ⟦Species- oder Chargensiglum?⟧; ⟦≈drei Teile Blütenansatz?⟧; die erste Feuchtansatzfraktion abmessen und abschließen.
8	f1r.8	MIXED	1,3	1,8	1	NONE	NONE	8	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Hiervon bis zur Mittelstufe einweichen; fertig eingeweichter Ansatz. Heißen Ansatz trocknen, erneut ansetzen und abschließen; kalt-trockener Zubereitungsstoff; trockene Krautzubereitung. Ansatzcharge, trocken am Anfang des Grades; zwei Maße des folgenden Pflanzenteils; Charge Heißansatz.
9	f1r.9	CATALOGUE	NONE	1	NONE	3	NONE	1	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Drei Maße einer Charge Feuchtansatz; ⟦≈Blütendrogenstoff oder Blütenauszug?⟧; fertig eingeweichter Ansatz.
10	f1r.10	INSTRUCTION	3	1	NONE	NONE	NONE	1	R01_THREE_LAYER+R02_ACTION_GATE+R06_VALUE_TYPING+R07_PROCESS_ORDER+R09_NOMINAL_LINE+R10_UNCERTAINTY+R11_NO_SUPPRESSION+R12_NO_FILLER	Zwei Maße einer Ansatzcharge; den Ansatz abkühlen und abschließen.
