attachment_id	locus	token_index	surface	contextual_render_de	head_token_index	relation	rationale	source_match	changes_v48_card
GDT672-V01	f1r.2	11	dan	ein Maß der vorstehenden Kraut- oder Blattfraktion	10	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt zwei cthar-Stoffköpfen	1	0
GDT672-V02	f1r.4	6	daiin	drei Maße der vorstehenden Kraut- oder Blattfraktion	5	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt cthiar	1	0
GDT672-V03	f1r.8	8	dain	zwei Maße des folgenden Pflanzenteils	9	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht unmittelbar vor chor	1	0
GDT672-V04	f1r.9	1	daiin	drei Maße der folgenden Charge Feuchtansatz	2	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert eröffnet die Zeile vor shos	1	0
GDT672-V05	f1r.10	1	dain	zwei Maße der folgenden Ansatzcharge	2	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor os	1	0
GDT672-V06	f1r.12	8	daiin	drei Maße des vorstehenden Saatgut-Kompositums	7	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt sckhey	1	0
GDT672-V07	f1r.14	1	dain	zwei Maße der folgenden Zubereitungsform III	2	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor oiin	1	0
GDT672-V08	f1r.14	8	dn	eine Dosis beziehungsweise ein Teil der folgenden Krautdroge	9	RIGHT_MATERIAL_QUANTITY	Alternativleser dan und an binden beide rechts an cthy; kein Grad	1	0
GDT672-V09	f1r.15	1	daiin	drei Maße des folgenden feuchten Kompositums	2	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor shckhey	1	0
GDT672-V10	f1r.18	7	ain	zwei Teile der vorstehenden ersten Fraktion	6	LEFT_MATERIAL_QUANTITY	ain folgt dem Fraktionskopf dar	1	0
GDT672-V11	f1r.18	8	dain	zwei Maße der folgenden Kompositum-Species	9	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor ckhyds	1	0
GDT672-V12	f1r.20	4	dain	zwei Maße des folgenden Kompositums	5	RIGHT_MATERIAL_QUANTITY	der nackte D-Wert steht vor ckhey	1	0
GDT672-V13	f1r.21	2	daiiin	vier Maße des vorstehenden kalten Zubereitungsguts	1	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt otol	1	0
GDT672-V14	f1r.23	3	dain	zwei Maße der vorstehenden Trockendroge	2	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt chol	1	0
GDT672-V15	f1r.24	6	daiin	drei Maße des vorstehenden heißen Ansatzstoffs	5	LEFT_MATERIAL_QUANTITY	der erste nackte D-Wert folgt okol	1	0
GDT672-V16	f1r.24	9	daiin	drei Maße des vorstehenden Krautdrogenstoffs	8	LEFT_MATERIAL_QUANTITY	der zweite nackte D-Wert folgt cthol	1	0
GDT672-V17	f1r.25	4	daiin	drei Maße des vorstehenden heißen Ansatzes am Gradanfang	3	LEFT_MATERIAL_QUANTITY	der nackte D-Wert folgt oky	1	0
