token_ordinal_global	line_ordinal	page	locus	token_index	eva	statement_ordinal	statement_id	gdt589_surface_match
1	1	f1r	f1r.1	1	fachys	1	G407-S001	1
2	1	f1r	f1r.1	2	ykal	1	G407-S001	1
3	1	f1r	f1r.1	3	ar	1	G407-S001	1
4	1	f1r	f1r.1	4	ataiin	1	G407-S001	1
5	1	f1r	f1r.1	5	shol	1	G407-S001	1
6	1	f1r	f1r.1	6	shory	1	G407-S001	1
7	1	f1r	f1r.1	7	cthres	1	G407-S001	1
8	1	f1r	f1r.1	8	y	1	G407-S001	1
9	1	f1r	f1r.1	9	kor	1	G407-S001	1
10	1	f1r	f1r.1	10	sholdy	1	G407-S001	1
11	2	f1r	f1r.2	1	sory	1	G407-S001	1
12	2	f1r	f1r.2	2	ckhar	1	G407-S001	1
13	2	f1r	f1r.2	3	or	1	G407-S001	1
14	2	f1r	f1r.2	4	y	1	G407-S001	1
15	2	f1r	f1r.2	5	kair	1	G407-S001	1
16	2	f1r	f1r.2	6	chtaiin	1	G407-S001	1
17	2	f1r	f1r.2	7	shar	1	G407-S001	1
18	2	f1r	f1r.2	8	ase	1	G407-S001	1
19	2	f1r	f1r.2	9	cthar	1	G407-S001	1
20	2	f1r	f1r.2	10	cthar	1	G407-S001	1
21	2	f1r	f1r.2	11	dan	1	G407-S001	1
22	3	f1r	f1r.3	1	syaiir	1	G407-S001	1
23	3	f1r	f1r.3	2	sheky	1	G407-S001	1
24	3	f1r	f1r.3	3	or	1	G407-S001	1
25	3	f1r	f1r.3	4	ykaiin	1	G407-S001	1
26	3	f1r	f1r.3	5	shod	1	G407-S001	1
27	3	f1r	f1r.3	6	cthoary	1	G407-S001	1
28	3	f1r	f1r.3	7	cthes	1	G407-S001	1
29	3	f1r	f1r.3	8	daraiin	1	G407-S001	1
30	3	f1r	f1r.3	9	sy	1	G407-S001	1
31	4	f1r	f1r.4	1	soiin	1	G407-S001	1
32	4	f1r	f1r.4	2	oteey	1	G407-S001	1
33	4	f1r	f1r.4	3	oteos	1	G407-S001	1
34	4	f1r	f1r.4	4	roloty	1	G407-S001	1
35	4	f1r	f1r.4	5	cthiar	1	G407-S001	1
36	4	f1r	f1r.4	6	daiin	1	G407-S001	1
37	4	f1r	f1r.4	7	okaiin	1	G407-S001	1
38	4	f1r	f1r.4	8	or	1	G407-S001	1
39	4	f1r	f1r.4	9	okan	1	G407-S001	1
40	5	f1r	f1r.5	1	sair	1	G407-S001	1
41	5	f1r	f1r.5	2	y	1	G407-S001	1
42	5	f1r	f1r.5	3	chear	1	G407-S001	1
43	5	f1r	f1r.5	4	cthaiin	1	G407-S001	1
44	5	f1r	f1r.5	5	cphar	1	G407-S001	1
45	5	f1r	f1r.5	6	cfhaiin	1	G407-S001	1
46	6	f1r	f1r.6	1	ydaraishy	1	G407-S001	1
47	7	f1r	f1r.7	1	odar	2	G407-S002	1
48	7	f1r	f1r.7	2	shol	2	G407-S002	1
49	7	f1r	f1r.7	3	cphoy	2	G407-S002	1
50	7	f1r	f1r.7	4	oydar	2	G407-S002	1
51	7	f1r	f1r.7	5	sh	2	G407-S002	1
52	7	f1r	f1r.7	6	s	2	G407-S002	1
53	7	f1r	f1r.7	7	cfhoaiin	2	G407-S002	1
54	7	f1r	f1r.7	8	shodary	2	G407-S002	1
55	8	f1r	f1r.8	1	yshey	2	G407-S002	1
56	8	f1r	f1r.8	2	shody	2	G407-S002	1
57	8	f1r	f1r.8	3	okchoy	3	G407-S003	1
58	8	f1r	f1r.8	4	otchol	3	G407-S003	1
59	8	f1r	f1r.8	5	chocthy	3	G407-S003	1
60	8	f1r	f1r.8	6	os	3	G407-S003	1
61	8	f1r	f1r.8	7	chy	3	G407-S003	1
62	8	f1r	f1r.8	8	dain	3	G407-S003	1
63	8	f1r	f1r.8	9	chor	3	G407-S003	1
64	8	f1r	f1r.8	10	kos	3	G407-S003	1
65	9	f1r	f1r.9	1	daiin	3	G407-S003	1
66	9	f1r	f1r.9	2	shos	3	G407-S003	1
67	9	f1r	f1r.9	3	cfhol	3	G407-S003	1
68	9	f1r	f1r.9	4	shody	3	G407-S003	1
69	10	f1r	f1r.10	1	dain	4	G407-S004	1
70	10	f1r	f1r.10	2	os	4	G407-S004	1
71	10	f1r	f1r.10	3	teody	4	G407-S004	1
72	11	f1r	f1r.11	1	ydain	5	G407-S005	1
73	11	f1r	f1r.11	2	cphesaiin	5	G407-S005	1
74	11	f1r	f1r.11	3	ols	5	G407-S005	1
75	11	f1r	f1r.11	4	cphey	5	G407-S005	1
76	11	f1r	f1r.11	5	ytain	5	G407-S005	1
77	11	f1r	f1r.11	6	shoshy	5	G407-S005	1
78	11	f1r	f1r.11	7	cphodal	5	G407-S005	1
79	11	f1r	f1r.11	8	es	5	G407-S005	1
80	12	f1r	f1r.12	1	oksho	5	G407-S005	1
81	12	f1r	f1r.12	2	kshoy	5	G407-S005	1
82	12	f1r	f1r.12	3	otairin	5	G407-S005	1
83	12	f1r	f1r.12	4	oteol	5	G407-S005	1
84	12	f1r	f1r.12	5	okan	5	G407-S005	1
85	12	f1r	f1r.12	6	shodain	5	G407-S005	1
86	12	f1r	f1r.12	7	sckhey	5	G407-S005	1
87	12	f1r	f1r.12	8	daiin	5	G407-S005	1
88	13	f1r	f1r.13	1	shoy	5	G407-S005	1
89	13	f1r	f1r.13	2	ckhey	5	G407-S005	1
90	13	f1r	f1r.13	3	kodaiin	5	G407-S005	1
91	13	f1r	f1r.13	4	cphy	5	G407-S005	1
92	13	f1r	f1r.13	5	cphodaiils	5	G407-S005	1
93	13	f1r	f1r.13	6	cthey	5	G407-S005	1
94	13	f1r	f1r.13	7	sho	5	G407-S005	1
95	13	f1r	f1r.13	8	oldain	5	G407-S005	1
96	13	f1r	f1r.13	9	d	5	G407-S005	1
97	14	f1r	f1r.14	1	dain	5	G407-S005	1
98	14	f1r	f1r.14	2	oiin	5	G407-S005	1
99	14	f1r	f1r.14	3	chol	5	G407-S005	1
100	14	f1r	f1r.14	4	odaiin	5	G407-S005	1
101	14	f1r	f1r.14	5	chodain	5	G407-S005	1
102	14	f1r	f1r.14	6	chdy	5	G407-S005	1
