line_ordinal	page	locus	token_count	zl3b_line	it2a_line	rf1b_line	all_present_exact	exact_v48_tokens	composed_transfer_tokens	learned_transfer_tokens	occurrence_transfer_tokens	literal_token_glosses_de	contextual_token_values_de	frame	working_translation_de	uncertainty_note	learned_token_indices	occurrence_token_indices	value_attachment_token_indices
1	f1r	f1r.1	10	fachys ykal ar ataiin shol shory cthres y kor sholdy	fachys ykal ar ataiin shol shory cthres y kor sholdy	fachys ykal ar taiin shol shory ses y kor sholdy	0	5	2	2	1	fachys = getrocknete Blüten- oder Arzneispecies, abgeschlossen | ykal = Eintrag: heißer Rohstoff, Klasse I | ar = Drogenfraktion I | ataiin = gleicher Teil auf Kältestufe III | shol = feucht; nominal feuchtes Gut/Material | shory = Blüten- oder Fruchtstand in Grundform, abgeschlossen | cthres = Kraut- oder Wurzelspecies der Mittelstufe | y = hierzu | kor = heiße Drogenportion | sholdy = vollständig eingeweichte Droge	fachys = getrocknete Blüten- oder Arzneispecies, abgeschlossen | ykal = Eintrag: heißer Rohstoff, Klasse I | ar = Drogenfraktion I | ataiin = gleicher Teil auf Kältestufe III | shol = feucht; nominal feuchtes Gut/Material | shory = Blüten- oder Fruchtstand in Grundform, abgeschlossen | cthres = Kraut- oder Wurzelspecies der Mittelstufe | y = hierzu | kor = heiße Drogenportion | sholdy = vollständig eingeweichte Droge	MIXED	⟦≈Getrocknete Blüten- oder Arzneispecies, abgeschlossen?⟧ Eintrag: heißer Rohstoff I; erste Fraktion; ein gleicher Teil auf Kältestufe III; Feuchtdroge; Blüten- oder Fruchtstand in Grundform; ⟦≈Kraut- oder Wurzelspecies der Mittelstufe?⟧ Hierzu eine heiße Drogenportion; die vollständig eingeweichte Droge.	fachys und cthres sind LOW gelernte Ganzwörter; RF1b taiin lässt gegenüber ataiin den gleichen Teil aus	1,7	8	NONE
2	f1r	f1r.2	11	sory ckhar or y kair chtaiin shar ase cthar cthar dan	sory ckhar or y kair chtaiin shar are cthar cthar dan	sory ckhar ory kair chtaiin shar is cthar cthar dan	0	6	3	1	1	sory = Samenportion, abgeschlossen | ckhar = erste Kompositumfraktion | or = Drogenportion | y = ; | kair = heiße Drogenfraktion II | chtaiin = getrocknete Droge auf Kältestufe III | shar = angefeuchtete Drogenfraktion I | ase = gleicher Anteil einer Arzneispecies auf Mittelstufe | cthar = CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I | cthar = CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I | dan = Grad-/Maßwert I	sory = Samenportion, abgeschlossen | ckhar = erste Kompositumfraktion | or = Drogenportion | y = ; | kair = heiße Drogenfraktion II | chtaiin = getrocknete Droge auf Kältestufe III | shar = angefeuchtete Drogenfraktion I | ase = gleicher Anteil einer Arzneispecies auf Mittelstufe | cthar = CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I | cthar = CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I | dan = ein Maß der vorstehenden Kraut- oder Blattfraktion	CATALOGUE	Abgeschlossene Samenportion; erste Kompositumfraktion, eine Drogenportion. Zweite heiße Fraktion; getrocknete Droge auf Kältestufe III; erste angefeuchtete Fraktion; ⟦≈gleicher Speciesanteil auf Mittelstufe?⟧; zweimal erste Kraut- oder Blattfraktion; ein Maß der zuletzt genannten Fraktion.	ase ist LOW; y ist nur die occurrence-spezifische linke Abschlussgrenze	8	4	11
3	f1r	f1r.3	9	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	syaiir sheky or ykaiin shod cthoary cthes daraiin sa	syaiir sheky or ykaiin shod cthoary cthes daraiin sy	0	4	4	1	0	syaiir = Saatgutfraktion III, abgeschlossen | sheky = bis zur Mittelstufe einweichen, erhitzen und abschließen | or = Drogenportion | ykaiin = erhitze hiervon auf Stufe III | shod = Feuchtansatz abschließen | cthoary = erste Krautansatzfraktion abteilen und abschließen | cthes = Kraut- oder Blattspecies der Mittelstufe | daraiin = drei Teile der ersten Fraktion abmessen | sy = Saatgut in Grundform	syaiir = Saatgutfraktion III, abgeschlossen | sheky = bis zur Mittelstufe einweichen, erhitzen und abschließen | or = Drogenportion | ykaiin = erhitze hiervon auf Stufe III | shod = Feuchtansatz abschließen | cthoary = erste Krautansatzfraktion abteilen und abschließen | cthes = Kraut- oder Blattspecies der Mittelstufe | daraiin = drei Teile der ersten Fraktion abmessen | sy = Saatgut in Grundform	INSTRUCTION	⟦≈Saatgutfraktion III, abgeschlossen?⟧ Bis zur Mittelstufe einweichen, erhitzen und abschließen; eine Drogenportion. Hiervon auf Stufe III erhitzen; den Feuchtansatz abschließen; die erste Krautansatzfraktion abteilen und abschließen; Kraut- oder Blattspecies der Mittelstufe; drei Teile der ersten Fraktion abmessen; Saatgut in Grundform.	syaiir ist LOW gelernt	1	NONE	NONE
4	f1r	f1r.4	9	soiin oteey oteos roloty cthiar daiin okaiin or okan	ooiin oteey oteos roloty cthar daiin otaiin or okan	soiin oteey oteor roloty ar daiin okaiin or okan	0	7	1	1	0	soiin = Samen/Saatgutzubereitung, Form III | oteey = kalter Ansatz am Ende des Grades | oteos = Kaltansatz-Charge auf mittlerer Stufe | roloty = Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen | cthiar = erste Kraut- oder Blattfraktion | daiin = Grad-/Maßwert III | okaiin = heiß, Grad III, im Ansatzrahmen | or = Drogenportion | okan = heiß im Zubereitungsrahmen, Grad I	soiin = Samen/Saatgutzubereitung, Form III | oteey = kalter Ansatz am Ende des Grades | oteos = Kaltansatz-Charge auf mittlerer Stufe | roloty = Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen | cthiar = erste Kraut- oder Blattfraktion | daiin = drei Maße der vorstehenden Kraut- oder Blattfraktion | okaiin = heiß, Grad III, im Ansatzrahmen | or = Drogenportion | okan = heiß im Zubereitungsrahmen, Grad I	MIXED	Saatgutzubereitung Form III; Kaltansatz auf Endstufe; Kaltansatz-Charge auf Mittelstufe. Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen. ⟦≈Drei Maße der ersten Kraut- oder Blattfraktion?⟧; Ansatz auf Heizstufe III; eine Drogenportion; Ansatz auf Heizstufe I.	cthiar ist LOW Leseralias; IT2a otaiin ergäbe hier Kälte- statt Heizstufe III	5	NONE	6
5	f1r	f1r.5	6	sair y chear cthaiin cphar cfhaiin	dair y chear cthaiin cphar cfhaiin	sairy chear cthaiin cphar cfhaiin	0	3	1	1	1	sair = Samenfraktion II | y = ; | chear = trockene Fraktion I | cthaiin = Blatt-/Krautgut, Menge/Klasse III | cphar = erste Kompositumfraktion | cfhaiin = Blütendroge, Menge III	sair = Samenfraktion II | y = ; | chear = trockene Fraktion I | cthaiin = Blatt-/Krautgut, Menge/Klasse III | cphar = erste Kompositumfraktion | cfhaiin = Blütendroge, Menge III	CATALOGUE	Samenfraktion II. Erste Trockenfraktion; drei Teile Kraut- oder Blattdroge; erste Kompositumfraktion; ⟦≈drei Teile Blütendroge?⟧.	cfhaiin ist LOW gelernt; y ist nur die occurrence-spezifische linke Abschlussgrenze	6	2	NONE
6	f1r	f1r.6	1	ydaraishy	ydaraishy	ydaraishy	1	0	0	1	0	ydaraishy = hiervon die erste Fraktion abmessen, leicht einweichen und abschließen	ydaraishy = hiervon die erste Fraktion abmessen, leicht einweichen und abschließen	INSTRUCTION	⟦≈Hiervon die erste Fraktion abmessen, leicht einweichen und abschließen?⟧	ydaraishy ist LOW; sichtbarer innerer ai-Block bleibt unbestimmt	1	NONE	NONE
7	f1r	f1r.7	8	odar shol cphoy oydar sh s cfhoaiin shodary	odar o y shol cphoy oydar sh s cfhoaiin shodary	odar shol cphoy oydar sh s cfhoaiin shodary	0	2	4	1	1	odar = erste Ansatzfraktion abmessen | shol = feucht; nominal feuchtes Gut/Material | cphoy = Kompositum ansetzen und leicht abschließen | oydar = erste Fraktion des Grundansatzes abmessen | sh = einweichen | s = Species- oder Chargensiglum | cfhoaiin = Blütenansatz, Menge III | shodary = erste Feuchtansatzfraktion abmessen und abschließen	odar = erste Ansatzfraktion abmessen | shol = feucht; nominal feuchtes Gut/Material | cphoy = Kompositum ansetzen und leicht abschließen | oydar = erste Fraktion des Grundansatzes abmessen | sh = einweichen | s = Species- oder Chargensiglum | cfhoaiin = Blütenansatz, Menge III | shodary = erste Feuchtansatzfraktion abmessen und abschließen	MIXED	Die erste Ansatzfraktion abmessen; Feuchtdroge; Kompositum ansetzen und leicht abschließen; die erste Fraktion des Grundansatzes abmessen; einweichen; ⟦Species- oder Chargensiglum?⟧; ⟦≈drei Teile Blütenansatz?⟧; die erste Feuchtansatzfraktion abmessen und abschließen.	freies s ist occurrence-spezifisch und cfhoaiin ist LOW gelernt	7	6	NONE
8	f1r	f1r.8	10	yshey shody okchoy otchol chocthy os chy dain chor kos	yshey shody okchoy otchol chocthy oschy dain chor kos	yshey shody okchoy otchol chocthy oschy dain chor kos	0	7	3	0	0	yshey = weiche hiervon bis zur mittleren Stufe ein | shody = vollständig eingeweichter Ansatz | okchoy = heißen Ansatz trocknen, erneut ansetzen und abschließen | otchol = kalt-trockener Zubereitungsstoff | chocthy = trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung | os = Ansatzcharge | chy = trocken am Anfang des Grades | dain = Grad-/Maßwert II | chor = Pflanzen-/Reproduktionsteil | kos = Charge Heißansatz	yshey = weiche hiervon bis zur mittleren Stufe ein | shody = vollständig eingeweichter Ansatz | okchoy = heißen Ansatz trocknen, erneut ansetzen und abschließen | otchol = kalt-trockener Zubereitungsstoff | chocthy = trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung | os = Ansatzcharge | chy = trocken am Anfang des Grades | dain = zwei Maße des folgenden Pflanzenteils | chor = Pflanzen-/Reproduktionsteil | kos = Charge Heißansatz	MIXED	Hiervon bis zur Mittelstufe einweichen; fertig eingeweichter Ansatz. Heißen Ansatz trocknen, erneut ansetzen und abschließen; kalt-trockener Zubereitungsstoff; trockene Krautzubereitung. Ansatzcharge, trocken am Anfang des Grades; zwei Maße des folgenden Pflanzenteils; Charge Heißansatz.	os und chy werden bilateral als oschy gelesen; beide Token bleiben sichtbar	NONE	NONE	8
9	f1r	f1r.9	4	daiin shos cfhol shody	daiin shos cfhol shody	daiin shos cfhol shody	1	2	1	1	0	daiin = Grad-/Maßwert III | shos = Charge Feuchtansatz | cfhol = Blütendrogenstoff oder Blütenauszug | shody = vollständig eingeweichter Ansatz	daiin = drei Maße der folgenden Charge Feuchtansatz | shos = Charge Feuchtansatz | cfhol = Blütendrogenstoff oder Blütenauszug | shody = vollständig eingeweichter Ansatz	CATALOGUE	Drei Maße einer Charge Feuchtansatz; ⟦≈Blütendrogenstoff oder Blütenauszug?⟧; fertig eingeweichter Ansatz.	cfhol ist LOW gelernt und behält zwei konkrete Rivalen	3	NONE	1
10	f1r	f1r.10	3	dain os teody	dain os teody	dain or teod	0	2	1	0	0	dain = Grad-/Maßwert II | os = Ansatzcharge | teody = kühle den Ansatz ab und schließe	dain = zwei Maße der folgenden Ansatzcharge | os = Ansatzcharge | teody = kühle den Ansatz ab und schließe	INSTRUCTION	Zwei Maße einer Ansatzcharge; den Ansatz abkühlen und abschließen.	os ist reader-instabil; RF1b liest or	NONE	NONE	1
