completion_ordinal	bath_action_ordinal	action_slot_id	target_event_id	target_statement_id	physical_page	target_locus	target_paragraph_key	target_primary_governor_key	target_host_ordinal_in_statement	target_surface	target_recipe	gdt593_previous_route	gdt593_previous_class	gdt593_previous_clause_de	gdt569_state_edition_ordinal	gdt569_argument_source_type	gdt569_inherited_argument_root	gdt569_explicit_argument_phrase_de	gdt569_carried_argument_phrase_de	retained_gdt569_context_clause_de	gdt581_alias_id	gdt581_lexical_source_kind	gdt581_lexical_source_key	canonical_source_event_id	canonical_source_slot_or_key	canonical_source_primary_governor_key	canonical_source_host_ordinal_in_statement	context_witness_event_id	context_witness_statement_id	context_witness_locus	context_witness_paragraph_key	context_witness_slot_id	context_witness_primary_governor_key	context_witness_surface	context_witness_recipe	context_witness_lemma_de	context_witness_class	context_witness_meaning_source	context_witness_event_distance	context_witness_statement_distance	context_witness_line_distance	same_physical_paragraph	source_written_atom_coordinate	target_written_atom_coordinate	semantic_host_reset_count	semantic_host_reset_keys	intervening_reader_reset_count	intervening_reader_reset_host_keys	intervening_reader_reset_phrases_de	scope_model_conflict	gdt559_transition_event_id	gdt559_transition_next_event_id	gdt559_transition_outcome	gdt559_transition_reading_de	scope_class	reference_span	reference_realization	source_disposition	gdt594_selection_route	gdt594_object_class	gdt594_object_lemma_de	gdt594_object_form_de	gdt594_completed_clause_de	retained_gdt593_badegut_clause_de	retained_body_alternative_de	retained_station_alternative_de	retained_flow_alternative_de	retained_semantic_host_scope_alternative_de	reader_clause_occurrence_index	manual_reader_disposition	manual_reader_note_de	completion_status	guard
1	1	RUNNING:G407-E1431@1	G407-E1431	G407-S082	f75r	f75r.1	f75r:P1	ACTION:G407-E1431@1:SH	9	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	339	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2201	SAME_STATEMENT_EVENT	G407-E1429@2:Y	G407-E1429	RUNNING:G407-E1429@2	ACTION:G407-E1429@1:CHD	7	G407-E1429	G407-S082	f75r.1	f75r:P1	RUNNING:G407-E1429@2	ACTION:G407-E1429@1:CHD	chedy	CHD+Y	Stationsansatz	STATION	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	2	0	0	YES	E1429@2	E1431@1	1	CONTROL:G407-E1430@1:OT	1	CONTROL:G407-E1430@1:OT	Beginne danach den nächsten Arbeitsgang	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_STATEMENT_READER_RESET	SAME_STATEMENT_SOURCE_BEFORE_POST_DONOR_READER_RESET	DEFINITE_BODY_AT_TARGET_AFTER_READER_RESET	CANONICAL_SOURCE_RETAINED_AS_CONTEXT_NOT_OBJECT_IDENTITY	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
2	12	RUNNING:G407-E1520@1	G407-E1520	G407-S100	f75r	f75r.11	f75r:P1	ACTION:G407-E1520@1:SH	3	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	365	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2239	SAME_STATEMENT_EVENT	G407-E1517@1:Y	G407-E1517	RUNNING:G407-E1517@1	ACTION:G407-E1518@1:OK	1	G407-E1517	G407-S100	f75r.11	f75r:P1	RUNNING:G407-E1517@1	ACTION:G407-E1518@1:OK	dy	Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	3	0	0	YES	E1517@1	E1520@1	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
3	19	RUNNING:G407-E1563@1	G407-E1563	G407-S112	f75r	f75r.16	f75r:P1	ACTION:G407-E1563@1:SH	2	dshedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	382	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2258	SAME_STATEMENT_EVENT	G407-E1562@2:Y	G407-E1562	RUNNING:G407-E1562@2	ACTION:G407-E1562@1:OK	1	G407-E1562	G407-S112	f75r.15	f75r:P1	RUNNING:G407-E1562@2	ACTION:G407-E1562@1:OK	qoky	OK+Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	1	0	1	YES	E1562@2	E1563@1	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
4	20	RUNNING:G407-E1565@1	G407-E1565	G407-S113	f75r	f75r.16	f75r:P1	ACTION:G407-E1565@1:SH	2	sheedy	SH+EE+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad II	383	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad II; schließe den Schritt.	GDT581-I2260	OWNER_DEFAULT	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	OWNER	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E1562	G407-S112	f75r.15	f75r:P1	RUNNING:G407-E1562@2	ACTION:G407-E1562@1:OK	qoky	OK+Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	3	1	1	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad II	Halte den Strom im Badbetrieb auf Grad II	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
5	21	RUNNING:G407-E1569@2	G407-E1569	G407-S114	f75r	f75r.16	f75r:P1	ACTION:G407-E1569@2:SH	5	okshedy	OK+SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	384	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2262	SAME_STATEMENT_EVENT	G407-E1568@1:Y	G407-E1568	RUNNING:G407-E1568@1	ACTION:G407-E1567@2:OK	3	G407-E1568	G407-S114	f75r.16	f75r:P1	RUNNING:G407-E1568@1	ACTION:G407-E1567@2:OK	chy	Y	Stationsansatz	STATION	GDT582_EXACT_WRITTEN_SLOT_WITNESS	1	0	0	YES	E1568@1	E1569@2	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
6	26	RUNNING:G407-E1582@1	G407-E1582	G407-S116	f75r	f75r.18	f75r:P1	ACTION:G407-E1582@1:SH	3	sheedy	SH+EE+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad II	388	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad II; schließe den Schritt.	GDT581-I2270	OWNER_DEFAULT	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	OWNER	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E1577	G407-S115	f75r.17	f75r:P1	RUNNING:G407-E1577@1	ACTION:G407-E1576@1:SH	shy	Y	Stationsansatz	STATION	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	5	1	1	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad II	Halte das zu badende Gut im Bad auf Grad II	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad II	Halte den Strom im Badbetrieb auf Grad II	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
7	27	RUNNING:G407-E1584@1	G407-E1584	G407-S117	f75r	f75r.18	f75r:P1	ACTION:G407-E1584@1:SH	2	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	390	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2272	OWNER_DEFAULT	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	OWNER	OWNER_DEFAULT:großes Bad-/Stationsblatt mit dreieckiger Insel:Y	NOT_APPLICABLE	NOT_APPLICABLE	G407-E1577	G407-S115	f75r.17	f75r:P1	RUNNING:G407-E1577@1	ACTION:G407-E1576@1:SH	shy	Y	Stationsansatz	STATION	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	7	2	1	YES	NOT_APPLICABLE	NOT_APPLICABLE	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	OWNER_DEFAULT_RESET	OWNER_DEFAULT_AFTER_STATEMENT_RESET	DEFINITE_BODY_AT_TARGET_AFTER_STATEMENT_RESET	CONTEXT_WITNESS_NOT_OBJECT_SOURCE	GDT569_Y_RESET_BODY_FIRST	BODY	Körper	den Körper	Halte den Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	READABLE_TWO_WAY	Arbeitsdefault lesbar; Körper/Station beziehungsweise der lokale Donor bleibt als echte Rivalenlesung sichtbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
8	28	RUNNING:G407-E1590@2	G407-E1590	G407-S118	f75r	f75r.19	f75r:P1	ACTION:G407-E1590@2:SH	7	qokshedy	OK+SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	394	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Setze denselben Stationsposten im Stationsgang an und halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2276	SAME_STATEMENT_EVENT	G407-E1589@2:Y	G407-E1589	RUNNING:G407-E1589@2	ACTION:G407-E1588@1:S	4	G407-E1589	G407-S118	f75r.18	f75r:P1	RUNNING:G407-E1589@2	ACTION:G407-E1588@1:S	oly	OL+Y	Strom	FLOW	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	1	0	1	YES	E1589@2	E1590@2	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_FLOW_DONOR	FLOW	Strom	denselben Strom	Halte denselben Strom im Badbetrieb auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	SELECTED_PRIMARY	NOT_APPLICABLE	1	FLOW_MUST_BE_READ_OPERATIONALLY	Strom bedeutet hier den Durchfluss im Badbetrieb aufrechterhalten, nicht einen Strom als Badegut eintauchen.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
9	40	RUNNING:G407-E1658@1	G407-E1658	G407-S122	f75r	f75r.27	f75r:P2	ACTION:G407-E1658@1:SH	16	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	410	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2298	SAME_STATEMENT_EVENT	G407-E1656@2:Y	G407-E1656	RUNNING:G407-E1656@2	ACTION:G407-E1655@2:T	11	G407-E1656	G407-S122	f75r.27	f75r:P2	RUNNING:G407-E1656@2	ACTION:G407-E1655@2:T	qoty	OT+Y	Körper	BODY	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	2	0	0	YES	E1656@2	E1658@1	1	CONTROL:G407-E1656@1:OT	0	NONE	NONE	SEMANTIC_HOST_RESET_BUT_WRITTEN_Y_IS_AT_OR_AFTER_CUT__ATOM_ORDER_AND_GDT559_SUCCESSOR_STATE_WIN	G407-E1656	G407-E1657	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE_AFTER_ATOM_ORDER_CUT	GDT569_Y_LOCAL_BODY_DONOR	BODY	Körper	denselben Körper	Halte denselben Körper im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	SELECTED_PRIMARY	Halte den Stationsansatz im Bad auf Grad I	Halte den Strom im Badbetrieb auf Grad I	Halte den Körper im Bad auf Grad I	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
10	43	RUNNING:G407-E1699@1	G407-E1699	G407-S130	f75r	f75r.30	f75r:P2	ACTION:G407-E1699@1:SH	16	shedy	SH+E+DY	COLD_BATH_OBJECT_DEFAULT	BATH_OBJECT	Halte das zu badende Gut im Bad auf Grad I	428	CONTEXT_CARRY	Y	den Stationsposten	denselben Stationsposten	Halte denselben Stationsposten; auf Grad I; schließe den Schritt.	GDT581-I2322	SAME_STATEMENT_EVENT	G407-E1696@2:Y	G407-E1696	RUNNING:G407-E1696@2	ACTION:G407-E1696@1:CHD	12	G407-E1696	G407-S130	f75r.30	f75r:P2	RUNNING:G407-E1696@2	ACTION:G407-E1696@1:CHD	chedy	CHD+Y	Stationsansatz	STATION	GDT590_EXACT_ACTION_CONDITIONED_WITNESS	3	0	0	YES	E1696@2	E1699@1	0	NONE	0	NONE	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	SAME_OBJECT_SCOPE	SAME_STATEMENT_VISIBLE_SOURCE_AFTER_LAST_WRITTEN_CUT	ANAPHORIC_SAME_OBJECT_SCOPE	CANONICAL_WRITTEN_OBJECT_SOURCE	GDT569_Y_LOCAL_STATION_DONOR	STATION	Stationsansatz	denselben Stationsansatz	Halte denselben Stationsansatz im Bad auf Grad I	Halte das zu badende Gut im Bad auf Grad I	Halte den Körper im Bad auf Grad I	SELECTED_PRIMARY	Halte den Strom im Badbetrieb auf Grad I	NOT_APPLICABLE	1	STRAIGHTFORWARD_WORKING_READING	Der gewählte Vorkommensdefault liest sich im vollständigen Werkstattkontext unmittelbar brauchbar.	Y_OCCURRENCE_DEFAULT_COMPLETED	OCCURRENCE_LEVEL_Y_ONLY__LOCAL_DONOR_OR_RESET_TARGET_DEFAULT__GDT569_AND_BADEGUT_RIVALS_RETAINED__NO_GLOBAL_Y_LEXEME_OR_NEW_PAGE
