phrase_id	page	locus	token_index	carrier_surface	quality_core	d_value_surface	working_value	working_roman	contextual_role	working_reading_de	phrase_line_end	all_expression_tokens_stable	surface_line
G628-L001	f100r	f100r.25	3	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G628-L002	f102r1	f102r1.5	9	qokol	k	dain	2	II	QUALITY_DEGREE	im qo-Qualitätsrahmen: heiß, Grad II	1	0	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain
G628-L003	f102r1	f102r1.15	2	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	0	or chol daiin dykeor sheey qokeody dor os ykeeykam
G628-L004	f104v	f104v.11	8	qokol	k	daiin	3	III	QUALITY_DEGREE	im qo-Qualitätsrahmen: heiß, Grad III	1	1	ycheedy qoy ykchedor cheeky qokchd qotol qokol qokol daiin
G628-L005	f10r	f10r.8	6	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	qotchor chor otol chol cholor chol daiin dar
G628-L006	f10v	f10v.5	6	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	sho ykeey daiin qotchy qotor chol daiin qokchy ky
G628-L007	f11r	f11r.2	8	kchol	kch	daiin	3	III	QUALITY_DEGREE	unmarkiert: heiß-trocken, Grad III	1	1	socthody qodor y kshy daiin ytchy ytchoky kchol daiin
G628-L008	f14v	f14v.2	9	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	1	1	okchor d chytshy oty chy cthy otchy ty chol daiin
G628-L009	f15r	f15r.14	3	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	otcho kchy chol daiin ar ytol dor dom
G628-L010	f15v	f15v.8	6	shol	sh	daiin	3	III	QUALITY_DEGREE	unmarkiert: feucht, Grad III	1	0	ytchor chor ol oiin oty shol daiin
G628-L011	f15v	f15v.11	4	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	sol oiin cheor chol daiin cthy
G628-L012	f16r	f16r.8	5	otol	t	daiin	3	III	QUALITY_DEGREE	im o-Rahmen: kalt, Grad III	1	1	shotchy ydain yky shody otol daiin
G628-L013	f17r	f17r.11	4	chol	ch	daiiin	4	IV	QUALITY_DEGREE	unmarkiert: trocken, Grad IV	1	1	otchol cthar okaiin chol daiiin
G628-L014	f18r	f18r.2	7	chol	ch	dain	2	II	QUALITY_DEGREE	unmarkiert: trocken, Grad II	1	0	otshol qokchol chykchy okchal daiin dy chol dain
G628-L015	f18v	f18v.7	4	qokol	k	daiin	3	III	QUALITY_DEGREE	im qo-Qualitätsrahmen: heiß, Grad III	0	1	ychol dor chod qokol daiin qokol dar dy
G628-L016	f19v	f19v.3	2	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	0	otchy chol daiin qotol ytol daiiin
G628-L017	f19v	f19v.4	3	qotol	t	daiin	3	III	QUALITY_DEGREE	im qo-Qualitätsrahmen: kalt, Grad III	0	0	ytch chcthy qotol daiin daiin
G628-L018	f20v	f20v.4	4	shol	sh	daiin	3	III	QUALITY_DEGREE	unmarkiert: feucht, Grad III	1	1	sho or aiin shol daiin
G628-L019	f20v	f20v.10	3	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	shokaiin chocthy chol daiin chy chor ety
G628-L020	f21r	f21r.12	6	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	ykeey chor sheey ysheol chor chol daiin chkaiin
G628-L021	f21v	f21v.2	7	tchol	tch	daiin	3	III	QUALITY_DEGREE	unmarkiert: kalt-trocken, Grad III	1	1	oeeesoy qokchy chody qotchy qokchy choty tchol daiin
G628-L022	f21v	f21v.3	7	qotol	t	daiin	3	III	QUALITY_DEGREE	im qo-Qualitätsrahmen: kalt, Grad III	0	1	qotol keeees chotchy tcho choty chor qotol daiin dal
G628-L023	f21v	f21v.4	4	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	sho chodaiin choty chol daiin daiin chty chtol
G628-L024	f22r	f22r.2	6	qokchol	kch	daiin	3	III	QUALITY_DEGREE	im qo-Qualitätsrahmen: heiß-trocken, Grad III	0	1	ol oiin shol o kor qokchol daiin okaiin cthor dain ckhy dom
G628-L025	f22v	f22v.8	3	qokol	k	daiin	3	III	QUALITY_DEGREE	im qo-Qualitätsrahmen: heiß, Grad III	0	1	qotchy cthy qokol daiin dam
G628-L026	f22v	f22v.14	3	shol	sh	daiin	3	III	QUALITY_DEGREE	unmarkiert: feucht, Grad III	1	1	qotchy olshly shol daiin
G628-L027	f23r	f23r.2	11	okchol	kch	dain	2	II	QUALITY_DEGREE	im o-Rahmen: heiß-trocken, Grad II	0	0	to ar chor daiin chk dain otchy lolchor daiin dam okchol dain g
G628-L028	f23v	f23v.6	4	okol	k	daiin	3	III	QUALITY_DEGREE	im o-Rahmen: heiß, Grad III	0	1	tshol shor shkshy okol daiin otshor olsar
G628-L029	f23v	f23v.7	5	qokol	k	daiin	3	III	QUALITY_DEGREE	im qo-Qualitätsrahmen: heiß, Grad III	0	1	otor oiin sho shol qokol daiin sol daiin ylg
G628-L030	f24r	f24r.18	2	chol	ch	daiin	3	III	QUALITY_DEGREE	unmarkiert: trocken, Grad III	0	1	ycheol chol daiin chol s
