surface	extension_class	left_extension	right_extension	working_parse	occurrences	pages	triple_stable_occurrences	example_loci
chol	EXACT	NONE	NONE	QUALITY_CARRIER_LATTICE	343	125	303	f100r.15|f100r.23|f100r.25|f100r.26|f100r.27|f100v.15|f100v.16
otchol	LEFT_EXTENSION	ot	NONE	QUALITY_CARRIER_LATTICE	27	25	24	f13r.5|f13v.2|f15v.9|f17r.2|f17r.11|f19v.14|f23r.1|f23v.2
kchol	LEFT_EXTENSION	k	NONE	QUALITY_CARRIER_LATTICE	24	20	19	f10v.3|f113r.6|f11r.2|f13r.5|f17v.9|f19v.2|f20v.3|f22r.7
dchol	LEFT_EXTENSION	d	NONE	PRODUCTIVE_EXTENSION_OPEN	21	21	20	f115r.31|f11r.4|f13r.2|f16v.4|f19v.8|f22r.12|f27r.2|f2r.6
tchol	LEFT_EXTENSION	t	NONE	QUALITY_CARRIER_LATTICE	16	14	11	f113r.27|f11r.5|f17v.5|f21r.11|f21v.2|f22v.9|f44r.6|f45r.8
qokchol	LEFT_EXTENSION	qok	NONE	QUALITY_CARRIER_LATTICE	15	11	15	f104r.38|f10r.7|f14r.5|f18r.2|f18r.3|f18r.10|f22r.2|f22v.7
qotchol	LEFT_EXTENSION	qot	NONE	QUALITY_CARRIER_LATTICE	13	11	13	f10r.5|f13r.6|f18v.5|f20r.1|f21r.2|f21r.10|f32r.2|f45r.9
choly	RIGHT_EXTENSION	NONE	y	CHOL_CLOSURE_FORM	12	12	10	f28v.9|f29r.3|f35r.1|f35v.17|f42v.14|f56r.2|f58v.6|f76r.54
okchol	LEFT_EXTENSION	ok	NONE	QUALITY_CARRIER_LATTICE	10	8	9	f102v2.34|f11r.7|f23r.2|f42r.23|f45v.2|f52r.3|f52r.6
ychol	LEFT_EXTENSION	y	NONE	PRODUCTIVE_EXTENSION_OPEN	10	10	9	f106r.14|f107r.15|f14r.6|f17v.5|f18v.7|f24v.9|f6r.8|f6v.7
choldy	RIGHT_EXTENSION	NONE	dy	CHOL_CLOSURE_FORM	8	8	5	f103r.33|f11v.3|f19r.11|f20v.1|f47r.2|f4v.2|f58r.12|f89v1.20
opchol	LEFT_EXTENSION	op	NONE	PRODUCTIVE_EXTENSION_OPEN	6	6	5	f107v.16|f22r.10|f23v.1|f28r.1|f30r.8|f3r.18
ykchol	LEFT_EXTENSION	yk	NONE	PRODUCTIVE_EXTENSION_OPEN	6	5	5	f18r.1|f18r.4|f19v.13|f50v.8|f51r.10|f89v1.16
cholkaiin	RIGHT_EXTENSION	NONE	kaiin	PRODUCTIVE_EXTENSION_OPEN	5	5	4	f106v.36|f113v.9|f82v.13|f86v6.14|f95r1.8
