case_id	page	locus	surface_expression	segmentation	working_reading_de	reading_type	triple_expression_exact	reader_status	reader_note	surface_line
DRY_I	f2r	f2r.7	chol dan	ch+ol | d+a+I	trocken, ersten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	shor ckhy daiiny chol dan
DRY_II	f47v	f47v.9	chol dain	ch+ol | d+a+II	trocken, zweiten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	qotcheey chety chol chol dain
DRY_III	f37v	f37v.23	chol daiin	ch+ol | d+a+III	trocken, dritten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	yto chol daiin
DRY_IV	f17r	f17r.11	chol daiiin	ch+ol | d+a+IV	trocken, vierten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	otchol cthar okaiin chol daiiin
HOT_II	f102r1	f102r1.5	qokol dain	qo+k+ol | d+a+II	heiß im qo-Rahmen, zweiten Grades	QUALITY_DEGREE	0	TRANSCRIPTION_VARIANT	Ausdruck fehlt als exakte Folge in RF1b	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain
HOT_III	f3r	f3r.16	qokol daiin	qo+k+ol | d+a+III	heiß im qo-Rahmen, dritten Grades	QUALITY_DEGREE	0	TRANSCRIPTION_VARIANT	Ausdruck fehlt als exakte Folge in RF1b	oteol chol s cheol ekshy qokeom qokol daiin soleeg
HOT_IV	f53v	f53v.4	qokol daiiin	qo+k+ol | d+a+IV	heiß im qo-Rahmen, vierten Grades	QUALITY_DEGREE	0	TRANSCRIPTION_VARIANT	Ausdruck fehlt als exakte Folge in IT2a	qokol daiiin qockhor okchor daiio dain d
COLD_III	f19v	f19v.4	qotol daiin	qo+t+ol | d+a+III	kalt im qo-Rahmen, dritten Grades	QUALITY_DEGREE	0	TRANSCRIPTION_VARIANT	Ausdruck fehlt als exakte Folge in RF1b	ytch chcthy qotol daiin daiin
MOIST_II	f27r	f27r.2	shol dain	sh+ol | d+a+II	feucht, zweiten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	dy ain shol dain dar shokyd dchol cthey ds
MOIST_III	f20v	f20v.4	shol daiin	sh+ol | d+a+III	feucht, dritten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	sho or aiin shol daiin
HOT_DRY_III	f11r	f11r.2	kchol daiin	k+ch+ol | d+a+III	heiß-trocken, dritten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	socthody qodor y kshy daiin ytchy ytchoky kchol daiin
COLD_DRY_II	f47r	f47r.10	tchol dain	t+ch+ol | d+a+II	kalt-trocken, zweiten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	shy otcho keey tor chey otchy tchol dain dam
COLD_DRY_III	f21v	f21v.2	tchol daiin	t+ch+ol | d+a+III	kalt-trocken, dritten Grades	QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	oeeesoy qokchy chody qotchy qokchy choty tchol daiin
DRY_III_DIRECT	f2r	f2r.10	cholaiin	ch+ol+a+III	trocken, dritten Grades	DIRECT_QUALITY_VALUE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	qoky cholaiin shol sheky daiin cthey keol saiin eaiin
DRY_III_FUSED	f17v	f17v.8	choldaiin	ch+ol+d+a+III	trocken, dritten Grades	FUSED_QUALITY_VALUE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	qokeey kchar ol dy choldaiin sy
F17_TWO_GRADES	f17r	f17r.11	cthar okaiin chol daiiin	cth-Part | o+k+a+III | ch+ol | d+a+IV	vegetatives Gut: heiß Grad III; trocken Grad IV	PART_WITH_TWO_QUALITY_GRADES	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	otchol cthar okaiin chol daiiin
F51_MATCHED_III	f51v	f51v.6	qotaiin otykol chol daiin	qo+t+a+III | ... | ch+ol | d+a+III	kalt Grad III; ...; trocken Grad III	SAME_LINE_QUALITY_GRADES	0	TRANSCRIPTION_VARIANT	Ausdruck fehlt als exakte Folge in RF1b	okor ctheody qocphy qokal qotaiin otykol chol daiin
F14_LEAF_DRY_III	f14v	f14v.2	cthy otchy ty chol daiin	cthy | o+t+ch+y | ... | ch+ol | d+a+III	Blattgut, kalt-trocken; Trockenheit Grad III	PART_QUALITY_DEGREE	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	okchor d chytshy oty chy cthy otchy ty chol daiin
F45_OR_PART	f45v	f45v.2	chor daiin cthy	chor | d+a+III | cthy	Pflanzenteil: drei Maße oder Grad III; danach Blattgut	OR_PART_VALUE_RIVAL	1	TRIPLE_EXACT	alle drei Lesungen tragen den Ausdruck	okol chor daiin cthy okchol chom okolor dy okchol s
