wrapper	quality_core	ending	surface	composition	role	working_meaning_de	occurrences	pages	loci	triple_stable_occurrences	occupied
BARE	NONE	OL	ol	BARE+NONE+ol	BASE_CARRIER	Eigenschafts-/Zustands-/Materialträger; genaue Wortbedeutung offen	463	108	417	376	1
BARE	NONE	OR	or	BARE+NONE+or	BASE_NOMINAL_PART_CARRIER	Teil-/Nominalträger; genaue Wortbedeutung offen	321	114	285	235	1
BARE	k	OL	kol	BARE+k+ol	QUALITY_STATE_CARRIER	heiße Zustands-/Materialform; flüssig meist heiß	30	27	29	20	1
BARE	k	OR	kor	BARE+k+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	20	20	20	13	1
BARE	t	OL	tol	BARE+t+ol	QUALITY_STATE_CARRIER	kalte Zustands-/Materialform; flüssig meist kalt	34	25	34	27	1
BARE	t	OR	tor	BARE+t+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	17	17	17	12	1
BARE	ch	OL	chol	BARE+ch+ol	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	343	125	297	303	1
BARE	ch	OR	chor	BARE+ch+or	PART_TERM__QUALITY_RIVAL	Pflanzen-/Reproduktionsteil; ch-Qualitätskomposition bleibt Nebenlesung	190	97	176	176	1
BARE	sh	OL	shol	BARE+sh+ol	QUALITY_STATE_CARRIER	feuchte Zustands-/Materialform; flüssig meist feucht	163	86	151	146	1
BARE	sh	OR	shor	BARE+sh+or	PART_TERM__QUALITY_RIVAL	Blüten-/Fruchtstand; sh-Qualitätskomposition bleibt Nebenlesung	91	62	85	77	1
BARE	kch	OL	kchol	BARE+kch+ol	QUALITY_STATE_CARRIER	heiß-trockene Zustands-/Materialform; flüssig meist heiß-trocken	24	20	24	19	1
BARE	kch	OR	kchor	BARE+kch+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-trocken-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	19	19	19	18	1
BARE	ksh	OL	kshol	BARE+ksh+ol	QUALITY_STATE_CARRIER	heiß-feuchte Zustands-/Materialform; flüssig meist heiß-feucht	2	2	2	2	1
BARE	ksh	OR	kshor	BARE+ksh+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit heiß-feucht-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	2	2	2	2	1
BARE	tch	OL	tchol	BARE+tch+ol	QUALITY_STATE_CARRIER	kalt-trockene Zustands-/Materialform; flüssig meist kalt-trocken	16	14	16	11	1
BARE	tch	OR	tchor	BARE+tch+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-trocken-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	21	18	21	17	1
BARE	tsh	OL	tshol	BARE+tsh+ol	QUALITY_STATE_CARRIER	kalt-feuchte Zustands-/Materialform; flüssig meist kalt-feucht	6	6	6	6	1
BARE	tsh	OR	tshor	BARE+tsh+or	OR_NOMINAL_OR_PART_CARRIER	or-Träger mit kalt-feucht-Kern; Teil-/Nominalform gegen Qualitätsallomorph offen	3	3	3	2	1
