occurrence_id	page	locus	token_index	surface	wrapper	quality_core	ending	role	working_meaning_de	left_surface	right_surface	position	section	hand	triple_reading_token_stable	surface_line
G628-O0001	f100r	f100r.14	1	shor	BARE	sh	OR	PART_TERM__QUALITY_RIVAL	Blüten-/Fruchtstand; sh-Qualitätskomposition bleibt Nebenlesung	<START>	chkeey	FIRST	P	1	1	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykeeeo
G628-O0002	f100r	f100r.15	2	shol	BARE	sh	OL	QUALITY_STATE_CARRIER	feuchte Zustands-/Materialform; flüssig meist feucht	dcheor	qokeeol	MIDDLE	P	1	1	dcheor shol qokeeol chor chol qokeeody dareu
G628-O0003	f100r	f100r.15	4	chor	BARE	ch	OR	PART_TERM__QUALITY_RIVAL	Pflanzen-/Reproduktionsteil; ch-Qualitätskomposition bleibt Nebenlesung	qokeeol	chol	MIDDLE	P	1	1	dcheor shol qokeeol chor chol qokeeody dareu
G628-O0004	f100r	f100r.15	5	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	chor	qokeeody	MIDDLE	P	1	1	dcheor shol qokeeol chor chol qokeeody dareu
G628-O0005	f100r	f100r.23	2	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	soiin	cphol	MIDDLE	P	1	1	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G628-O0006	f100r	f100r.23	4	shol	BARE	sh	OL	QUALITY_STATE_CARRIER	feuchte Zustands-/Materialform; flüssig meist feucht	cphol	shol	MIDDLE	P	1	1	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G628-O0007	f100r	f100r.23	5	shol	BARE	sh	OL	QUALITY_STATE_CARRIER	feuchte Zustands-/Materialform; flüssig meist feucht	shol	qockhol	MIDDLE	P	1	1	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G628-O0008	f100r	f100r.23	7	chor	BARE	ch	OR	PART_TERM__QUALITY_RIVAL	Pflanzen-/Reproduktionsteil; ch-Qualitätskomposition bleibt Nebenlesung	qockhol	chol	MIDDLE	P	1	1	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G628-O0009	f100r	f100r.23	8	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	chor	sho	MIDDLE	P	1	1	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G628-O0010	f100r	f100r.25	3	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	qkeeody	daiin	MIDDLE	P	1	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G628-O0011	f100r	f100r.26	3	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	chekeey	cholody	MIDDLE	P	1	1	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al
G628-O0012	f100r	f100r.27	1	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	<START>	cheol	FIRST	P	1	1	chol cheol cho chckheody otolchey
G628-O0013	f100v	f100v.14	6	chor	BARE	ch	OR	PART_TERM__QUALITY_RIVAL	Pflanzen-/Reproduktionsteil; ch-Qualitätskomposition bleibt Nebenlesung	ar	oteey	MIDDLE	P	1	1	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo
G628-O0014	f100v	f100v.15	4	ol	BARE	NONE	OL	BASE_CARRIER	Eigenschafts-/Zustands-/Materialträger; genaue Wortbedeutung offen	dair	cheol	MIDDLE	P	1	0	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s
G628-O0015	f100v	f100v.15	7	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	qoolkeey	cheey	MIDDLE	P	1	1	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s
G628-O0016	f100v	f100v.16	2	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	ykeeol	chey	MIDDLE	P	1	1	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy
G628-O0017	f100v	f100v.17	4	okol	o	k	OL	QUALITY_STATE_CARRIER	heiße Zustands-/Materialform; flüssig meist heiß	qokeol	chol	MIDDLE	P	1	1	chockhey sholkcheol qokeol okol chol chotor chso solcthy
G628-O0018	f100v	f100v.17	5	chol	BARE	ch	OL	QUALITY_STATE_CARRIER	trockene Zustands-/Materialform; flüssig meist trocken	okol	chotor	MIDDLE	P	1	1	chockhey sholkcheol qokeol okol chol chotor chso solcthy
G628-O0019	f100v	f100v.18	3	ol	BARE	NONE	OL	BASE_CARRIER	Eigenschafts-/Zustands-/Materialträger; genaue Wortbedeutung offen	s	cheo	MIDDLE	P	1	0	tachso s ol cheo cheeor odaidy ckhod sh chod qokeol sal
