base_surface	wrapper	quality_core	ending	working_value	working_roman	realization_mode	predicted_surface	occurrences	pages	triple_stable_occurrences	occupied
ol	BARE	NONE	OL	1	I	DIRECT_A_VALUE	olan	1	1	1	1
ol	BARE	NONE	OL	1	I	FUSED_D_VALUE	oldan	0	0	0	0
ol	BARE	NONE	OL	1	I	SEPARATE_D_VALUE	ol dan	0	0	0	0
ol	BARE	NONE	OL	2	II	DIRECT_A_VALUE	olain	11	9	10	1
ol	BARE	NONE	OL	2	II	FUSED_D_VALUE	oldain	1	1	1	1
ol	BARE	NONE	OL	2	II	SEPARATE_D_VALUE	ol dain	3	3	2	1
ol	BARE	NONE	OL	3	III	DIRECT_A_VALUE	olaiin	39	31	32	1
ol	BARE	NONE	OL	3	III	FUSED_D_VALUE	oldaiin	7	7	5	1
ol	BARE	NONE	OL	3	III	SEPARATE_D_VALUE	ol daiin	8	8	6	1
ol	BARE	NONE	OL	4	IV	DIRECT_A_VALUE	olaiiin	1	1	1	1
ol	BARE	NONE	OL	4	IV	FUSED_D_VALUE	oldaiiin	0	0	0	0
ol	BARE	NONE	OL	4	IV	SEPARATE_D_VALUE	ol daiiin	0	0	0	0
or	BARE	NONE	OR	1	I	DIRECT_A_VALUE	oran	0	0	0	0
or	BARE	NONE	OR	1	I	FUSED_D_VALUE	ordan	0	0	0	0
or	BARE	NONE	OR	1	I	SEPARATE_D_VALUE	or dan	0	0	0	0
or	BARE	NONE	OR	2	II	DIRECT_A_VALUE	orain	16	14	14	1
or	BARE	NONE	OR	2	II	FUSED_D_VALUE	ordain	0	0	0	0
or	BARE	NONE	OR	2	II	SEPARATE_D_VALUE	or dain	2	2	2	1
or	BARE	NONE	OR	3	III	DIRECT_A_VALUE	oraiin	26	22	21	1
or	BARE	NONE	OR	3	III	FUSED_D_VALUE	ordaiin	1	1	1	1
or	BARE	NONE	OR	3	III	SEPARATE_D_VALUE	or daiin	2	2	0	1
or	BARE	NONE	OR	4	IV	DIRECT_A_VALUE	oraiiin	1	1	1	1
or	BARE	NONE	OR	4	IV	FUSED_D_VALUE	ordaiiin	0	0	0	0
or	BARE	NONE	OR	4	IV	SEPARATE_D_VALUE	or daiiin	0	0	0	0
kol	BARE	k	OL	1	I	DIRECT_A_VALUE	kolan	0	0	0	0
kol	BARE	k	OL	1	I	FUSED_D_VALUE	koldan	0	0	0	0
kol	BARE	k	OL	1	I	SEPARATE_D_VALUE	kol dan	0	0	0	0
kol	BARE	k	OL	2	II	DIRECT_A_VALUE	kolain	0	0	0	0
kol	BARE	k	OL	2	II	FUSED_D_VALUE	koldain	0	0	0	0
kol	BARE	k	OL	2	II	SEPARATE_D_VALUE	kol dain	0	0	0	0
kol	BARE	k	OL	3	III	DIRECT_A_VALUE	kolaiin	0	0	0	0
kol	BARE	k	OL	3	III	FUSED_D_VALUE	koldaiin	0	0	0	0
kol	BARE	k	OL	3	III	SEPARATE_D_VALUE	kol daiin	2	2	2	1
kol	BARE	k	OL	4	IV	DIRECT_A_VALUE	kolaiiin	0	0	0	0
kol	BARE	k	OL	4	IV	FUSED_D_VALUE	koldaiiin	0	0	0	0
kol	BARE	k	OL	4	IV	SEPARATE_D_VALUE	kol daiiin	0	0	0	0
kor	BARE	k	OR	1	I	DIRECT_A_VALUE	koran	0	0	0	0
kor	BARE	k	OR	1	I	FUSED_D_VALUE	kordan	0	0	0	0
kor	BARE	k	OR	1	I	SEPARATE_D_VALUE	kor dan	0	0	0	0
kor	BARE	k	OR	2	II	DIRECT_A_VALUE	korain	1	1	0	1
kor	BARE	k	OR	2	II	FUSED_D_VALUE	kordain	0	0	0	0
kor	BARE	k	OR	2	II	SEPARATE_D_VALUE	kor dain	0	0	0	0
kor	BARE	k	OR	3	III	DIRECT_A_VALUE	koraiin	1	1	1	1
kor	BARE	k	OR	3	III	FUSED_D_VALUE	kordaiin	0	0	0	0
kor	BARE	k	OR	3	III	SEPARATE_D_VALUE	kor daiin	0	0	0	0
kor	BARE	k	OR	4	IV	DIRECT_A_VALUE	koraiiin	0	0	0	0
kor	BARE	k	OR	4	IV	FUSED_D_VALUE	kordaiiin	0	0	0	0
kor	BARE	k	OR	4	IV	SEPARATE_D_VALUE	kor daiiin	0	0	0	0
tol	BARE	t	OL	1	I	DIRECT_A_VALUE	tolan	0	0	0	0
tol	BARE	t	OL	1	I	FUSED_D_VALUE	toldan	0	0	0	0
tol	BARE	t	OL	1	I	SEPARATE_D_VALUE	tol dan	0	0	0	0
tol	BARE	t	OL	2	II	DIRECT_A_VALUE	tolain	1	1	1	1
tol	BARE	t	OL	2	II	FUSED_D_VALUE	toldain	0	0	0	0
tol	BARE	t	OL	2	II	SEPARATE_D_VALUE	tol dain	0	0	0	0
tol	BARE	t	OL	3	III	DIRECT_A_VALUE	tolaiin	0	0	0	0
tol	BARE	t	OL	3	III	FUSED_D_VALUE	toldaiin	0	0	0	0
tol	BARE	t	OL	3	III	SEPARATE_D_VALUE	tol daiin	1	1	1	1
tol	BARE	t	OL	4	IV	DIRECT_A_VALUE	tolaiiin	0	0	0	0
tol	BARE	t	OL	4	IV	FUSED_D_VALUE	toldaiiin	0	0	0	0
tol	BARE	t	OL	4	IV	SEPARATE_D_VALUE	tol daiiin	0	0	0	0
tor	BARE	t	OR	1	I	DIRECT_A_VALUE	toran	0	0	0	0
tor	BARE	t	OR	1	I	FUSED_D_VALUE	tordan	0	0	0	0
tor	BARE	t	OR	1	I	SEPARATE_D_VALUE	tor dan	0	0	0	0
tor	BARE	t	OR	2	II	DIRECT_A_VALUE	torain	1	1	1	1
tor	BARE	t	OR	2	II	FUSED_D_VALUE	tordain	0	0	0	0
tor	BARE	t	OR	2	II	SEPARATE_D_VALUE	tor dain	0	0	0	0
tor	BARE	t	OR	3	III	DIRECT_A_VALUE	toraiin	0	0	0	0
tor	BARE	t	OR	3	III	FUSED_D_VALUE	tordaiin	0	0	0	0
tor	BARE	t	OR	3	III	SEPARATE_D_VALUE	tor daiin	0	0	0	0
tor	BARE	t	OR	4	IV	DIRECT_A_VALUE	toraiiin	0	0	0	0
tor	BARE	t	OR	4	IV	FUSED_D_VALUE	tordaiiin	0	0	0	0
tor	BARE	t	OR	4	IV	SEPARATE_D_VALUE	tor daiiin	0	0	0	0
chol	BARE	ch	OL	1	I	DIRECT_A_VALUE	cholan	0	0	0	0
chol	BARE	ch	OL	1	I	FUSED_D_VALUE	choldan	0	0	0	0
chol	BARE	ch	OL	1	I	SEPARATE_D_VALUE	chol dan	2	1	2	1
chol	BARE	ch	OL	2	II	DIRECT_A_VALUE	cholain	0	0	0	0
chol	BARE	ch	OL	2	II	FUSED_D_VALUE	choldain	0	0	0	0
chol	BARE	ch	OL	2	II	SEPARATE_D_VALUE	chol dain	4	4	3	1
chol	BARE	ch	OL	3	III	DIRECT_A_VALUE	cholaiin	3	3	2	1
chol	BARE	ch	OL	3	III	FUSED_D_VALUE	choldaiin	3	3	1	1
chol	BARE	ch	OL	3	III	SEPARATE_D_VALUE	chol daiin	29	27	25	1
chol	BARE	ch	OL	4	IV	DIRECT_A_VALUE	cholaiiin	0	0	0	0
chol	BARE	ch	OL	4	IV	FUSED_D_VALUE	choldaiiin	0	0	0	0
chol	BARE	ch	OL	4	IV	SEPARATE_D_VALUE	chol daiiin	2	2	2	1
chor	BARE	ch	OR	1	I	DIRECT_A_VALUE	choran	0	0	0	0
chor	BARE	ch	OR	1	I	FUSED_D_VALUE	chordan	0	0	0	0
chor	BARE	ch	OR	1	I	SEPARATE_D_VALUE	chor dan	0	0	0	0
chor	BARE	ch	OR	2	II	DIRECT_A_VALUE	chorain	2	2	1	1
chor	BARE	ch	OR	2	II	FUSED_D_VALUE	chordain	0	0	0	0
chor	BARE	ch	OR	2	II	SEPARATE_D_VALUE	chor dain	1	1	1	1
chor	BARE	ch	OR	3	III	DIRECT_A_VALUE	choraiin	3	3	3	1
chor	BARE	ch	OR	3	III	FUSED_D_VALUE	chordaiin	0	0	0	0
