phrase_id	page	locus	token_index	carrier_surface	quality_core	d_value_surface	working_value	working_roman	contextual_role	working_reading_de	phrase_line_end	all_expression_tokens_stable	surface_line
G628-R001	f14r	f14r.3	3	kchor	kch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	kchor-Träger: 3 Maß/Portion oder Grad III	0	1	ydaiin olchy kchor daiin olol
G628-R002	f19r	f19r.12	2	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	0	0	ykchor chor daiin daiinol
G628-R003	f19v	f19v.10	2	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	0	1	daiin chor daiin qokor y okchan
G628-R004	f19v	f19v.11	3	okchor	kch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	okchor-Träger: 3 Maß/Portion oder Grad III	0	1	qotol dor okchor daiin cthor otam
G628-R005	f22r	f22r.10	2	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	0	1	kchol chor daiin cthoiin dchor chey qokol dy opchol oldam
G628-R006	f23r	f23r.2	3	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	0	1	to ar chor daiin chk dain otchy lolchor daiin dam okchol dain g
G628-R007	f25v	f25v.2	3	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	0	1	dchor cthor chor daiin s okeeaiin daiin ckhey daiin
G628-R008	f28v	f28v.4	8	shor	sh	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	reproduktiver Teil: 3 Maß/Portion oder Grad III	0	1	tshoiin cheor chor o chty qotol sheol shor daiin qoty
G628-R009	f29r	f29r.6	4	shor	sh	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	reproduktiver Teil: 3 Maß/Portion oder Grad III	0	1	chokshy shocthy shor shor daiin qokaiiin
G628-R010	f29v	f29v.7	2	kchor	kch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	kchor-Träger: 3 Maß/Portion oder Grad III	0	1	qotcho kchor daiin ykaiin dy shdy chocthy sheky
G628-R011	f2v	f2v.2	8	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	1	1	kcho kchy sho shol qotcho loeees qoty chor daiin
G628-R012	f32v	f32v.3	1	shor	sh	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	reproduktiver Teil: 3 Maß/Portion oder Grad III	0	1	shor daiin chckhy dsho dain daiin s shokey ka
G628-R013	f35r	f35r.14	5	otchor	tch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	otchor-Träger: 3 Maß/Portion oder Grad III	0	1	cthol chol aiin qotchy otchor daiin shol qotaiin
G628-R014	f37r	f37r.7	4	qokor	k	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	qokor-Träger: 3 Maß/Portion oder Grad III	1	1	sor chey kor qokor daiin
G628-R015	f37r	f37r.11	1	okchor	kch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	okchor-Träger: 3 Maß/Portion oder Grad III	0	1	okchor daiin ckhy dain daiin
G628-R016	f37v	f37v.7	1	qotchor	tch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	qotchor-Träger: 3 Maß/Portion oder Grad III	1	1	qotchor daiin
G628-R017	f37v	f37v.16	1	qotor	t	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	qotor-Träger: 3 Maß/Portion oder Grad III	0	1	qotor daiin chotaiin
G628-R018	f42v	f42v.1	7	chor	ch	dain	2	II	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 2 Maß/Portion oder Grad II	1	1	cho sheey qocho taiin shols chol chor dain
G628-R019	f45v	f45v.2	2	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	0	1	okol chor daiin cthy okchol chom okolor dy okchol s
G628-R020	f49v	f49v.38	5	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	0	0	chokeo sho cheor cheokchet chor daiin dy daiin qokg
G628-R021	f58v	f58v.6	4	shor	sh	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	reproduktiver Teil: 3 Maß/Portion oder Grad III	0	0	qokair ar aly shor daiin choly dal ykaiin org fchey okaly oky
G628-R022	f5v	f5v.3	5	otchor	tch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	otchor-Träger: 3 Maß/Portion oder Grad III	0	0	qotcho ytor daiin daiin otchor daiin qo darchor do
G628-R023	f7r	f7r.10	3	chor	ch	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	Pflanzenteil: 3 Maß/Portion oder Grad III	0	1	s chain chor daiin chckhy
G628-R024	f88r	f88r.8	6	qokor	k	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	qokor-Träger: 3 Maß/Portion oder Grad III	0	0	ral sheom keol chear shekor qokor daiin sar s aiin oky sam
G628-R025	f9v	f9v.1	4	shor	sh	daiin	3	III	PART_AMOUNT_OR_QUALITY_DEGREE	reproduktiver Teil: 3 Maß/Portion oder Grad III	0	0	fochor oporody opy shor daiin qopchypcho qofol shol cfhol daiin
