chol_id	page	locus	token_index	surface	composition	working_meaning_de	left_surface	right_surface	position	section	hand	triple_reading_token_stable	surface_line
G628-H001	f100r	f100r.15	5	chol	ch+ol	trocken; nominal trockenes Gut/Material	chor	qokeeody	MIDDLE	P	1	1	dcheor shol qokeeol chor chol qokeeody dareu
G628-H002	f100r	f100r.23	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	soiin	cphol	MIDDLE	P	1	1	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G628-H003	f100r	f100r.23	8	chol	ch+ol	trocken; nominal trockenes Gut/Material	chor	sho	MIDDLE	P	1	1	soiin chol cphol shol shol qockhol chor chol sho keey y ykeeam
G628-H004	f100r	f100r.25	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	qkeeody	daiin	MIDDLE	P	1	1	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G628-H005	f100r	f100r.26	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	chekeey	cholody	MIDDLE	P	1	1	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al
G628-H006	f100r	f100r.27	1	chol	ch+ol	trocken; nominal trockenes Gut/Material	<START>	cheol	FIRST	P	1	1	chol cheol cho chckheody otolchey
G628-H007	f100v	f100v.15	7	chol	ch+ol	trocken; nominal trockenes Gut/Material	qoolkeey	cheey	MIDDLE	P	1	1	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotol s
G628-H008	f100v	f100v.16	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	ykeeol	chey	MIDDLE	P	1	1	ykeeol chol chey eeoseeo s sheeo okeol ches okeor okeol dy
G628-H009	f100v	f100v.17	5	chol	ch+ol	trocken; nominal trockenes Gut/Material	okol	chotor	MIDDLE	P	1	1	chockhey sholkcheol qokeol okol chol chotor chso solcthy
G628-H010	f102r1	f102r1.5	7	chol	ch+ol	trocken; nominal trockenes Gut/Material	oraroekeol	ekey	MIDDLE	P	1	1	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain
G628-H011	f102r1	f102r1.10	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	sholdy	chol	MIDDLE	P	1	1	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy
G628-H012	f102r1	f102r1.10	4	chol	ch+ol	trocken; nominal trockenes Gut/Material	chol	ykeeol	MIDDLE	P	1	1	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy
G628-H013	f102r1	f102r1.15	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	or	daiin	MIDDLE	P	1	1	or chol daiin dykeor sheey qokeody dor os ykeeykam
G628-H014	f102v1	f102v1.11	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	sol	qooiin	MIDDLE	P	1	1	sol chol qooiin qokol cheol chey kolcheey daiin cheody dy
G628-H015	f102v2	f102v2.22	7	chol	ch+ol	trocken; nominal trockenes Gut/Material	oiir	sheey	MIDDLE	P	1	1	dain or aiin cheol s oiir chol sheey qockhy ol keo r okeody okeor cho
G628-H016	f103r	f103r.10	5	chol	ch+ol	trocken; nominal trockenes Gut/Material	okeol	okam	MIDDLE	S	3	0	daiin ol oain okeol chol okam chety shedy otaiin shedy teolshy oteedy sor ain
G628-H017	f103r	f103r.31	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	soiin	kaiin	MIDDLE	S	3	0	soiin chol kaiin chal okaiin shckhy qokal shdar shchdy okaiin chty
G628-H018	f103r	f103r.46	1	chol	ch+ol	trocken; nominal trockenes Gut/Material	<START>	keey	FIRST	S	3	0	chol keey qokeey cheol chorol shedy qokeey qokeey ol loiin chedan
G628-H019	f103v	f103v.7	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	shey	chey	MIDDLE	S	3	1	daiin shey chol chey oteey lkeeor okaiin shedy shedy qokaiin ol chedydy
G628-H020	f103v	f103v.38	7	chol	ch+ol	trocken; nominal trockenes Gut/Material	chey	keechy	MIDDLE	S	3	0	oteey l chees ol chey chey chol keechy
G628-H021	f104r	f104r.20	5	chol	ch+ol	trocken; nominal trockenes Gut/Material	qokaiin	rar	MIDDLE	S	3	1	dsheoy qocthey qokchdy qokaiin chol rar cheody cheeekan ar ain ar alam
G628-H022	f104r	f104r.23	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	sheockhey	kechdy	MIDDLE	S	3	1	ol sheockhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol
G628-H023	f104r	f104r.23	7	chol	ch+ol	trocken; nominal trockenes Gut/Material	lkain	keeody	MIDDLE	S	3	1	ol sheockhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol
G628-H024	f104r	f104r.23	11	chol	ch+ol	trocken; nominal trockenes Gut/Material	aiir	kar	MIDDLE	S	3	0	ol sheockhey chol kechdy okeedal lkain chol keeody otchor aiir chol kar alol
G628-H025	f104r	f104r.35	6	chol	ch+ol	trocken; nominal trockenes Gut/Material	chey	cheol	MIDDLE	S	3	1	yshoiin qocheol chedaiin qodal chey chol cheol olaly
G628-H026	f104r	f104r.39	6	chol	ch+ol	trocken; nominal trockenes Gut/Material	qotal	qoar	MIDDLE	S	3	1	pcholor ar aiin alkchdy qotal chol qoar aiin qopcheedy qotair ofaiino
G628-H027	f104v	f104v.3	7	chol	ch+ol	trocken; nominal trockenes Gut/Material	ockhey	qokeedy	MIDDLE	S	3	1	shod chedy qotaiin odaiin okeol ockhey chol qokeedy qotair oeedaiin ol dl
G628-H028	f104v	f104v.4	6	chol	ch+ol	trocken; nominal trockenes Gut/Material	qotched	chey	MIDDLE	S	3	1	qoteedy chedaiin chokar qotol qotched chol chey qol chedy qoeeey qokeedy
G628-H029	f104v	f104v.19	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	pcheor	chpcheor	MIDDLE	S	3	1	pcheor chol chpcheor cholkshedy qotol sheedy qokchy qotched sho fchor ols aiin chekal
G628-H030	f104v	f104v.31	4	chol	ch+ol	trocken; nominal trockenes Gut/Material	cthey	sheody	MIDDLE	S	3	1	y cheoraiin cthey chol sheody qokair qoeey cheey lkeedy
G628-H031	f105r	f105r.29	6	chol	ch+ol	trocken; nominal trockenes Gut/Material	aiin	okair	MIDDLE	S	3	1	oees olkeedy qockhy r aiin chol okair oteedy qopchedy odaiin ypchedy ytam
G628-H032	f106r	f106r.9	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	ychor	qokain	MIDDLE	S	3	1	ychor chol qokain chocphol lchedy qocheo qokar
G628-H033	f106v	f106v.23	7	chol	ch+ol	trocken; nominal trockenes Gut/Material	chdy	chedy	MIDDLE	S	3	1	ol kalol shar chor okal chdy chol chedy qotaiin or aiin okeedy qokain
G628-H034	f106v	f106v.25	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	sheol	shar	MIDDLE	S	3	1	sar sheol chol shar chol okarol
G628-H035	f106v	f106v.25	5	chol	ch+ol	trocken; nominal trockenes Gut/Material	shar	okarol	MIDDLE	S	3	1	sar sheol chol shar chol okarol
G628-H036	f107r	f107r.12	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	y	chol	MIDDLE	S	3	0	y chol chol loraiir aiinal
G628-H037	f107r	f107r.12	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	chol	loraiir	MIDDLE	S	3	0	y chol chol loraiir aiinal
G628-H038	f107r	f107r.50	4	chol	ch+ol	trocken; nominal trockenes Gut/Material	lkeey	taidy	MIDDLE	S	3	1	chain al lkeey chol taidy qotaiin y taiin lkl lfchal pchdy pal tar
G628-H039	f107r	f107r.51	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	ain	ol	MIDDLE	S	3	1	sar ain chol ol cheey otal otal ol otchy qoky otaily
G628-H040	f107v	f107v.12	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	lcheol	kaiin	MIDDLE	S	3	1	qokeey lcheol chol kaiin olkal shedy qokaly odar choty qokaiin otam
G628-H041	f107v	f107v.18	6	chol	ch+ol	trocken; nominal trockenes Gut/Material	lkl	raiin	MIDDLE	S	3	1	qokain qokchey qekchdy okaiin lkl chol raiin otaiin alkaiin dal
G628-H042	f107v	f107v.21	4	chol	ch+ol	trocken; nominal trockenes Gut/Material	kaiin	kchedy	MIDDLE	S	3	1	taiin ol kaiin chol kchedy qokol ain air kaiin okal otar otalal
G628-H043	f107v	f107v.22	5	chol	ch+ol	trocken; nominal trockenes Gut/Material	olkal	chdar	MIDDLE	S	3	1	dar alol olaiin olkal chol chdar
G628-H044	f107v	f107v.24	3	chol	ch+ol	trocken; nominal trockenes Gut/Material	olaiin	olkain	MIDDLE	S	3	1	dain olaiin chol olkain lkaiin
G628-H045	f107v	f107v.30	6	chol	ch+ol	trocken; nominal trockenes Gut/Material	otaiin	lkaiin	MIDDLE	S	3	1	okain ol okaiin lkeody otaiin chol lkaiin lkeeey qokaiin chey qoky
G628-H046	f107v	f107v.33	2	chol	ch+ol	trocken; nominal trockenes Gut/Material	orain	qodaiin	MIDDLE	S	3	1	orain chol qodaiin odain aiin okain chkaly raiin y kaiin aldy
G628-H047	f108r	f108r.40	7	chol	ch+ol	trocken; nominal trockenes Gut/Material	cheykeeed	qekeey	MIDDLE	S	3	1	okor aiin okeedy qokeedy okeeom cheykeeed chol qekeey or aiin chckhom
