contrast_type	left_surface	right_surface	lines	pages	stable_lines	adjacent_lines	stable_adjacent_lines	example_loci
ENDING_OL_OR	ol	or	53	37	36	9	6	f102v2.22|f103v.45|f104v.33|f106v.23|f111v.50|f113v.30|f113v.42|f114r.37
ENDING_OL_OR	chol	chor	32	27	30	14	14	f100r.15|f100r.23|f106v.23|f10r.8|f15v.12|f16v.5|f16v.8|f16v.9
ENDING_OL_OR	shol	shor	11	11	9	6	5	f108r.14|f13v.6|f20v.5|f37r.6|f42r.8|f49r.1|f4r.8|f56v.1
ENDING_OL_OR	qokchol	qokchor	1	1	1	0	0	f18r.3
MOISTURE_CH_SH	chol	shol	20	15	17	8	7	f100r.15|f100r.23|f113r.17|f114r.29|f20r.7|f21r.11|f27r.3|f35r.14
MOISTURE_CH_SH	chor	shor	9	9	8	3	3	f10r.9|f17r.5|f28v.4|f29r.8|f3r.15|f52r.5|f86v5.10|f8r.1
THERMAL_K_T	kchol	tchol	1	1	0	0	0	f56r.9
THERMAL_K_T	kol	tol	1	1	0	0	0	f115v.13
THERMAL_K_T	qokol	qotol	1	1	1	1	1	f104v.11
WRAPPER_BARE_O	tol	otol	2	1	2	0	0	f44v.1|f44v.3
WRAPPER_BARE_O	chol	ochol	1	1	1	1	1	f49r.15
WRAPPER_BARE_O	chor	ochor	1	1	1	0	0	f112r.25
WRAPPER_BARE_O	kol	okol	1	1	1	0	0	f8v.14
WRAPPER_BARE_QO	ol	qool	3	3	3	0	0	f114v.16|f55v.3|f76r.12
WRAPPER_BARE_QO	kol	qokol	1	1	0	0	0	f51r.11
WRAPPER_BARE_QO	kor	qokor	1	1	1	1	1	f37r.7
WRAPPER_BARE_QO	tol	qotol	1	1	1	0	0	f107v.5
WRAPPER_O_QO	okol	qokol	1	1	0	0	0	f23r.9
