witness_id	page	locus	d_value_surface	working_roman	working_reading_de	earlier_quality_surfaces	earlier_part_surfaces	local_evidence_class	local_caution	all_expression_tokens_stable	surface_line
G628-T01	f2r	f2r.7	dan	I	trocken, Grad I	NONE	shor	QUALITY_OR_DOSE	trocken Grad I oder eine Portion Trockenmaterial	1	shor ckhy daiiny chol dan
G628-T02	f18r	f18r.2	dain	II	trocken, Grad II	otshol|qokchol	NONE	MULTI_CLAUSE_REQUIRED	mehrere gegensätzliche Qualitätsformen; Wert II instabil	0	otshol qokchol chykchy okchal daiin dy chol dain
G628-T03	f47v	f47v.9	dain	II	trocken, Grad II	chol	NONE	MULTI_CLAUSE_REQUIRED	chol-Wiederholung verlangt Zell- oder Klauselgrenze	1	qotcheey chety chol chol dain
G628-T04	f14v	f14v.2	daiin	III	trocken, Grad III	otchy	cthy	QUALITY_ANCHORED	Trockenheitswiederholung kann mehrere lokale Zellen anzeigen	1	okchor d chytshy oty chy cthy otchy ty chol daiin
G628-T05	f2v	f2v.5	daiin	III	trocken, Grad III	NONE	NONE	QUALITY_OR_DOSE	kein sicherer unmittelbarer Stoffträger	1	kchor shy daiiin chm s shey dor chol daiin
G628-T06	f35v	f35v.19	daiin	III	trocken, Grad III	NONE	NONE	QUALITY_OR_DOSE	elliptischer Kontext	1	schokey y keol chol daiin
G628-T07	f37v	f37v.23	daiin	III	trocken, Grad III	NONE	NONE	QUALITY_OR_DOSE	kurze Qualitäts- und Dosislesung gleich möglich	1	yto chol daiin
G628-T08	f49v	f49v.26	daiin	III	trocken, Grad III	otol	NONE	QUALITY_ANCHORED	thermischer Anker steht mit Abstand	1	qokeol chokeeody otol kcho s chol daiin
G628-T09	f51v	f51v.6	daiin	III	trocken, Grad III	qotaiin	NONE	QUALITY_ANCHORED	Transkriptionsstabilität der ganzen Paarung eingeschränkt	0	okor ctheody qocphy qokal qotaiin otykol chol daiin
G628-T10	f56v	f56v.16	daiin	III	trocken, Grad III	kchol|chol	NONE	MULTI_CLAUSE_REQUIRED	dreifache chol-Familie verlangt mehrere Zellen	1	s o kchol chol chol daiin
G628-T11	f85r2	f85r2.4	daiin	III	trocken, Grad III	NONE	dair	QUALITY_OR_DOSE	Wurzelteil trocken Grad III oder drei Portionen	1	dair sheo oraiin chol daiin
G628-T12	f96r	f96r.8	daiin	III	trocken, Grad III	NONE	NONE	QUALITY_OR_DOSE	elliptischer Kontext	0	ykeor secheeol sheol qokeeey chol daiin
G628-T13	f17r	f17r.11	daiiin	IV	trocken, Grad IV	otchol|okaiin	cthar	QUALITY_ANCHORED	trockenes Material, vier Portionen bleibt Nebenlesung	1	otchol cthar okaiin chol daiiin
