realization_id	page	locus	token_index	realization_mode	surface_expression	segmentation	working_value	working_roman	working_reading_de	phrase_line_end	all_expression_tokens_stable	section	surface_line
G628-V001	f2r	f2r.5	4	SEPARATE_D_VALUE	chol dan	chol | d+a+I	1	I	trocken, Grad I	0	1	H	otochor al shodaiin chol dan ytchaiin dan
G628-V002	f2r	f2r.7	4	SEPARATE_D_VALUE	chol dan	chol | d+a+I	1	I	trocken, Grad I	1	1	H	shor ckhy daiiny chol dan
G628-V003	f18r	f18r.2	7	SEPARATE_D_VALUE	chol dain	chol | d+a+II	2	II	trocken, Grad II	1	0	H	otshol qokchol chykchy okchal daiin dy chol dain
G628-V004	f47r	f47r.3	6	SEPARATE_D_VALUE	chol dain	chol | d+a+II	2	II	trocken, Grad II	0	1	H	dor chol chy chaiin ckhey chol dain okaiin
G628-V005	f47v	f47v.9	4	SEPARATE_D_VALUE	chol dain	chol | d+a+II	2	II	trocken, Grad II	1	1	H	qotcheey chety chol chol dain
G628-V006	f81r	f81r.10	1	SEPARATE_D_VALUE	chol dain	chol | d+a+II	2	II	trocken, Grad II	0	1	B	chol dain otedy cheey qotain ly
G628-V007	f27r	f27r.6	5	DIRECT_A_VALUE	cholaiin	chol+a+III	3	III	trocken, Grad III	0	0	H	chy t chols chor cholaiin shy kchal dy
G628-V008	f2r	f2r.10	2	DIRECT_A_VALUE	cholaiin	chol+a+III	3	III	trocken, Grad III	0	1	H	qoky cholaiin shol sheky daiin cthey keol saiin eaiin
G628-V009	f58r	f58r.18	4	DIRECT_A_VALUE	cholaiin	chol+a+III	3	III	trocken, Grad III	0	1	S	darar shol cholraly cholaiin odaiin chaly dalar aiin okal otal
G628-V010	f100r	f100r.22	2	FUSED_D_VALUE	choldaiin	chol+d+a+III	3	III	trocken, Grad III	0	0	P	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy
G628-V011	f17v	f17v.8	5	FUSED_D_VALUE	choldaiin	chol+d+a+III	3	III	trocken, Grad III	0	1	H	qokeey kchar ol dy choldaiin sy
G628-V012	f49r	f49r.6	5	FUSED_D_VALUE	choldaiin	chol+d+a+III	3	III	trocken, Grad III	1	0	H	ol or shes sheoty choldaiin
G628-V013	f100r	f100r.25	3	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	P	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol
G628-V014	f102r1	f102r1.15	2	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	0	P	or chol daiin dykeor sheey qokeody dor os ykeeykam
G628-V015	f10r	f10r.8	6	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	qotchor chor otol chol cholor chol daiin dar
G628-V016	f10v	f10v.5	6	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	sho ykeey daiin qotchy qotor chol daiin qokchy ky
G628-V017	f14v	f14v.2	9	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	1	H	okchor d chytshy oty chy cthy otchy ty chol daiin
G628-V018	f15r	f15r.14	3	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	otcho kchy chol daiin ar ytol dor dom
G628-V019	f15v	f15v.11	4	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	sol oiin cheor chol daiin cthy
G628-V020	f19v	f19v.3	2	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	0	H	otchy chol daiin qotol ytol daiiin
G628-V021	f20v	f20v.10	3	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	shokaiin chocthy chol daiin chy chor ety
G628-V022	f21r	f21r.12	6	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	ykeey chor sheey ysheol chor chol daiin chkaiin
G628-V023	f21v	f21v.4	4	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	sho chodaiin choty chol daiin daiin chty chtol
G628-V024	f24r	f24r.18	2	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	ycheol chol daiin chol s
G628-V025	f25v	f25v.3	3	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	orcho kchor chol daiin shcfho r daiin dshey daiity
G628-V026	f28v	f28v.5	2	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	otol chol daiin chkaiin shoiin qotchey qotshey daiiin
G628-V027	f2v	f2v.5	8	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	1	1	H	kchor shy daiiin chm s shey dor chol daiin
G628-V028	f32v	f32v.10	4	SEPARATE_D_VALUE	chol daiin	chol | d+a+III	3	III	trocken, Grad III	0	1	H	sho keol chor chol daiin cpho l cthol da ar
